<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OILT.US,D,20231222,000000,25.31,25.31,25.0811,25.0811,413,0
OILT.US,D,20231226,000000,25.46,25.69,25.4192,25.69,1156,0
OILT.US,D,20231227,000000,25.72,25.72,25.4952,25.4952,374,0
OILT.US,D,20231228,000000,25.2199,25.2199,25.12,25.1383,939,0
OILT.US,D,20231229,000000,25.11,25.11,24.9235,24.9235,892,0
OILT.US,D,20240102,000000,25.47,25.47,25.0856,25.0856,173,0
OILT.US,D,20240103,000000,25.5073,25.5073,25.5073,25.5073,85,0
OILT.US,D,20240104,000000,24.9905,24.9905,24.9905,24.9905,16,0
OILT.US,D,20240105,000000,25.0739,25.0739,25.0739,25.0739,36,0
OILT.US,D,20240108,000000,24.33,24.7969,24.33,24.7969,503,0
OILT.US,D,20240109,000000,24.4853,24.4853,24.4853,24.4853,38,0
OILT.US,D,20240110,000000,24.0747,24.1397,24.05,24.1397,228,0
OILT.US,D,20240111,000000,24.1545,24.1545,24.1545,24.1545,78,0
OILT.US,D,20240112,000000,24.63,24.63,24.36,24.4065,1263,0
OILT.US,D,20240116,000000,23.715,23.715,23.715,23.715,124,0
OILT.US,D,20240117,000000,23.65,23.65,23.3861,23.3861,422464,0
OILT.US,D,20240118,000000,23.24,23.3201,23.11,23.3201,1588,0
OILT.US,D,20240119,000000,23.04,23.2753,23.04,23.2753,456,0
OILT.US,D,20240122,000000,23.34,23.383,23.34,23.383,226,0
OILT.US,D,20240123,000000,23.31,23.4362,23.31,23.4362,221,0
OILT.US,D,20240124,000000,23.65,23.7466,23.6224,23.7466,842,0
OILT.US,D,20240125,000000,23.82,24.2223,23.82,24.2223,230,0
OILT.US,D,20240126,000000,24.02,24.305,23.93,24.305,445,0
OILT.US,D,20240129,000000,24.08,24.2395,24.01,24.2395,1272,0
OILT.US,D,20240130,000000,24.34,24.6502,24.34,24.6487,711,0
OILT.US,D,20240131,000000,24.08,24.08,24.0624,24.0624,708,0
OILT.US,D,20240201,000000,23.91,23.91,23.8745,23.8745,226,0
OILT.US,D,20240202,000000,23.76,23.88,23.6878,23.6878,10560,0
OILT.US,D,20240205,000000,23.55,23.55,23.2175,23.4717,4512,0
OILT.US,D,20240206,000000,23.63,23.7616,23.51,23.7616,3108,0
OILT.US,D,20240207,000000,23.7843,23.7843,23.7843,23.7843,141,0
OILT.US,D,20240208,000000,24.0378,24.0576,24.0378,24.0576,138,0
OILT.US,D,20240209,000000,23.825,23.825,23.7358,23.7358,1233,0
OILT.US,D,20240212,000000,24.37,24.37,24.2598,24.2861,9148,0
OILT.US,D,20240213,000000,23.92,23.9441,23.92,23.9441,944,0
OILT.US,D,20240214,000000,23.9381,23.9381,23.9381,23.9381,96,0
OILT.US,D,20240215,000000,24.86,24.86,24.8043,24.8043,166,0
OILT.US,D,20240216,000000,25.09,25.12,24.9376,24.9376,819,0
OILT.US,D,20240220,000000,24.69,24.69,24.6431,24.6431,620,0
OILT.US,D,20240221,000000,25.31,25.31,25.225,25.225,695,0
OILT.US,D,20240222,000000,25.22,25.2633,25.2009,25.2633,769,0
OILT.US,D,20240223,000000,24.95,25.1,24.95,25.0875,1270,0
