<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAPI.US,D,20231020,000000,24.8,24.8,24.5343,24.5343,3456,0
PAPI.US,D,20231023,000000,24.44,24.5,24.3133,24.3243,3562,0
PAPI.US,D,20231024,000000,24.49,24.52,24.3726,24.4273,2427,0
PAPI.US,D,20231025,000000,24.43,24.445,24.31,24.37,1786,0
PAPI.US,D,20231026,000000,24.3868,24.53,24.385,24.385,2329,0
PAPI.US,D,20231027,000000,24.31,24.31,24.0331,24.0585,1238,0
PAPI.US,D,20231030,000000,24.2,24.2647,24.1667,24.2647,219,0
PAPI.US,D,20231031,000000,24.3,24.3701,24.292,24.3701,351,0
PAPI.US,D,20231101,000000,24.4801,24.4801,24.4801,24.4801,97,0
PAPI.US,D,20231102,000000,24.79,24.79,24.765,24.788,427,0
PAPI.US,D,20231103,000000,25,25,24.96,24.96,771,0
PAPI.US,D,20231106,000000,24.85,24.85,24.8149,24.8149,465,0
PAPI.US,D,20231107,000000,24.65,24.65,24.605,24.605,537,0
PAPI.US,D,20231108,000000,24.56,24.56,24.465,24.465,3709,0
PAPI.US,D,20231109,000000,24.42,24.42,24.3772,24.3772,121,0
PAPI.US,D,20231110,000000,24.29,24.41,24.29,24.41,460,0
PAPI.US,D,20231113,000000,24.41,24.41,24.3699,24.3699,749,0
PAPI.US,D,20231114,000000,24.7,24.78,24.7,24.7353,3340,0
PAPI.US,D,20231115,000000,24.77,24.94,24.77,24.8451,2795,0
PAPI.US,D,20231116,000000,24.69,24.74,24.6795,24.7266,1311,0
PAPI.US,D,20231117,000000,24.85,24.86,24.8,24.8051,805,0
PAPI.US,D,20231120,000000,24.84,24.87,24.77,24.7799,2982,0
PAPI.US,D,20231121,000000,24.78,24.79,24.742,24.75,3674,0
PAPI.US,D,20231122,000000,24.8651,24.8651,24.8651,24.8651,264,0
PAPI.US,D,20231124,000000,24.98,24.98,24.9549,24.9549,243,0
PAPI.US,D,20231127,000000,25.01,25.01,24.86,24.88,1519,0
PAPI.US,D,20231128,000000,24.9,24.9,24.8849,24.8849,312,0
PAPI.US,D,20231129,000000,24.925,24.95,24.8451,24.8451,359,0
PAPI.US,D,20231130,000000,24.87,24.8827,24.85,24.8827,1109,0
PAPI.US,D,20231201,000000,24.9,25.3,24.9,25.23,12793,0
PAPI.US,D,20231204,000000,25.21,25.39,25.21,25.3358,15996,0
PAPI.US,D,20231205,000000,25.15,25.17,25.07,25.1,6281,0
PAPI.US,D,20231206,000000,25.15,25.1874,25.082,25.082,1993,0
PAPI.US,D,20231207,000000,25.12,25.15,25.12,25.1451,1024,0
PAPI.US,D,20231208,000000,25.1735,25.26,25.173,25.2485,5595,0
PAPI.US,D,20231211,000000,25.31,25.42,25.3099,25.3573,4527,0
PAPI.US,D,20231212,000000,25.3,25.3056,25.3,25.3027,811,0
PAPI.US,D,20231213,000000,25.28,25.634,25.25,25.63,4742,0
PAPI.US,D,20231214,000000,25.8129,28.2299,25.8129,25.855,21723,0
PAPI.US,D,20231215,000000,25.69,25.7,25.585,25.5938,6720,0
PAPI.US,D,20231218,000000,25.67,25.72,25.6262,25.6599,11833,0
PAPI.US,D,20231219,000000,25.71,25.78,25.71,25.775,3999,0
PAPI.US,D,20231220,000000,25.73,25.78,25.61,25.61,3110,0
PAPI.US,D,20231221,000000,25.5599,25.5599,25.435,25.5438,2115,0
PAPI.US,D,20231222,000000,25.5913,25.72,25.5913,25.6755,2116,0
PAPI.US,D,20231226,000000,25.71,25.81,25.68,25.77,7182,0
PAPI.US,D,20231227,000000,25.708,25.8201,25.708,25.7456,8748,0
PAPI.US,D,20231228,000000,25.81,25.8193,25.77,25.77,1435,0
PAPI.US,D,20231229,000000,25.77,25.77,25.6887,25.7367,3171,0
PAPI.US,D,20240102,000000,25.7,25.96,25.685,25.8546,16445,0
PAPI.US,D,20240103,000000,25.97,25.97,25.6264,25.66,24535,0
PAPI.US,D,20240104,000000,25.69,25.7392,25.6,25.6165,5166,0
PAPI.US,D,20240105,000000,25.5703,25.75,25.5703,25.67,7923,0
PAPI.US,D,20240108,000000,25.64,25.8344,25.52,25.7549,13902,0
PAPI.US,D,20240109,000000,25.6765,25.6765,25.62,25.6548,4163,0
PAPI.US,D,20240110,000000,25.61,25.63,25.5659,25.5998,2526,0
PAPI.US,D,20240111,000000,25.6,25.6,25.43,25.495,4890,0
PAPI.US,D,20240112,000000,25.63,25.6899,25.55,25.5625,2667,0
PAPI.US,D,20240116,000000,25.56,25.56,25.3,25.3159,8163,0
PAPI.US,D,20240117,000000,25.28,25.28,25.1926,25.1942,4636,0
PAPI.US,D,20240118,000000,25.19,25.3,25.13,25.2975,1891,0
PAPI.US,D,20240119,000000,25.2,25.51,25.18,25.283,11235,0
PAPI.US,D,20240122,000000,25.26,25.3999,25.26,25.3851,4078,0
PAPI.US,D,20240123,000000,25.39,25.4599,25.39,25.445,1826,0
PAPI.US,D,20240124,000000,25.43,25.43,25.2,25.2649,8103,0
PAPI.US,D,20240125,000000,25.38,25.45,25.3052,25.4222,5650,0
PAPI.US,D,20240126,000000,25.5986,25.5986,25.47,25.5431,12743,0
PAPI.US,D,20240129,000000,25.54,25.58,25.46,25.58,3082,0
PAPI.US,D,20240130,000000,25.64,25.68,25.6,25.64,3206,0
PAPI.US,D,20240131,000000,25.53,25.67,25.42,25.42,18000,0
PAPI.US,D,20240201,000000,25.42,25.68,25.4101,25.6342,29292,0
PAPI.US,D,20240202,000000,25.41,25.52,25.36,25.42,115812,0
PAPI.US,D,20240205,000000,25.2501,25.289,25.15,25.24,13363,0
PAPI.US,D,20240206,000000,25.3241,25.4599,25.3241,25.369,5474,0
PAPI.US,D,20240207,000000,25.26,25.57,25.2307,25.29,5148,0
PAPI.US,D,20240208,000000,25.24,25.295,25.2,25.295,7846,0
PAPI.US,D,20240209,000000,25.25,25.25,25.1601,25.24,2601,0
PAPI.US,D,20240212,000000,25.19,25.4941,25.19,25.4941,1831,0
PAPI.US,D,20240213,000000,25.19,25.27,25.1,25.16,4935,0
PAPI.US,D,20240214,000000,25.22,25.2801,25.15,25.2801,6875,0
PAPI.US,D,20240215,000000,25.5528,25.6454,25.5528,25.626,3617,0
PAPI.US,D,20240216,000000,25.57,25.75,25.57,25.64,2771,0
PAPI.US,D,20240220,000000,25.64,25.74,25.64,25.6657,4698,0
PAPI.US,D,20240221,000000,25.635,25.7594,25.635,25.7594,1274,0
PAPI.US,D,20240222,000000,25.76,25.8,25.66,25.79,8537,0
PAPI.US,D,20240223,000000,25.78,25.91,25.78,25.8826,3859,0
PAPI.US,D,20240226,000000,25.89,25.89,25.74,25.8,5110,0
PAPI.US,D,20240227,000000,25.84,25.91,25.84,25.8849,1476,0
PAPI.US,D,20240228,000000,25.86,25.91,25.86,25.8866,2477,0
PAPI.US,D,20240229,000000,25.84,25.8994,25.7901,25.85,90986,0
PAPI.US,D,20240301,000000,25.87,25.87,25.7,25.72,7602,0
PAPI.US,D,20240304,000000,25.91,26,25.89,25.89,4885,0
PAPI.US,D,20240305,000000,25.88,26.1199,25.88,25.9691,10331,0
PAPI.US,D,20240306,000000,26.12,26.13,26.06,26.11,4963,0
PAPI.US,D,20240307,000000,26.275,26.275,26.17,26.22,38783,0
PAPI.US,D,20240308,000000,26.27,26.32,26.215,26.2414,49487,0
PAPI.US,D,20240311,000000,26.36,26.38,26.2699,26.3751,56473,0
PAPI.US,D,20240312,000000,26.37,26.42,26.33,26.33,3797,0
PAPI.US,D,20240313,000000,26.52,26.6286,26.52,26.535,2030,0
PAPI.US,D,20240314,000000,26.5,26.5,26.2713,26.3066,4526,0
PAPI.US,D,20240315,000000,26.26,26.45,26.26,26.3988,2766,0
PAPI.US,D,20240318,000000,26.49,26.5092,26.28,26.41,3978,0
PAPI.US,D,20240319,000000,26.5,26.53,26.47,26.5014,1924,0
PAPI.US,D,20240320,000000,26.52,26.69,26.52,26.6417,1507,0
PAPI.US,D,20240321,000000,26.66,26.8,26.66,26.77,4438,0
PAPI.US,D,20240322,000000,26.77,26.77,26.62,26.6692,44261,0
PAPI.US,D,20240325,000000,26.72,26.8,26.7,26.7,5151,0
PAPI.US,D,20240326,000000,26.75,26.75,26.63,26.6332,1397,0
PAPI.US,D,20240327,000000,26.72,27.0239,26.72,27.0239,160003,0
