<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBFB.US,D,20240201,000000,25.52,25.65,25.0989,25.19,10602,0
PBFB.US,D,20240202,000000,25.2343,25.2343,25.2343,25.2343,20,0
PBFB.US,D,20240205,000000,25.219,25.22,25.1962,25.2017,2848,0
PBFB.US,D,20240206,000000,25.23,25.24,25.2145,25.2387,11822,0
PBFB.US,D,20240207,000000,25.303,25.303,25.303,25.303,23,0
PBFB.US,D,20240208,000000,25.3,25.33,25.3,25.3162,9129,0
PBFB.US,D,20240209,000000,25.37,25.37,25.3599,25.3599,5020,0
PBFB.US,D,20240212,000000,25.4,25.4,25.3494,25.3494,11870,0
PBFB.US,D,20240213,000000,25.27,25.27,25.2,25.23,2500,0
PBFB.US,D,20240214,000000,25.28,25.3022,25.28,25.3022,1295,0
PBFB.US,D,20240215,000000,25.3309,25.37,25.31,25.357,8308,0
PBFB.US,D,20240216,000000,25.385,25.385,25.32,25.3399,9384,0
PBFB.US,D,20240220,000000,25.28,25.28,25.2686,25.2686,100,0
PBFB.US,D,20240221,000000,25.294,25.294,25.294,25.294,61,0
PBFB.US,D,20240222,000000,25.465,25.49,25.465,25.4819,1093,0
PBFB.US,D,20240223,000000,25.4948,25.4948,25.4948,25.4948,93,0
PBFB.US,D,20240226,000000,25.479,25.48,25.4634,25.4634,400,0
PBFB.US,D,20240228,000000,25.48,25.48,25.463,25.463,115,0
PBFB.US,D,20240305,000000,25.48,25.48,25.4557,25.4557,600,0
PBFB.US,D,20240308,000000,25.49,25.5375,25.49,25.5375,100,0
PBFB.US,D,20240311,000000,25.57,25.57,25.5212,25.5212,100,0
PBFB.US,D,20240312,000000,25.6069,25.6069,25.6069,25.6069,2,0
PBFB.US,D,20240315,000000,25.52,25.52,25.52,25.52,50,0
PBFB.US,D,20240408,000000,25.7192,25.7192,25.7192,25.7192,20,0
PBFB.US,D,20240409,000000,25.7344,25.7344,25.7344,25.7344,8,0
PBFB.US,D,20240410,000000,25.6568,25.6568,25.6568,25.6568,8,0
PBFB.US,D,20240411,000000,25.7171,25.7171,25.7171,25.7171,8,0
PBFB.US,D,20240412,000000,25.5846,25.5846,25.5846,25.5846,8,0
PBFB.US,D,20240415,000000,25.51,25.51,25.51,25.51,100,0
PBFB.US,D,20240416,000000,25.49,25.49,25.49,25.49,100,0
PBFB.US,D,20240417,000000,25.45,25.45,25.45,25.45,100,0
PBFB.US,D,20240418,000000,25.3993,25.3993,25.3993,25.3993,8,0
PBFB.US,D,20240419,000000,25.327,25.327,25.327,25.327,8,0
PBFB.US,D,20240422,000000,25.433,25.433,25.433,25.433,8,0
PBFB.US,D,20240423,000000,25.5574,25.5574,25.5574,25.5574,1,0
PBFB.US,D,20240424,000000,25.5784,25.5784,25.5784,25.5784,8,0
PBFB.US,D,20240425,000000,25.5241,25.5241,25.5241,25.5241,1,0
PBFB.US,D,20240426,000000,25.6308,25.6308,25.6308,25.6308,8,0
PBFB.US,D,20240429,000000,25.661,25.661,25.661,25.661,8,0
PBFB.US,D,20240430,000000,25.62,25.62,25.5298,25.5298,400,0
PBFB.US,D,20240501,000000,25.4934,25.4934,25.4934,25.4934,8,0
PBFB.US,D,20240502,000000,25.5671,25.5671,25.5671,25.5671,8,0
PBFB.US,D,20240503,000000,25.7139,25.7139,25.7139,25.7139,8,0
PBFB.US,D,20240506,000000,25.8034,25.8034,25.8034,25.8034,8,0
PBFB.US,D,20240507,000000,25.8273,25.8273,25.8273,25.8273,8,0
PBFB.US,D,20240508,000000,25.8325,25.8325,25.8325,25.8325,8,0
PBFB.US,D,20240509,000000,25.8804,25.8804,25.8804,25.8804,8,0
PBFB.US,D,20240510,000000,25.9139,25.9139,25.9139,25.9139,8,0
PBFB.US,D,20240513,000000,25.9059,25.9059,25.9059,25.9059,8,0
PBFB.US,D,20240514,000000,25.9644,25.9644,25.9644,25.9644,8,0
PBFB.US,D,20240515,000000,26.0703,26.0703,26.0703,26.0703,8,0
PBFB.US,D,20240516,000000,26.0579,26.0579,26.0579,26.0579,8,0
PBFB.US,D,20240517,000000,26.0776,26.0776,26.0776,26.0776,8,0
PBFB.US,D,20240520,000000,26.087,26.087,26.087,26.087,8,0
PBFB.US,D,20240521,000000,26.125,26.125,26.125,26.125,8,0
PBFB.US,D,20240522,000000,26.096,26.096,26.096,26.096,8,0
PBFB.US,D,20240523,000000,26.0429,26.0429,26.0429,26.0429,8,0
PBFB.US,D,20240524,000000,26.1211,26.1211,26.1211,26.1211,8,0
PBFB.US,D,20240528,000000,26.1211,26.1211,26.1211,26.1211,8,0
PBFB.US,D,20240529,000000,26.0696,26.0696,26.0696,26.0696,8,0
PBFB.US,D,20240530,000000,26.0304,26.0304,26.0304,26.0304,8,0
PBFB.US,D,20240531,000000,26.1094,26.1094,26.1094,26.1094,8,0
PBFB.US,D,20240603,000000,26.1221,26.1221,26.1221,26.1221,8,0
PBFB.US,D,20240604,000000,26.1404,26.1404,26.1404,26.1404,8,0
PBFB.US,D,20240605,000000,26.2281,26.2281,26.2281,26.2281,8,0
PBFB.US,D,20240606,000000,26.2311,26.2311,26.2311,26.2311,8,0
PBFB.US,D,20240607,000000,26.2346,26.2346,26.2346,26.2346,8,0
PBFB.US,D,20240610,000000,26.2526,26.2526,26.2526,26.2526,8,0
PBFB.US,D,20240611,000000,26.2752,26.2752,26.2752,26.2752,22085,0
PBFB.US,D,20240612,000000,26.3752,26.3752,26.3752,26.3752,40,0
PBFB.US,D,20240613,000000,26.3737,26.3737,26.3737,26.3737,1,0
PBFB.US,D,20240614,000000,26.3656,26.3656,26.3656,26.3656,8,0
PBFB.US,D,20240617,000000,26.415,26.415,26.415,26.415,8,0
PBFB.US,D,20240618,000000,26.46,26.46,26.46,26.46,259,0
PBFB.US,D,20240620,000000,26.43,26.43,26.4074,26.4074,200,0
PBFB.US,D,20240621,000000,26.4129,26.4129,26.4129,26.4129,58,0
