<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBMR.US,D,20240304,000000,25.105,25.105,25.095,25.095,305,0
PBMR.US,D,20240305,000000,25.09,25.09,24.9869,24.9869,1852,0
PBMR.US,D,20240306,000000,25.0716,25.11,25.07,25.07,8410,0
PBMR.US,D,20240307,000000,25.17,25.19,25.1123,25.18,35395,0
PBMR.US,D,20240308,000000,25.23,25.26,25.1,25.1,33446,0
PBMR.US,D,20240311,000000,25.1,25.1,25.06,25.1,1833,0
PBMR.US,D,20240312,000000,25.15,25.1832,25.15,25.1832,434,0
PBMR.US,D,20240313,000000,25.35,25.35,25.14,25.168,949,0
PBMR.US,D,20240314,000000,25.07,25.12,25.07,25.12,507,0
PBMR.US,D,20240315,000000,25.02,25.02,25.02,25.02,607,0
PBMR.US,D,20240318,000000,25.08,25.09,25.08,25.09,697,0
PBMR.US,D,20240319,000000,25.209,25.22,25.15,25.15,2234,0
PBMR.US,D,20240320,000000,25.2811,25.2811,25.2811,25.2811,45,0
PBMR.US,D,20240321,000000,25.369,25.37,25.29,25.3248,20992,0
PBMR.US,D,20240322,000000,25.36,25.36,25.3189,25.3189,859,0
PBMR.US,D,20240325,000000,25.3,25.3,25.3,25.3,1,0
PBMR.US,D,20240326,000000,25.291,25.291,25.291,25.291,70,0
PBMR.US,D,20240327,000000,25.329,25.3441,25.31,25.3441,24412,0
PBMR.US,D,20240328,000000,25.41,25.42,25.3748,25.3748,9150,0
PBMR.US,D,20240401,000000,25.3447,25.3447,25.3447,25.3447,18,0
PBMR.US,D,20240402,000000,25.28,25.28,25.275,25.275,292,0
PBMR.US,D,20240403,000000,25.33,25.33,25.2868,25.2868,6214,0
PBMR.US,D,20240404,000000,25.25,25.25,25.1637,25.1637,428,0
PBMR.US,D,20240405,000000,25.2741,25.2741,25.2741,25.2741,2,0
PBMR.US,D,20240408,000000,25.2697,25.2697,25.2697,25.2697,18,0
PBMR.US,D,20240409,000000,25.2834,25.2834,25.2834,25.2834,18,0
PBMR.US,D,20240410,000000,25.1885,25.1885,25.1885,25.1885,7,0
PBMR.US,D,20240411,000000,25.2675,25.2675,25.2675,25.2675,18,0
PBMR.US,D,20240412,000000,25.1213,25.1213,25.1213,25.1213,81,0
PBMR.US,D,20240415,000000,25.1,25.1,25,25.0107,299,0
PBMR.US,D,20240416,000000,25,25,24.98,24.9842,811,0
PBMR.US,D,20240417,000000,24.96,24.96,24.9129,24.9129,300,0
PBMR.US,D,20240418,000000,24.8737,24.8737,24.8737,24.8737,5,0
PBMR.US,D,20240419,000000,24.7898,24.7898,24.7898,24.7898,5,0
PBMR.US,D,20240422,000000,24.8108,25,24.8108,24.8971,1110,0
PBMR.US,D,20240423,000000,25.0372,25.0372,25.0372,25.0372,1,0
PBMR.US,D,20240424,000000,25.041,25.1,25.0386,25.0583,2700,0
PBMR.US,D,20240425,000000,25.03,25.03,25.0002,25.0002,201,0
PBMR.US,D,20240426,000000,25.17,25.17,25.1299,25.1299,100,0
PBMR.US,D,20240429,000000,25.16,25.24,25.16,25.24,4000,0
PBMR.US,D,20240430,000000,25.2,25.2,25.0291,25.0291,1151,0
PBMR.US,D,20240501,000000,25.06,25.17,24.99,25,5764,0
PBMR.US,D,20240502,000000,25.0748,25.0748,25.0748,25.0748,48,0
PBMR.US,D,20240503,000000,25.25,25.25,25.2358,25.2358,279,0
PBMR.US,D,20240506,000000,25.28,25.3455,25.28,25.3455,517,0
PBMR.US,D,20240507,000000,25.3744,25.3744,25.3744,25.3744,48,0
PBMR.US,D,20240508,000000,25.48,25.48,25.409,25.409,3000,0
PBMR.US,D,20240509,000000,25.43,25.43,25.43,25.43,7,0
PBMR.US,D,20240510,000000,25.5,25.5,25.4702,25.4702,115,0
PBMR.US,D,20240513,000000,25.45,25.466,25.45,25.466,2000,0
PBMR.US,D,20240514,000000,25.5351,25.5351,25.5351,25.5351,7,0
PBMR.US,D,20240515,000000,25.57,25.6678,25.57,25.6678,400,0
PBMR.US,D,20240516,000000,25.6753,25.68,25.6612,25.6612,2750,0
PBMR.US,D,20240517,000000,25.6668,25.6668,25.6668,25.6668,7,0
PBMR.US,D,20240520,000000,25.6852,25.6852,25.6852,25.6852,7,0
PBMR.US,D,20240521,000000,25.7292,25.7292,25.7292,25.7292,7,0
PBMR.US,D,20240522,000000,25.6937,25.6937,25.6937,25.6937,7,0
PBMR.US,D,20240523,000000,25.66,25.66,25.6218,25.6218,200,0
PBMR.US,D,20240524,000000,25.7153,25.7153,25.7153,25.7153,7,0
PBMR.US,D,20240528,000000,25.7116,25.7116,25.7116,25.7116,7,0
PBMR.US,D,20240529,000000,25.6552,25.6552,25.6552,25.6552,7,0
PBMR.US,D,20240530,000000,25.56,25.5801,25.56,25.5801,200,0
PBMR.US,D,20240531,000000,25.57,25.6687,25.57,25.6687,200,0
PBMR.US,D,20240603,000000,25.6784,25.6784,25.6784,25.6784,10,0
PBMR.US,D,20240604,000000,25.7117,25.7117,25.7117,25.7117,10,0
PBMR.US,D,20240605,000000,25.8307,25.8307,25.8307,25.8307,5,0
PBMR.US,D,20240606,000000,25.81,25.8325,25.81,25.8325,200,0
PBMR.US,D,20240607,000000,25.85,25.85,25.8351,25.8351,202,0
PBMR.US,D,20240610,000000,25.8576,25.8576,25.8576,25.8576,1,0
PBMR.US,D,20240611,000000,25.884,25.884,25.884,25.884,22435,0
PBMR.US,D,20240612,000000,25.99,26.0102,25.99,26.0102,200,0
PBMR.US,D,20240613,000000,25.97,26.0174,25.97,26.0174,148,0
PBMR.US,D,20240614,000000,26.001,26.001,26.001,26.001,1,0
PBMR.US,D,20240617,000000,26.0912,26.0912,26.0912,26.0912,10,0
PBMR.US,D,20240618,000000,26.09,26.13,26.09,26.13,3414,0
PBMR.US,D,20240620,000000,26.09,26.09,26.0744,26.0744,100,0
PBMR.US,D,20240621,000000,26.0746,26.0746,26.0746,26.0746,10,0
