<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCIG.US,D,20240318,000000,9.95,10.27,9.9,9.92,1901552,0
PCIG.US,D,20240319,000000,9.84,9.92,9.84,9.9147,30234,0
PCIG.US,D,20240320,000000,9.875,9.9531,9.85,9.9531,4032,0
PCIG.US,D,20240321,000000,10.02,10.02,9.96,9.964,591,0
PCIG.US,D,20240322,000000,9.9,9.912,9.88,9.883,1864,0
PCIG.US,D,20240325,000000,9.915,9.915,9.9112,9.9112,1391,0
PCIG.US,D,20240326,000000,9.9335,9.9335,9.9335,9.9335,93,0
PCIG.US,D,20240327,000000,9.9671,9.9862,9.96,9.9862,1093,0
PCIG.US,D,20240328,000000,9.9971,10.02,9.9696,9.995,614377,0
PCIG.US,D,20240401,000000,10.0978,10.0978,9.8814,9.95,4676,0
PCIG.US,D,20240402,000000,9.79,9.8396,9.78,9.815,13387,0
PCIG.US,D,20240403,000000,9.77,9.87,9.76,9.835,12387,0
PCIG.US,D,20240404,000000,9.81,9.8464,9.7149,9.7149,4363,0
PCIG.US,D,20240405,000000,9.72,9.8067,9.72,9.7849,1301,0
PCIG.US,D,20240408,000000,9.79,9.79,9.7872,9.7872,178,0
PCIG.US,D,20240409,000000,9.77,9.84,9.7,9.7675,1904,0
PCIG.US,D,20240410,000000,9.6,9.615,9.6,9.615,614,0
PCIG.US,D,20240411,000000,9.575,9.6458,9.546,9.6143,2021,0
PCIG.US,D,20240412,000000,9.4116,9.435,9.395,9.395,841,0
PCIG.US,D,20240415,000000,9.55,9.55,9.39,9.395,3711,0
PCIG.US,D,20240416,000000,9.3,9.39,9.3,9.3709,7393,0
PCIG.US,D,20240417,000000,9.3216,9.34,9.3028,9.325,2046,0
PCIG.US,D,20240418,000000,9.3399,9.36,9.27,9.2708,9628,0
PCIG.US,D,20240419,000000,9.285,9.285,9.24,9.24,939,0
PCIG.US,D,20240422,000000,9.2848,9.38,9.2848,9.3457,1317,0
PCIG.US,D,20240423,000000,9.44,9.56,9.44,9.5502,4500,0
PCIG.US,D,20240424,000000,9.4813,9.56,9.46,9.4984,2749,0
PCIG.US,D,20240425,000000,9.47,9.47,9.32,9.4126,32036,0
PCIG.US,D,20240426,000000,9.385,9.46,9.385,9.4488,13272,0
PCIG.US,D,20240429,000000,9.44,9.44,9.4,9.415,2807,0
PCIG.US,D,20240430,000000,9.54,9.54,9.3153,9.3153,4358,0
PCIG.US,D,20240501,000000,9.38,9.42,9.25,9.3246,10104,0
PCIG.US,D,20240502,000000,9.29,9.4103,9.29,9.4103,2995,0
PCIG.US,D,20240503,000000,9.46,9.54,9.4384,9.5143,7407,0
PCIG.US,D,20240506,000000,9.59,9.66,9.585,9.66,1236,0
PCIG.US,D,20240507,000000,9.57,9.7,9.56,9.69,87225,0
PCIG.US,D,20240508,000000,9.5116,9.58,9.5116,9.58,3400,0
PCIG.US,D,20240509,000000,9.515,9.5858,9.515,9.5858,15510,0
PCIG.US,D,20240510,000000,9.57,9.58,9.555,9.57,2789,0
PCIG.US,D,20240513,000000,9.56,9.5799,9.5593,9.5593,1127,0
PCIG.US,D,20240514,000000,9.5997,9.615,9.52,9.615,17675,0
PCIG.US,D,20240515,000000,9.6607,9.7302,9.6607,9.7302,859,0
PCIG.US,D,20240516,000000,9.6408,9.66,9.6101,9.6348,3133,0
PCIG.US,D,20240517,000000,9.63,9.64,9.6259,9.6307,1613,0
PCIG.US,D,20240520,000000,9.6312,9.6617,9.6312,9.655,1952,0
PCIG.US,D,20240521,000000,9.65,9.65,9.6007,9.625,4963,0
PCIG.US,D,20240522,000000,9.61,9.63,9.5685,9.5849,6740,0
PCIG.US,D,20240523,000000,9.5801,9.66,9.565,9.5855,6130,0
PCIG.US,D,20240524,000000,9.5697,9.62,9.5697,9.6009,2643,0
PCIG.US,D,20240528,000000,9.5999,9.5999,9.5603,9.5603,4548,0
PCIG.US,D,20240529,000000,9.52,9.54,9.45,9.5003,17116,0
PCIG.US,D,20240530,000000,9.4215,9.51,9.4215,9.453,10884,0
PCIG.US,D,20240531,000000,9.42,9.4857,9.41,9.4857,1490,0
PCIG.US,D,20240603,000000,9.4951,9.5604,9.4951,9.5604,3619,0
PCIG.US,D,20240604,000000,9.56,9.56,9.4601,9.5005,3004,0
PCIG.US,D,20240605,000000,9.66,9.66,9.5755,9.6257,2861,0
PCIG.US,D,20240606,000000,9.6704,9.69,9.66,9.6757,5154,0
PCIG.US,D,20240607,000000,9.5851,9.61,9.5604,9.6057,2091,0
PCIG.US,D,20240610,000000,9.54,9.62,9.54,9.6105,3337,0
PCIG.US,D,20240611,000000,9.4701,9.56,9.4701,9.56,2684,0
PCIG.US,D,20240612,000000,9.71,9.735,9.68,9.6815,3680,0
PCIG.US,D,20240613,000000,9.5799,9.58,9.5624,9.5624,2116,0
PCIG.US,D,20240614,000000,9.44,9.4957,9.435,9.4957,2230,0
PCIG.US,D,20240617,000000,9.46,9.57,9.45,9.57,3766,0
PCIG.US,D,20240618,000000,9.52,9.55,9.4961,9.535,7519,0
PCIG.US,D,20240620,000000,9.5562,9.64,9.55,9.555,7428,0
PCIG.US,D,20240621,000000,9.53,9.58,9.5204,9.5795,2234,0
