<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEO.US,D,20050225,000000,8.75037,8.93497,8.75037,8.91252,83681.132383538,0
PEO.US,D,20050228,000000,8.94152,9.0145,8.80426,8.90317,203907.82853423,0
PEO.US,D,20050301,000000,8.97708,8.97708,8.9172,8.95275,182407.16870912,0
PEO.US,D,20050302,000000,8.93965,8.97145,8.89567,8.96771,58722.795359475,0
PEO.US,D,20050303,000000,8.92561,9.0145,8.90784,9.00702,131428.07390805,0
PEO.US,D,20050304,000000,9.03133,9.08374,8.95275,9.07157,146911.19968984,0
PEO.US,D,20050307,000000,9.08374,9.08374,8.98643,9.0145,63245.030978883,0
PEO.US,D,20050308,000000,8.98643,9.08374,8.97145,9.0145,128634.14247124,0
PEO.US,D,20050309,000000,9.0145,9.17448,8.98643,9.00327,136372.49886087,0
PEO.US,D,20050310,000000,8.9172,8.93497,8.75037,8.75477,99369.47424638,0
PEO.US,D,20050311,000000,8.71707,8.80426,8.64344,8.74495,113792.31694273,0
PEO.US,D,20050314,000000,8.75037,8.7791,8.68208,8.74495,82810.032872827,0
PEO.US,D,20050315,000000,8.75037,8.85124,8.67132,8.67132,68833.962686254,0
PEO.US,D,20050316,000000,8.7108,8.78977,8.59497,8.73241,101742.28518353,0
PEO.US,D,20050317,000000,8.76469,8.87734,8.76469,8.86059,106693.12313888,0
PEO.US,D,20050318,000000,8.85124,8.95275,8.77452,8.89567,116371.41279469,0
PEO.US,D,20050321,000000,8.89567,8.93965,8.89567,8.90317,79154.621429107,0
PEO.US,D,20050322,000000,8.89006,8.95275,8.86517,8.87734,83457.746128645,0
PEO.US,D,20050323,000000,8.81231,8.81231,8.52275,8.54379,106905.82105622,0
PEO.US,D,20050324,000000,8.5264,8.62464,8.5264,8.62014,76578.732078415,0
PEO.US,D,20050328,000000,8.57159,8.612,8.44154,8.50675,88838.255253698,0
PEO.US,D,20050329,000000,8.46531,8.5627,8.44154,8.46531,93993.240456347,0
PEO.US,D,20050330,000000,8.48981,8.55278,8.36894,8.53565,98514.407242,0
PEO.US,D,20050331,000000,8.55278,8.7108,8.55016,8.6614,93993.240456347,0
PEO.US,D,20050401,000000,8.75477,8.90317,8.68208,8.86517,77435.936750306,0
PEO.US,D,20050404,000000,8.89006,9.0145,8.89006,8.94152,93993.240456347,0
PEO.US,D,20050405,000000,8.88379,8.96117,8.7108,8.78977,59366.23328027,0
PEO.US,D,20050406,000000,8.86517,8.92561,8.7952,8.89567,67108.86500492,0
PEO.US,D,20050407,000000,8.9172,8.93965,8.89567,8.89567,44099.011917085,0
PEO.US,D,20050408,000000,8.85124,8.86517,8.67674,8.71707,64313.864734357,0
PEO.US,D,20050411,000000,8.64794,8.7108,8.60583,8.6875,36991.267443185,0
PEO.US,D,20050412,000000,8.67309,8.67309,8.5627,8.58609,72056.496459007,0
PEO.US,D,20050413,000000,8.5627,8.5627,8.44669,8.44931,64532.975654228,0
PEO.US,D,20050414,000000,8.50404,8.53565,8.39972,8.41468,54850.410663395,0
PEO.US,D,20050415,000000,8.36894,8.38747,8.19079,8.19079,119814.12632108,0
PEO.US,D,20050418,000000,8.08582,8.26097,8.06561,8.12578,161324.42288241,0
PEO.US,D,20050419,000000,8.19079,8.36454,8.19079,8.34059,59366.23328027,0
PEO.US,D,20050420,000000,8.4102,8.4102,8.23907,8.23907,96793.584895688,0
PEO.US,D,20050421,000000,8.27949,8.41468,8.26097,8.3811,61947.466799738,0
PEO.US,D,20050422,000000,8.4102,8.53565,8.39176,8.429,74638.798812231,0
PEO.US,D,20050425,000000,8.47728,8.5582,8.46531,8.50404,54631.299743522,0
PEO.US,D,20050426,000000,8.54379,8.5627,8.48448,8.4987,79583.223765053,0
PEO.US,D,20050427,000000,8.47728,8.4987,8.36454,8.40327,67108.86500492,0
PEO.US,D,20050428,000000,8.4102,8.41468,8.30839,8.31261,33992.119925327,0
PEO.US,D,20050429,000000,8.36454,8.36894,8.1443,8.18668,97655.0649026,0
PEO.US,D,20050502,000000,8.2111,8.28885,8.17218,8.26097,49687.943624457,0
PEO.US,D,20050503,000000,8.24834,8.27949,8.2111,8.25424,112066.15042765,0
PEO.US,D,20050504,000000,8.27949,8.32197,8.23907,8.27453,34413.240424983,0
PEO.US,D,20050505,000000,8.29914,8.34059,8.23384,8.26948,166916.56109104,0
PEO.US,D,20050506,000000,8.29914,8.33216,8.26097,8.26612,144544.80175523,0
PEO.US,D,20050509,000000,8.26612,8.36894,8.26612,8.35415,75501.347652899,0
PEO.US,D,20050510,000000,8.39972,8.39972,8.29409,8.29409,50328.175043984,0
PEO.US,D,20050511,000000,8.30839,8.31261,8.24834,8.29914,46026.119178203,0
PEO.US,D,20050512,000000,8.26612,8.28885,8.05728,8.07572,84535.130554161,0
PEO.US,D,20050513,000000,8.10706,8.13167,8.00947,8.03212,76361.758826055,0
PEO.US,D,20050516,000000,8.00947,8.00947,7.8276,7.95915,98732.449328117,0
PEO.US,D,20050517,000000,7.81936,7.94923,7.81477,7.93584,81089.210526514,0
PEO.US,D,20050518,000000,8.00947,8.02454,7.93584,7.97261,57641.135598935,0
PEO.US,D,20050519,000000,8.02454,8.08002,7.97917,8.02454,37213.584864323,0
PEO.US,D,20050520,000000,8.09938,8.09938,8.02454,8.03942,29259.32405609,0
PEO.US,D,20050523,000000,8.00947,8.15441,8.00947,8.08928,49047.712204928,0
PEO.US,D,20050524,000000,8.06038,8.15441,8.06038,8.1486,30758.897815019,0
PEO.US,D,20050525,000000,8.1443,8.20679,8.11305,8.17722,106693.12313888,0
PEO.US,D,20050526,000000,8.26948,8.26948,8.20099,8.22456,38722.778127053,0
PEO.US,D,20050527,000000,8.26097,8.36894,8.24834,8.31261,55712.959504061,0
PEO.US,D,20050531,000000,8.33216,8.36894,8.29914,8.31261,54631.299743522,0
PEO.US,D,20050601,000000,8.31757,8.68208,8.31757,8.55016,91849.159942867,0
PEO.US,D,20050602,000000,8.50404,8.53565,8.47728,8.5322,64532.975654228,0
PEO.US,D,20050603,000000,8.48448,8.612,8.48448,8.53931,32264.884576481,0
PEO.US,D,20050606,000000,8.56718,8.6659,8.51741,8.55016,34627.007176077,0
PEO.US,D,20050607,000000,8.5264,8.55016,8.51741,8.51741,84535.130554161,0
PEO.US,D,20050608,000000,8.5264,8.6614,8.5264,8.55016,61088.124460338,0
PEO.US,D,20050609,000000,8.5627,8.62997,8.53565,8.62997,80880.787944197,0
PEO.US,D,20050610,000000,8.65336,8.67132,8.56718,8.59497,84535.130554161,0
PEO.US,D,20050613,000000,8.59497,8.68208,8.54379,8.67132,81744.40561862,0
PEO.US,D,20050614,000000,8.67132,8.77452,8.63455,8.68208,58722.795359475,0
PEO.US,D,20050615,000000,8.69293,8.86517,8.69293,8.86517,58074.013269902,0
PEO.US,D,20050616,000000,8.86517,8.97708,8.8329,8.92561,56357.466258611,0
PEO.US,D,20050617,000000,8.9303,9.06502,8.92561,8.97708,137881.69212361,0
PEO.US,D,20050620,000000,9.05099,9.08374,9.00982,9.03415,106474.01221902,0
PEO.US,D,20050621,000000,8.96771,9.09121,8.96771,9.06128,123253.63334619,0
PEO.US,D,20050622,000000,9.03133,9.07531,8.98643,8.98643,73132.81205077,0
PEO.US,D,20050623,000000,9.0145,9.12583,8.98643,9.08935,67966.06967681,0
PEO.US,D,20050624,000000,9.06128,9.15016,9.00702,9.01917,45815.558928375,0
PEO.US,D,20050627,000000,9.01917,9.26898,9.01917,9.19601,80880.787944197,0
PEO.US,D,20050628,000000,9.10057,9.2063,9.07905,9.16419,137020.21211669,0
PEO.US,D,20050629,000000,9.14174,9.14174,9.01917,9.02479,45606.067512303,0
PEO.US,D,20050630,000000,8.99672,9.07531,8.94152,9.00327,41512.434228839,0
PEO.US,D,20050701,000000,9.03133,9.10993,9.01917,9.10057,41297.598643989,0
PEO.US,D,20050705,000000,9.10525,9.31389,9.10525,9.29892,50328.175043984,0
PEO.US,D,20050706,000000,9.3167,9.40468,9.26898,9.3167,63879.918229634,0
PEO.US,D,20050707,000000,9.25401,9.29892,9.19601,9.22221,46887.599185116,0
PEO.US,D,20050708,000000,9.25963,9.33728,9.25963,9.29892,55712.959504061,0
PEO.US,D,20050711,000000,9.25401,9.3167,9.23904,9.30921,40004.309799866,0
PEO.US,D,20050712,000000,9.27272,9.39998,9.27272,9.39622,82596.266121732,0
PEO.US,D,20050713,000000,9.40929,9.45135,9.36442,9.38687,49047.712204928,0
PEO.US,D,20050714,000000,9.43833,9.43833,9.09121,9.16045,66465.427084125,0
PEO.US,D,20050715,000000,9.20255,9.23062,9.15016,9.15016,54850.410663395,0
PEO.US,D,20050718,000000,9.12023,9.1932,9.10057,9.15016,25386.939360008,0
PEO.US,D,20050719,000000,9.13613,9.1932,9.11649,9.1932,33126.364583394,0
PEO.US,D,20050720,000000,9.1932,9.24652,9.1932,9.22221,59366.23328027,0
PEO.US,D,20050721,000000,9.23904,9.23904,9.10057,9.10993,78299.554424729,0
PEO.US,D,20050722,000000,9.14174,9.28488,9.13613,9.28488,85396.610561073,0
PEO.US,D,20050725,000000,9.3167,9.39155,9.29892,9.36442,50328.175043984,0
PEO.US,D,20050726,000000,9.38687,9.45135,9.34476,9.40929,44526.545419275,0
PEO.US,D,20050727,000000,9.40929,9.45135,9.28488,9.36254,95935.311390043,0
PEO.US,D,20050728,000000,9.36254,9.42799,9.36254,9.42799,21727.252581268,0
PEO.US,D,20050729,000000,9.45135,9.45135,9.36442,9.36442,54204.835075087,0
PEO.US,D,20050801,000000,9.37563,9.55523,9.37563,9.52539,67324.769423526,0
PEO.US,D,20050802,000000,9.58621,9.58621,9.47949,9.57204,67757.647094493,0
PEO.US,D,20050803,000000,9.58337,9.65439,9.50291,9.55523,161754.09405211,0
PEO.US,D,20050804,000000,9.55523,9.6151,9.55523,9.6151,56357.466258611,0
PEO.US,D,20050805,000000,9.64324,9.64324,9.46552,9.48979,75501.347652899,0
PEO.US,D,20050808,000000,9.53087,9.6984,9.53087,9.60585,122175.18008692,0
PEO.US,D,20050809,000000,9.65439,9.69282,9.57204,9.58621,62807.877972895,0
PEO.US,D,20050810,000000,9.60585,9.71993,9.60585,9.71993,61737.975383665,0
PEO.US,D,20050811,000000,9.71993,9.84345,9.71615,9.73211,106251.69479788,0
PEO.US,D,20050812,000000,9.75921,9.78074,9.67403,9.73674,64747.81123908,0
PEO.US,D,20050815,000000,9.73674,9.76582,9.69282,9.70312,63024.851225256,0
PEO.US,D,20050816,000000,9.6694,9.6984,9.55523,9.55523,69906.002942995,0
PEO.US,D,20050817,000000,9.49347,9.55051,9.29892,9.31389,198105.13007577,0
PEO.US,D,20050818,000000,9.25963,9.30921,9.20255,9.28488,104539.42312161,0
PEO.US,D,20050819,000000,9.33728,9.44767,9.33728,9.44767,46246.298931832,0
PEO.US,D,20050822,000000,9.46552,9.55523,9.41869,9.48979,99806.627252368,0
PEO.US,D,20050823,000000,9.43833,9.46174,9.38032,9.40468,119814.12632108,0
PEO.US,D,20050824,000000,9.42799,9.50291,9.42799,9.47949,107764.09456187,0
PEO.US,D,20050825,000000,9.47949,9.47949,9.41869,9.45607,63452.384727445,0
PEO.US,D,20050826,000000,9.44767,9.46174,9.39155,9.39155,64101.166817018,0
PEO.US,D,20050829,000000,9.47666,9.51972,9.41869,9.46174,116801.0839644,0
PEO.US,D,20050830,000000,9.47949,9.63852,9.47949,9.60113,165201.08291351,0
PEO.US,D,20050831,000000,9.6151,9.78452,9.6151,9.75543,184337.48247151,0
PEO.US,D,20050901,000000,9.91267,10.1401,9.75543,10.126,256399.32309929,0
PEO.US,D,20050902,000000,10.1849,10.1849,9.9342,10.0381,183906.74246805,0
PEO.US,D,20050906,000000,9.94355,10.0072,9.84722,9.96036,81744.40561862,0
PEO.US,D,20050907,000000,9.96036,10.0726,9.91645,10.0231,94855.789297014,0
PEO.US,D,20050908,000000,10.0502,10.126,10.0072,10.0885,51408.765970769,0
PEO.US,D,20050909,000000,10.0923,10.3074,10.0642,10.2795,67757.647094493,0
PEO.US,D,20050912,000000,10.243,10.4768,10.2354,10.2906,100447.92750565,0
PEO.US,D,20050913,000000,10.2972,10.2972,10.1176,10.1578,40645.61005315,0
PEO.US,D,20050914,000000,10.1849,10.2795,10.1401,10.2196,53988.930656482,0
PEO.US,D,20050915,000000,10.1756,10.3131,10.1756,10.27,53560.328320537,0
