<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSIL.US,D,20210920,000000,10.32,10.32,9.27,9.5282,43167,0
PSIL.US,D,20210921,000000,9.63,9.74,9.335,9.62,27568,0
PSIL.US,D,20210922,000000,9.89,10.5,9.5468,10.26,64084,0
PSIL.US,D,20210923,000000,9.93,9.93,9.61,9.685,39120,0
PSIL.US,D,20210924,000000,9.64,9.7,9.5662,9.585,18512,0
PSIL.US,D,20210927,000000,9.84,9.84,9.48,9.48,22947,0
PSIL.US,D,20210928,000000,9.38,9.38,9.2,9.27,12083,0
PSIL.US,D,20210929,000000,9.41,9.41,9.05,9.08,17316,0
PSIL.US,D,20210930,000000,9.1,9.17,9.1,9.11,18965,0
PSIL.US,D,20211001,000000,9.26,9.26,8.89,8.9753,20109,0
PSIL.US,D,20211004,000000,9.04,9.06,8.691,8.691,11683,0
PSIL.US,D,20211005,000000,8.75,8.79,8.69,8.7,9098,0
PSIL.US,D,20211006,000000,8.71,9.3,8.5,8.57,9000,0
PSIL.US,D,20211007,000000,8.66,8.86,8.59,8.6609,47097,0
PSIL.US,D,20211008,000000,9.09,9.09,8.68,8.8084,19951,0
PSIL.US,D,20211011,000000,8.84,9.11,8.84,8.93,17135,0
PSIL.US,D,20211012,000000,8.88,8.99,8.78,8.88,19377,0
PSIL.US,D,20211013,000000,8.91,9.03,8.64,8.8,15892,0
PSIL.US,D,20211014,000000,9,9.06,8.841,8.92,21097,0
PSIL.US,D,20211015,000000,9.01,9.0499,8.88,8.95,13931,0
PSIL.US,D,20211018,000000,8.96,8.99,8.835,8.86,15453,0
PSIL.US,D,20211019,000000,9.01,9.12,8.9501,9.04,24878,0
PSIL.US,D,20211020,000000,9.08,9.1295,9.01,9.01,25736,0
PSIL.US,D,20211021,000000,9.04,9.209,9.03,9.1536,7505,0
PSIL.US,D,20211022,000000,9.19,9.28,9,9.195,16922,0
PSIL.US,D,20211025,000000,9.45,9.64,9.091,9.148,21517,0
PSIL.US,D,20211026,000000,9.25,9.29,8.95,8.95,20233,0
PSIL.US,D,20211027,000000,9,9.045,8.8,8.869,14686,0
PSIL.US,D,20211028,000000,8.8,9.24,8.8,9.2096,14672,0
PSIL.US,D,20211029,000000,9.28,9.8399,9.259,9.3986,15365,0
PSIL.US,D,20211101,000000,9.54,9.69,9.5,9.62,28211,0
PSIL.US,D,20211102,000000,9.69,9.835,9.619,9.76,52520,0
PSIL.US,D,20211103,000000,9.8,10.09,9.7,9.85,32596,0
PSIL.US,D,20211104,000000,9.91,9.91,9.73,9.8594,14664,0
PSIL.US,D,20211105,000000,9.92,10.1021,9.845,10.0975,30544,0
PSIL.US,D,20211108,000000,10.63,10.7,9.94,10.03,108174,0
PSIL.US,D,20211109,000000,10.11,10.11,9.2002,9.73,138651,0
PSIL.US,D,20211110,000000,10.01,10.01,9,9.05,87214,0
PSIL.US,D,20211111,000000,9.11,9.1345,8.9,8.96,35394,0
PSIL.US,D,20211112,000000,9.08,9.08,8.9,9.04,28656,0
PSIL.US,D,20211115,000000,9.18,9.18,8.78,8.85,67290,0
PSIL.US,D,20211116,000000,9.17,9.17,8.65,8.77,44933,0
PSIL.US,D,20211117,000000,8.57,8.6,8.4,8.56,34653,0
PSIL.US,D,20211118,000000,8.63,8.68,8.13,8.2,67269,0
PSIL.US,D,20211119,000000,8.16,8.25,7.9301,8.24,27957,0
PSIL.US,D,20211122,000000,8.24,9.11,7.9,7.96,33351,0
PSIL.US,D,20211123,000000,7.9,7.94,7.6601,7.8,24333,0
PSIL.US,D,20211124,000000,7.78,7.84,7.68,7.84,31140,0
PSIL.US,D,20211126,000000,7.68,7.68,7.34,7.6,25249,0
PSIL.US,D,20211129,000000,7.66,7.68,7.4318,7.57,18859,0
PSIL.US,D,20211130,000000,7.5,7.568,7.34,7.46,23066,0
PSIL.US,D,20211201,000000,7.63,7.68,7.1,7.11,18590,0
PSIL.US,D,20211202,000000,7.18,7.29,7.1485,7.15,42342,0
PSIL.US,D,20211203,000000,7.25,7.25,6.66,6.95,22900,0
PSIL.US,D,20211206,000000,7.01,7.01,6.56,6.7,23559,0
PSIL.US,D,20211207,000000,7.22,7.22,6.87,6.93,23315,0
PSIL.US,D,20211208,000000,7,7.14,6.71,6.93,23270,0
