<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PUTD.US,D,20230811,000000,20.1402,20.1402,20.1402,20.1402,1,0
PUTD.US,D,20230814,000000,20.2427,20.2427,20.2427,20.2427,3,0
PUTD.US,D,20230815,000000,20.0493,20.0493,20.0493,20.0493,1,0
PUTD.US,D,20230817,000000,19.9165,19.9165,19.8157,19.8157,235,0
PUTD.US,D,20230818,000000,19.7705,19.7705,19.7705,19.7705,78,0
PUTD.US,D,20230821,000000,19.9039,19.9039,19.9039,19.9039,2,0
PUTD.US,D,20230822,000000,19.8602,19.8602,19.8602,19.8602,23,0
PUTD.US,D,20230823,000000,20.0255,20.0255,20.0255,20.0255,23,0
PUTD.US,D,20230824,000000,19.8543,19.8543,19.8543,19.8543,8,0
PUTD.US,D,20230825,000000,19.9553,19.9553,19.9553,19.9553,16,0
PUTD.US,D,20230828,000000,20.0516,20.0516,20.0516,20.0516,15,0
PUTD.US,D,20230829,000000,20.2002,20.2002,20.2002,20.2002,1,0
PUTD.US,D,20230830,000000,20.2548,20.2548,20.2548,20.2548,2,0
PUTD.US,D,20230831,000000,20.2548,20.2548,20.2548,20.2548,1,0
PUTD.US,D,20230901,000000,20.2848,20.2848,20.2848,20.2848,4,0
PUTD.US,D,20230905,000000,20.2749,20.2749,20.2749,20.2749,21,0
PUTD.US,D,20230906,000000,20.2053,20.2053,20.2053,20.2053,59,0
PUTD.US,D,20230907,000000,20.1851,20.1851,20.1851,20.1851,12,0
PUTD.US,D,20230908,000000,20.2052,20.2052,20.2052,20.2052,2,0
PUTD.US,D,20230911,000000,20.2951,20.2951,20.2951,20.2951,52,0
PUTD.US,D,20230912,000000,20.2546,20.2546,20.2546,20.2546,7,0
PUTD.US,D,20230913,000000,20.34,20.34,20.295,20.295,500,0
PUTD.US,D,20230914,000000,20.355,20.355,20.355,20.355,5,0
PUTD.US,D,20230915,000000,20.2648,20.2648,20.2648,20.2648,2,0
PUTD.US,D,20230918,000000,20.2701,20.2701,20.2701,20.2701,1,0
PUTD.US,D,20230919,000000,20.28,20.31,20.24,20.31,507,0
PUTD.US,D,20230920,000000,20.1609,20.1609,20.1609,20.1609,20,0
PUTD.US,D,20230921,000000,19.9142,19.9142,19.9142,19.9142,50,0
PUTD.US,D,20230922,000000,19.877,19.877,19.877,19.877,25,0
PUTD.US,D,20230925,000000,19.9197,19.9197,19.9197,19.9197,5,0
PUTD.US,D,20230926,000000,19.6898,19.6898,19.6898,19.6898,1,0
PUTD.US,D,20230927,000000,19.695,19.695,19.695,19.695,5,0
PUTD.US,D,20230928,000000,19.7902,19.7902,19.7902,19.7902,5,0
PUTD.US,D,20230929,000000,19.7609,19.7609,19.7609,19.7609,5,0
PUTD.US,D,20231002,000000,19.7503,19.7503,19.7503,19.7503,5,0
PUTD.US,D,20231003,000000,19.5002,19.5002,19.5002,19.5002,2,0
PUTD.US,D,20231004,000000,19.6793,19.6793,19.6793,19.6793,1,0
PUTD.US,D,20231005,000000,19.6401,19.6401,19.6401,19.6401,5,0
PUTD.US,D,20231006,000000,19.87,19.87,19.87,19.87,1,0
PUTD.US,D,20231009,000000,19.9727,19.9727,19.9727,19.9727,5,0
PUTD.US,D,20231010,000000,20.0798,20.0798,20.0798,20.0798,5,0
PUTD.US,D,20231011,000000,20.1501,20.1501,20.1501,20.1501,5,0
PUTD.US,D,20231012,000000,20.0498,20.0498,20.0498,20.0498,5,0
PUTD.US,D,20231013,000000,19.9597,19.9597,19.9597,19.9597,5,0
PUTD.US,D,20231016,000000,20.1776,20.1776,20.1776,20.1776,2,0
PUTD.US,D,20231017,000000,20.1501,20.1501,20.1501,20.1501,5,0
PUTD.US,D,20231018,000000,19.9497,19.9497,19.9497,19.9497,5,0
PUTD.US,D,20231019,000000,19.8343,19.8343,19.8343,19.8343,5,0
PUTD.US,D,20231020,000000,19.87,19.87,19.6451,19.6451,1001,0
PUTD.US,D,20231023,000000,19.6501,19.6501,19.6501,19.6501,1,0
PUTD.US,D,20231024,000000,19.7799,19.7799,19.7799,19.7799,1,0
PUTD.US,D,20231025,000000,19.54,19.54,19.54,19.54,1,0
PUTD.US,D,20231026,000000,19.3299,19.3299,19.3299,19.3299,1,0
PUTD.US,D,20231027,000000,19.2208,19.2208,19.2208,19.2208,1,0
PUTD.US,D,20231030,000000,19.4796,19.4796,19.4796,19.4796,1,0
PUTD.US,D,20231031,000000,19.5802,19.5802,19.5802,19.5802,1,0
PUTD.US,D,20231101,000000,19.65,19.7802,19.65,19.7802,1737,0
PUTD.US,D,20231102,000000,20.0898,20.0898,20.0898,20.0898,100,0
PUTD.US,D,20231103,000000,20.235,20.235,20.235,20.235,1,0
PUTD.US,D,20231106,000000,20.2388,20.2511,20.23,20.2511,2656,0
PUTD.US,D,20231107,000000,20.3104,20.3104,20.3104,20.3104,1,0
PUTD.US,D,20231108,000000,20.33,20.3401,20.33,20.3401,1013,0
PUTD.US,D,20231109,000000,20.36,20.36,20.2349,20.2349,627,0
PUTD.US,D,20231110,000000,20.4352,20.4352,20.4352,20.4352,1,0
PUTD.US,D,20231113,000000,20.4352,20.4352,20.4352,20.4352,1,0
PUTD.US,D,20231114,000000,20.565,20.565,20.565,20.565,12,0
PUTD.US,D,20231115,000000,20.5753,20.5753,20.5753,20.5753,12,0
PUTD.US,D,20231116,000000,20.5974,20.5974,20.5974,20.5974,7,0
PUTD.US,D,20231117,000000,20.6298,20.6298,20.6298,20.6298,6,0
PUTD.US,D,20231120,000000,20.7102,20.7102,20.7102,20.7102,4,0
PUTD.US,D,20231121,000000,20.7,20.7049,20.7,20.7049,121,0
PUTD.US,D,20231122,000000,20.7458,20.7458,20.7458,20.7458,9,0
PUTD.US,D,20231124,000000,20.7652,20.7652,20.7652,20.7652,2,0
PUTD.US,D,20231127,000000,20.7669,20.7669,20.7669,20.7669,17,0
PUTD.US,D,20231128,000000,20.7761,20.7761,20.7761,20.7761,7,0
PUTD.US,D,20231129,000000,20.7702,20.7702,20.7702,20.7702,3,0
PUTD.US,D,20231130,000000,20.8042,20.8042,20.8042,20.8042,12,0
PUTD.US,D,20231201,000000,20.8446,20.8446,20.8446,20.8446,13,0
PUTD.US,D,20231204,000000,20.8254,20.8254,20.8254,20.8254,31,0
PUTD.US,D,20231205,000000,20.8267,20.8267,20.8267,20.8267,15,0
PUTD.US,D,20231206,000000,20.8139,20.8139,20.8139,20.8139,4,0
PUTD.US,D,20231207,000000,20.8652,20.8652,20.8652,20.8652,1,0
PUTD.US,D,20231208,000000,20.9052,20.9052,20.9052,20.9052,8,0
PUTD.US,D,20231211,000000,20.92,20.97,20.92,20.9252,207,0
PUTD.US,D,20231212,000000,20.9553,20.9553,20.9553,20.9553,2,0
PUTD.US,D,20231213,000000,21.0103,21.0103,21.0103,21.0103,3,0
PUTD.US,D,20231214,000000,21.0454,21.0454,21.0454,21.0454,2,0
PUTD.US,D,20231215,000000,21.0696,21.0696,21.0696,21.0696,14,0
PUTD.US,D,20231218,000000,21.0953,21.0953,21.0953,21.0953,38,0
PUTD.US,D,20231219,000000,21.1302,21.1302,21.1302,21.1302,3,0
PUTD.US,D,20231220,000000,21.0357,21.0357,21.0357,21.0357,13,0
PUTD.US,D,20231221,000000,21.0975,21.0975,21.0975,21.0975,3,0
PUTD.US,D,20231222,000000,21.129,21.129,21.129,21.129,7,0
PUTD.US,D,20231226,000000,21.05,21.05,21.05,21.05,6,0
PUTD.US,D,20231227,000000,21.0605,21.0605,21.0605,21.0605,3,0
PUTD.US,D,20231228,000000,21.08,21.08,21.08,21.08,1,0
PUTD.US,D,20231229,000000,21.0761,21.0761,21.0761,21.0761,3,0
PUTD.US,D,20240102,000000,21.0501,21.0501,21.0501,21.0501,8,0
PUTD.US,D,20240103,000000,20.9898,20.9898,20.9898,20.9898,5,0
PUTD.US,D,20240104,000000,20.9701,20.9701,20.9701,20.9701,6,0
PUTD.US,D,20240105,000000,21.0097,21.0097,21.0097,21.0097,3,0
PUTD.US,D,20240108,000000,21.17,21.17,21.1298,21.1298,100,0
PUTD.US,D,20240109,000000,21.1298,21.1298,21.1298,21.1298,39,0
PUTD.US,D,20240110,000000,21.16,21.16,21.16,21.16,2,0
PUTD.US,D,20240111,000000,21.1749,21.1749,21.1749,21.1749,5,0
PUTD.US,D,20240112,000000,21.2107,21.2107,21.2107,21.2107,1,0
PUTD.US,D,20240116,000000,21.1702,21.1702,21.1702,21.1702,54,0
PUTD.US,D,20240117,000000,21.1298,21.1298,21.1298,21.1298,2,0
PUTD.US,D,20240118,000000,21.2309,21.2309,21.2309,21.2309,2,0
PUTD.US,D,20240119,000000,21.31,21.31,21.31,21.31,6,0
PUTD.US,D,20240122,000000,21.36,21.36,21.36,21.36,1,0
PUTD.US,D,20240123,000000,21.3899,21.3899,21.3899,21.3899,56,0
PUTD.US,D,20240124,000000,21.422,21.422,21.422,21.422,5,0
PUTD.US,D,20240125,000000,21.4103,21.4103,21.4103,21.4103,11,0
PUTD.US,D,20240126,000000,21.43,21.43,21.43,21.43,5,0
PUTD.US,D,20240129,000000,21.4599,21.4599,21.4599,21.4599,27,0
PUTD.US,D,20240130,000000,21.4605,21.4605,21.4605,21.4605,4,0
PUTD.US,D,20240131,000000,21.4097,21.4097,21.4097,21.4097,55,0
PUTD.US,D,20240201,000000,21.4602,21.4602,21.4602,21.4602,37,0
PUTD.US,D,20240202,000000,21.4999,21.4999,21.4999,21.4999,1,0
PUTD.US,D,20240205,000000,21.5099,21.5099,21.5099,21.5099,91,0
PUTD.US,D,20240206,000000,21.52,21.52,21.52,21.52,2,0
PUTD.US,D,20240207,000000,21.53,21.53,21.53,21.53,2,0
PUTD.US,D,20240208,000000,21.5301,21.5301,21.5301,21.5301,1,0
PUTD.US,D,20240209,000000,21.54,21.54,21.54,21.54,1,0
PUTD.US,D,20240212,000000,21.5401,21.5401,21.5401,21.5401,5,0
PUTD.US,D,20240213,000000,21.501,21.501,21.501,21.501,89,0
PUTD.US,D,20240214,000000,21.557,21.557,21.557,21.557,1,0
PUTD.US,D,20240215,000000,21.5956,21.5956,21.5956,21.5956,191,0
PUTD.US,D,20240216,000000,21.5701,21.5701,21.5701,21.5701,11,0
PUTD.US,D,20240220,000000,21.4804,21.4804,21.4804,21.4804,2,0
PUTD.US,D,20240221,000000,21.5207,21.5207,21.5207,21.5207,69,0
PUTD.US,D,20240222,000000,21.7499,21.7499,21.7499,21.7499,1,0
PUTD.US,D,20240223,000000,21.7799,21.7799,21.7799,21.7799,3,0
