<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQQD.US,D,20240308,000000,24.1,24.8094,24.08,24.8094,1372,0
QQQD.US,D,20240311,000000,25.1,25.1195,24.94,25.1195,2047,0
QQQD.US,D,20240312,000000,24.7874,24.7874,24.3892,24.3892,865,0
QQQD.US,D,20240313,000000,24.5863,24.5863,24.5863,24.5863,134,0
QQQD.US,D,20240314,000000,24.57,24.71,24.57,24.7038,412,0
QQQD.US,D,20240315,000000,24.8198,24.99,24.8198,24.9812,326,0
QQQD.US,D,20240318,000000,24.32,24.55,24.301,24.5415,769,0
QQQD.US,D,20240319,000000,24.7,24.7,24.4088,24.4088,216,0
QQQD.US,D,20240320,000000,24.35,24.35,24.0917,24.0917,539,0
QQQD.US,D,20240321,000000,24.15,24.15,24.1233,24.1233,679,0
QQQD.US,D,20240322,000000,23.92,23.92,23.8885,23.8885,5024,0
QQQD.US,D,20240325,000000,23.957,23.957,23.957,23.957,10,0
QQQD.US,D,20240326,000000,24.1377,24.1377,24.1377,24.1377,10,0
QQQD.US,D,20240327,000000,24.26,24.26,24.2195,24.2195,335,0
QQQD.US,D,20240328,000000,24.3314,24.3314,24.3314,24.3314,19,0
QQQD.US,D,20240401,000000,24.2319,24.2319,24.2319,24.2319,90,0
QQQD.US,D,20240402,000000,24.5155,24.98,24.4612,24.4612,105088,0
QQQD.US,D,20240403,000000,24.3478,24.3478,24.3478,24.3478,58,0
QQQD.US,D,20240404,000000,24.18,24.544,24,24.544,1808,0
QQQD.US,D,20240405,000000,24.3817,24.3817,24.27,24.27,1669,0
QQQD.US,D,20240408,000000,24.2,24.21,24.17,24.1857,882,0
QQQD.US,D,20240409,000000,24.29,24.29,24.1561,24.1561,171,0
QQQD.US,D,20240410,000000,24.3,24.34,24.19,24.2138,7304,0
QQQD.US,D,20240411,000000,24.16,24.18,23.6701,23.6789,1613,0
QQQD.US,D,20240412,000000,23.89,24.0443,23.89,24.0443,713,0
QQQD.US,D,20240415,000000,24.53,24.6237,24.53,24.6237,228,0
QQQD.US,D,20240416,000000,24.7392,24.7392,24.7369,24.7369,335,0
QQQD.US,D,20240417,000000,25.0088,25.0088,25.0088,25.0088,274,0
QQQD.US,D,20240418,000000,25.18,25.2106,25.16,25.2106,284,0
