<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QVOY.US,D,20221208,000000,25.29,25.34,25.17,25.1703,277037,0
QVOY.US,D,20221209,000000,25.22,25.33,25.0238,25.0238,263004,0
QVOY.US,D,20221212,000000,24.985,25.23,24.9545,25.2,517867,0
QVOY.US,D,20221213,000000,25.68,25.79,25.365,25.4364,374932,0
QVOY.US,D,20221214,000000,25.5,25.59,25.23,25.3584,19691,0
QVOY.US,D,20221215,000000,24.78,24.813,24.7612,24.7612,26745,0
QVOY.US,D,20221216,000000,24.6378,24.75,24.5001,24.66,334169,0
QVOY.US,D,20221219,000000,24.6301,24.6499,24.43,24.5025,16384,0
QVOY.US,D,20221220,000000,24.75,24.76,24.68,24.73,1576,0
QVOY.US,D,20221221,000000,24.83,25.0199,24.78,24.969,22854,0
QVOY.US,D,20221222,000000,24.73,24.75,24.53,24.7489,21353,0
QVOY.US,D,20221223,000000,24.9399,24.9399,24.86,24.9122,5077,0
QVOY.US,D,20221227,000000,24.9301,25.04,24.9301,25.0339,14337,0
QVOY.US,D,20221228,000000,24.98,25.02,24.73,24.7336,13123,0
QVOY.US,D,20221229,000000,24.86,24.94,24.86,24.87,49868,0
QVOY.US,D,20221230,000000,24.8,24.8457,24.7293,24.8457,14142,0
QVOY.US,D,20230103,000000,26.57,26.57,24.8601,24.9589,18480,0
QVOY.US,D,20230104,000000,25.1599,25.23,25.06,25.2089,159749,0
QVOY.US,D,20230105,000000,25.04,25.1401,25.0001,25.1229,3482,0
QVOY.US,D,20230106,000000,25.3,25.7083,25.3,25.7083,8490,0
QVOY.US,D,20230109,000000,25.9728,25.9728,25.7679,25.7679,21726,0
QVOY.US,D,20230110,000000,25.72,25.96,25.72,25.9338,9595,0
QVOY.US,D,20230111,000000,25.86,26.0205,25.86,26.01,11612,0
QVOY.US,D,20230112,000000,26.16,26.4,26.158,26.2769,7382,0
QVOY.US,D,20230113,000000,26.2601,26.4199,26.2601,26.4089,5565,0
QVOY.US,D,20230117,000000,26.31,26.31,26.1301,26.1301,16680,0
QVOY.US,D,20230118,000000,26.2999,26.2999,25.78,25.78,28583,0
QVOY.US,D,20230119,000000,25.7153,25.8999,25.67,25.8365,6211,0
QVOY.US,D,20230120,000000,25.91,26.0576,25.91,26.0576,2776,0
QVOY.US,D,20230123,000000,26.33,26.33,26.04,26.1587,3126,0
QVOY.US,D,20230124,000000,25.9601,26.22,25.9501,26.22,10704,0
QVOY.US,D,20230125,000000,25.98,26.38,25.97,26.3544,22004,0
QVOY.US,D,20230126,000000,26.3,26.3957,26.21,26.3957,6502,0
QVOY.US,D,20230127,000000,26.59,26.59,26.2301,26.29,10752,0
QVOY.US,D,20230130,000000,25.81,26.14,25.81,26.0154,5720,0
QVOY.US,D,20230131,000000,25.9401,26.2446,25.9401,26.2446,33729,0
QVOY.US,D,20230201,000000,25.91,26.59,25.91,26.4533,39177,0
QVOY.US,D,20230202,000000,26.14,26.26,26.07,26.1603,76655,0
QVOY.US,D,20230203,000000,26,26.0499,25.81,25.832,6295,0
QVOY.US,D,20230206,000000,25.68,25.68,25.5701,25.6521,15385,0
QVOY.US,D,20230207,000000,25.65,25.91,25.5901,25.8511,61905,0
QVOY.US,D,20230208,000000,25.81,25.8401,25.705,25.8031,93877,0
QVOY.US,D,20230209,000000,25.9101,25.9101,25.5,25.5248,1909,0
QVOY.US,D,20230210,000000,25.4899,25.55,25.4199,25.55,9233,0
QVOY.US,D,20230213,000000,25.9,25.9,25.5201,25.7627,7730,0
QVOY.US,D,20230214,000000,25.69,25.8075,25.65,25.8075,3622,0
QVOY.US,D,20230215,000000,25.56,25.8199,25.56,25.8199,5839,0
QVOY.US,D,20230216,000000,25.88,25.89,25.6678,25.6678,10599,0
QVOY.US,D,20230217,000000,25.36,25.5,25.35,25.4784,9723,0
QVOY.US,D,20230221,000000,25.1901,25.1901,25.02,25.048,42515,0
QVOY.US,D,20230222,000000,24.9101,25.02,24.7801,24.8533,3999,0
QVOY.US,D,20230223,000000,25.03,25.07,24.8651,25.0119,2519,0
QVOY.US,D,20230224,000000,24.6601,24.8609,24.6601,24.8609,3102,0
QVOY.US,D,20230227,000000,24.99,25.09,24.99,25.0342,5730,0
QVOY.US,D,20230228,000000,25.08,25.1299,24.9501,24.9579,4121,0
QVOY.US,D,20230301,000000,24.9201,25.08,24.92,25.0201,5678,0
QVOY.US,D,20230302,000000,24.79,25.1117,24.79,25.1117,4964,0
QVOY.US,D,20230303,000000,25.1899,25.3901,25.1001,25.38,13730,0
QVOY.US,D,20230306,000000,25.48,25.515,25.2479,25.2609,3133,0
QVOY.US,D,20230307,000000,25.28,25.2901,24.965,24.9663,5011,0
QVOY.US,D,20230308,000000,24.97,25.0471,24.93,25.0471,10946,0
QVOY.US,D,20230309,000000,25.0999,25.1299,24.59,24.59,76614,0
QVOY.US,D,20230310,000000,24.2899,24.2899,24.0901,24.16,12494,0
QVOY.US,D,20230313,000000,23.98,24.21,23.96,23.96,10397,0
QVOY.US,D,20230314,000000,24.44,24.44,24.2,24.2965,5590,0
QVOY.US,D,20230315,000000,23.8601,23.92,23.7,23.88,42773,0
QVOY.US,D,20230316,000000,23.89,24.26,23.84,24.23,6699,0
QVOY.US,D,20230317,000000,24.2199,24.2299,23.9201,23.95,36058,0
QVOY.US,D,20230320,000000,24.08,24.12,24.0301,24.1181,1899,0
QVOY.US,D,20230321,000000,24.33,24.4493,24.33,24.4493,2808,0
QVOY.US,D,20230322,000000,24.455,24.4701,24.1618,24.1618,14693,0
QVOY.US,D,20230323,000000,24.5101,24.52,24.3009,24.3009,2346,0
QVOY.US,D,20230324,000000,24.03,24.2999,24.03,24.2845,25852,0
QVOY.US,D,20230327,000000,24.2801,24.3599,24.2801,24.3443,8572,0
QVOY.US,D,20230328,000000,24.39,24.4435,24.3301,24.4435,2364,0
QVOY.US,D,20230329,000000,24.5301,24.6586,24.5301,24.6586,6437,0
QVOY.US,D,20230330,000000,24.87,24.87,24.7777,24.8154,2640,0
QVOY.US,D,20230331,000000,25.05,25.1059,24.98,25.1059,5584,0
QVOY.US,D,20230403,000000,25.15,25.2327,25.12,25.2327,4977,0
QVOY.US,D,20230404,000000,25.25,25.25,25.13,25.1561,5507,0
QVOY.US,D,20230405,000000,25.11,25.1101,24.94,25.026,3143,0
QVOY.US,D,20230406,000000,24.88,25.085,24.83,25.0678,78752,0
QVOY.US,D,20230410,000000,25,25.044,24.97,25.044,5182,0
QVOY.US,D,20230411,000000,25.18,25.29,25.18,25.2103,6039,0
QVOY.US,D,20230412,000000,25.4101,25.4101,25.163,25.163,12560,0
QVOY.US,D,20230413,000000,25.2701,25.5599,25.2701,25.526,3922,0
QVOY.US,D,20230414,000000,25.33,25.3377,25.24,25.3377,23546,0
