<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RINC.US,D,20230829,000000,25.6,25.77,24.38,25.0238,166089,0
RINC.US,D,20230830,000000,25.35,25.4999,24.89,24.96,43143,0
RINC.US,D,20230831,000000,25.2,25.43,25.09,25.2387,20086,0
RINC.US,D,20230901,000000,25.4,25.4,25.21,25.3727,26978,0
RINC.US,D,20230905,000000,25.09,25.4401,25.09,25.3667,2980,0
RINC.US,D,20230906,000000,25.4,25.4,24.58,25.2204,21413,0
RINC.US,D,20230907,000000,24.995,25.1313,24.83,24.935,9882,0
RINC.US,D,20230908,000000,24.67,25.1359,24.67,25.035,5297,0
RINC.US,D,20230911,000000,25,25.68,25,25.6147,17391,0
RINC.US,D,20230912,000000,25.6,25.6301,25.16,25.4386,6292,0
RINC.US,D,20230913,000000,25.34,25.4201,25.09,25.3691,9373,0
RINC.US,D,20230914,000000,25.74,25.82,25.7,25.75,11465,0
RINC.US,D,20230915,000000,25.651,25.9264,25.52,25.9264,3331,0
RINC.US,D,20230918,000000,25.32,25.7099,25.32,25.6251,3087,0
RINC.US,D,20230919,000000,25.66,25.76,25.59,25.6687,5120,0
RINC.US,D,20230920,000000,25.51,25.7,25.26,25.35,5864,0
RINC.US,D,20230921,000000,25.36,25.36,24.4211,24.4211,11742,0
RINC.US,D,20230922,000000,24.43,24.6752,24.395,24.6752,22887,0
RINC.US,D,20230925,000000,24.5404,24.6782,24.37,24.4654,20088,0
RINC.US,D,20230926,000000,24.01,24.1729,23.76,23.7651,6348,0
RINC.US,D,20230927,000000,23.82,23.82,23.54,23.6225,4095,0
RINC.US,D,20230928,000000,23.6,23.95,23.58,23.8591,3365,0
RINC.US,D,20230929,000000,24.32,24.32,23.9901,24.0377,3102,0
RINC.US,D,20231002,000000,23.81,23.8501,23.2401,23.2814,8608,0
RINC.US,D,20231003,000000,23,23,22.475,22.63,25219,0
RINC.US,D,20231004,000000,22.7,22.7001,22.02,22.43,8044,0
RINC.US,D,20231005,000000,22.24,23.0495,22.24,22.93,19474,0
RINC.US,D,20231006,000000,22.96,23.17,22.83,22.85,13221,0
RINC.US,D,20231009,000000,22.7,23.4306,22.7,23.4306,5438,0
RINC.US,D,20231010,000000,23.55,23.5517,23.39,23.46,19860,0
RINC.US,D,20231011,000000,23.47,23.92,23.47,23.92,8681,0
RINC.US,D,20231012,000000,23.686,23.686,23.43,23.6341,2495,0
RINC.US,D,20231013,000000,23.72,23.72,23.175,23.175,8199,0
RINC.US,D,20231016,000000,23.3,23.47,23.3,23.4628,2370,0
RINC.US,D,20231017,000000,23.21,23.5132,23.21,23.5132,7175,0
RINC.US,D,20231018,000000,23.14,23.14,22.8039,22.8039,2949,0
RINC.US,D,20231019,000000,22.75,22.75,22.1951,22.1951,9290,0
RINC.US,D,20231020,000000,22.23,22.23,21.9558,21.9558,26051,0
RINC.US,D,20231023,000000,21.67,21.86,21.5103,21.6031,5274,0
RINC.US,D,20231024,000000,21.585,21.625,21.43,21.506,4436,0
RINC.US,D,20231025,000000,21.2945,21.2945,20.88,20.9495,17835,0
RINC.US,D,20231026,000000,20.75,21.2,20.75,20.9805,29724,0
RINC.US,D,20231027,000000,21.2627,21.31,20.82,20.9355,7724,0
RINC.US,D,20231030,000000,21.08,21.28,20.97,21.2203,10308,0
RINC.US,D,20231031,000000,21.3,21.76,21.3,21.6239,8880,0
RINC.US,D,20231101,000000,21.53,21.963,21.3795,21.963,44460,0
