<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMIF.US,D,20230612,000000,25.03,25.03,25.0102,25.0102,78825,0
RMIF.US,D,20230613,000000,25.0589,25.0589,25.032,25.032,80455,0
RMIF.US,D,20230614,000000,25.05,25.1,25.0316,25.0316,83788,0
RMIF.US,D,20230615,000000,25.08,25.1,25.07,25.0786,122540,0
RMIF.US,D,20230616,000000,25.07,25.08,25.07,25.075,80505,0
RMIF.US,D,20230620,000000,25.07,25.11,25.07,25.07,140580,0
RMIF.US,D,20230621,000000,25.05,25.06,25.04,25.05,123721,0
RMIF.US,D,20230622,000000,25.04,25.0484,25.04,25.04,119807,0
RMIF.US,D,20230623,000000,25.03,25.04,25.02,25.03,87468,0
RMIF.US,D,20230626,000000,25.05,25.05,25.04,25.0475,171758,0
RMIF.US,D,20230627,000000,25.07,25.08,25.06,25.0605,40132,0
RMIF.US,D,20230628,000000,25.13,25.13,25.13,25.13,4,0
RMIF.US,D,20230629,000000,25.1308,25.1308,25.1308,25.1308,1,0
RMIF.US,D,20230630,000000,25.18,25.2,25.17,25.19,13681,0
RMIF.US,D,20230703,000000,25.14,25.15,25.125,25.125,5801,0
RMIF.US,D,20230705,000000,25.165,25.165,25.165,25.165,4,0
RMIF.US,D,20230706,000000,25.09,25.09,25.09,25.09,4,0
RMIF.US,D,20230707,000000,25.134,25.134,25.134,25.134,13,0
RMIF.US,D,20230710,000000,25.1112,25.15,25.1112,25.15,2303,0
RMIF.US,D,20230711,000000,25.04,25.185,25.04,25.185,2003,0
RMIF.US,D,20230712,000000,25.2778,25.3,25.24,25.24,4019,0
RMIF.US,D,20230713,000000,25.32,25.32,25.32,25.32,127,0
RMIF.US,D,20230714,000000,25.2908,25.2908,25.2908,25.2908,81,0
RMIF.US,D,20230717,000000,25.265,25.265,25.265,25.265,12,0
RMIF.US,D,20230718,000000,25.29,25.29,25.25,25.29,2415,0
RMIF.US,D,20230719,000000,25.3191,25.3191,25.295,25.295,1442,0
RMIF.US,D,20230720,000000,25.23,25.23,25.23,25.23,55,0
RMIF.US,D,20230721,000000,25.24,25.24,25.24,25.24,406,0
RMIF.US,D,20230724,000000,25.26,25.26,25.26,25.26,163,0
RMIF.US,D,20230725,000000,25.28,25.28,25.28,25.28,1,0
RMIF.US,D,20230726,000000,25.31,25.31,25.31,25.31,206,0
RMIF.US,D,20230727,000000,25.125,25.125,25.125,25.125,91,0
RMIF.US,D,20230728,000000,25.14,25.14,25.14,25.14,50,0
RMIF.US,D,20230731,000000,25.21,25.21,25.17,25.17,109,0
RMIF.US,D,20230801,000000,25.13,25.16,25.13,25.16,219,0
RMIF.US,D,20230802,000000,25.1199,25.1199,25.08,25.08,349,0
RMIF.US,D,20230803,000000,25.06,25.075,25.04,25.075,1203,0
RMIF.US,D,20230804,000000,25.145,25.145,25.145,25.145,1,0
RMIF.US,D,20230807,000000,25.15,25.15,25.15,25.15,1,0
RMIF.US,D,20230808,000000,25.13,25.155,25.13,25.155,1681,0
RMIF.US,D,20230809,000000,25.14,25.185,25.14,25.185,2066,0
RMIF.US,D,20230810,000000,25.21,25.21,25.21,25.21,51,0
RMIF.US,D,20230811,000000,25.18,25.18,25.18,25.18,375,0
RMIF.US,D,20230814,000000,25.14,25.17,25.14,25.17,131,0
RMIF.US,D,20230815,000000,25.1665,25.17,25.1665,25.17,103,0
RMIF.US,D,20230816,000000,25.1598,25.16,25.12,25.16,2564,0
RMIF.US,D,20230817,000000,25.1297,25.135,25.1297,25.135,124,0
RMIF.US,D,20230818,000000,25.15,25.15,25.1,25.15,2272,0
RMIF.US,D,20230821,000000,25.12,25.15,25.12,25.15,160,0
RMIF.US,D,20230822,000000,25.175,25.22,25.17,25.17,3750,0
RMIF.US,D,20230823,000000,25.235,25.235,25.235,25.235,2,0
RMIF.US,D,20230824,000000,25.17,25.21,25.17,25.21,694,0
RMIF.US,D,20230825,000000,25.1818,25.215,25.1818,25.215,123,0
RMIF.US,D,20230828,000000,25.27,25.27,25.27,25.27,2,0
