<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RVER.US,D,20240404,000000,25.31,25.38,24.72,24.72,595386,0
RVER.US,D,20240405,000000,24.7789,24.93,24.67,24.8813,313395,0
RVER.US,D,20240408,000000,25.025,25.15,24.96,24.98,58915,0
RVER.US,D,20240409,000000,25.25,25.34,25.11,25.34,124448,0
RVER.US,D,20240410,000000,25.42,25.42,24.73,24.89,347701,0
RVER.US,D,20240411,000000,25.44,25.44,24.8,25.21,55188,0
RVER.US,D,20240412,000000,25,25,24.4533,24.52,265461,0
RVER.US,D,20240415,000000,25,25,24.0196,24.0513,55800,0
RVER.US,D,20240416,000000,23.98,24.06,23.63,23.9236,48087,0
RVER.US,D,20240417,000000,24.03,24.03,23.6999,23.8168,36194,0
RVER.US,D,20240418,000000,24.1,24.15,23.775,23.7818,5036,0
RVER.US,D,20240419,000000,23.84,23.84,23.51,23.59,63955,0
RVER.US,D,20240422,000000,23.675,23.9,23.54,23.7421,33398,0
RVER.US,D,20240423,000000,23.9106,24.215,23.9106,24.1237,2858,0
RVER.US,D,20240424,000000,24.31,24.31,23.8799,24.1186,29189,0
RVER.US,D,20240425,000000,23.5,23.93,23.32,23.87,15263,0
RVER.US,D,20240426,000000,24.41,24.57,24.41,24.486,4652,0
RVER.US,D,20240429,000000,24.67,24.67,24.43,24.4572,3318,0
RVER.US,D,20240430,000000,24.41,24.41,24.0348,24.0348,508,0
RVER.US,D,20240501,000000,23.95,24.484,23.95,23.9802,1487,0
RVER.US,D,20240502,000000,24.29,24.4451,24.16,24.4451,6304,0
RVER.US,D,20240503,000000,24.76,24.77,24.35,24.3902,20635,0
RVER.US,D,20240506,000000,24.66,24.82,24.57,24.8,5211,0
RVER.US,D,20240507,000000,24.85,24.87,24.66,24.66,1939,0
RVER.US,D,20240508,000000,24.49,24.76,24.49,24.69,1300,0
RVER.US,D,20240509,000000,24.81,25.35,24.81,25.35,2053,0
RVER.US,D,20240510,000000,25.25,25.25,25.05,25.081,956,0
RVER.US,D,20240513,000000,25.16,25.21,25.08,25.09,903,0
RVER.US,D,20240514,000000,25.255,25.51,25.255,25.45,1404,0
RVER.US,D,20240515,000000,25.72,25.8,25.69,25.786,1230,0
RVER.US,D,20240516,000000,25.7,25.8,25.65,25.72,3567,0
RVER.US,D,20240517,000000,25.77,25.77,25.68,25.7031,924,0
RVER.US,D,20240520,000000,25.87,26.03,25.87,25.9618,316,0
RVER.US,D,20240521,000000,25.89,25.89,25.6,25.6,1148,0
RVER.US,D,20240522,000000,25.72,26.01,25.24,25.265,7124,0
RVER.US,D,20240523,000000,25.42,25.42,24.7799,24.8229,19209,0
RVER.US,D,20240524,000000,25.35,25.35,25.01,25.1472,1593,0
RVER.US,D,20240528,000000,25.91,25.91,25.21,25.243,1213,0
RVER.US,D,20240529,000000,25.63,25.63,24.86,25.0621,1171,0
RVER.US,D,20240530,000000,25.19,25.2,24.99,25.03,4879,0
RVER.US,D,20240531,000000,25.19,25.24,24.95,25.2,1100,0
RVER.US,D,20240603,000000,25.55,25.55,25.22,25.35,1241,0
RVER.US,D,20240604,000000,25.14,25.1956,25.06,25.0926,3185,0
RVER.US,D,20240605,000000,25.22,25.49,25.22,25.42,1581,0
RVER.US,D,20240606,000000,25.81,25.86,25.72,25.7568,84632,0
RVER.US,D,20240607,000000,25.8691,25.8691,25.6351,25.6351,105,0
RVER.US,D,20240610,000000,25.68,25.71,25.49,25.5976,856,0
RVER.US,D,20240611,000000,25.3987,25.52,25.3987,25.4842,362,0
RVER.US,D,20240612,000000,25.87,26.16,25.7,25.74,1621,0
RVER.US,D,20240613,000000,25.72,25.72,25.36,25.36,4864,0
RVER.US,D,20240614,000000,25.37,25.37,25.17,25.24,9731,0
RVER.US,D,20240617,000000,25.35,25.35,25.17,25.25,5552,0
RVER.US,D,20240618,000000,25.32,25.33,24.98,24.98,5042,0
RVER.US,D,20240620,000000,25.33,25.33,24.94,24.98,3456,0
RVER.US,D,20240621,000000,25.17,25.26,24.93,25.04,802,0
