<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RXL.US,D,20070201,000000,8.3629,8.3629,8.3629,8.3629,2476,0
RXL.US,D,20070205,000000,8.3923,8.3923,8.3783,8.3873,196953,0
RXL.US,D,20070206,000000,8.4128,8.4128,8.3554,8.3554,50897,0
RXL.US,D,20070207,000000,8.3823,8.3958,8.3714,8.3958,87620,0
RXL.US,D,20070208,000000,8.4068,8.4083,8.4068,8.4083,42560,0
RXL.US,D,20070209,000000,8.4128,8.4231,8.3279,8.3279,27521,0
RXL.US,D,20070213,000000,8.2955,8.2955,8.289,8.289,1643,0
RXL.US,D,20070214,000000,8.3714,8.3943,8.3714,8.3943,1643,0
RXL.US,D,20070215,000000,8.3943,8.4751,8.3943,8.4721,3339,0
RXL.US,D,20070220,000000,8.3983,8.3983,8.3983,8.3983,815,0
RXL.US,D,20070226,000000,8.28,8.28,8.28,8.28,25876,0
RXL.US,D,20070227,000000,7.7839,7.8722,7.7839,7.8722,4184,0
RXL.US,D,20070228,000000,7.9232,8.0014,7.9232,7.9407,5841,0
RXL.US,D,20070301,000000,7.8617,7.8617,7.8138,7.8138,6680,0
RXL.US,D,20070305,000000,7.6173,7.6273,7.571,7.6273,5012,0
RXL.US,D,20070306,000000,7.6847,7.7456,7.6847,7.7456,1643,0
RXL.US,D,20070313,000000,7.749,7.749,7.749,7.749,815,0
RXL.US,D,20070315,000000,7.6582,7.6582,7.6582,7.6582,2476,0
RXL.US,D,20070320,000000,7.7829,7.8173,7.7829,7.8173,4184,0
RXL.US,D,20070321,000000,7.8862,7.9492,7.8862,7.9492,12507,0
RXL.US,D,20070323,000000,8.0389,8.0389,8.0144,8.0294,3339,0
RXL.US,D,20070327,000000,7.9989,7.9989,7.9989,7.9989,815,0
RXL.US,D,20070328,000000,7.8348,7.8348,7.8348,7.8348,1643,0
RXL.US,D,20070329,000000,7.8667,7.8667,7.8667,7.8667,815,0
RXL.US,D,20070330,000000,7.8757,7.8757,7.8757,7.8757,815,0
RXL.US,D,20070402,000000,7.9672,7.9672,7.9672,7.9672,2476,0
RXL.US,D,20070404,000000,8.1568,8.245,8.1568,8.2355,11687,0
RXL.US,D,20070405,000000,8.2365,8.3604,8.2365,8.3489,15849,0
RXL.US,D,20070409,000000,8.3479,8.3479,8.3244,8.3414,35878,0
RXL.US,D,20070410,000000,8.3813,8.3813,8.3614,8.3614,4184,0
RXL.US,D,20070411,000000,8.3199,8.3199,8.3199,8.3199,815,0
RXL.US,D,20070412,000000,8.286,8.4192,8.286,8.4192,5012,0
RXL.US,D,20070413,000000,8.6233,8.6885,8.5899,8.676,60097,0
RXL.US,D,20070416,000000,8.7674,8.8393,8.7639,8.8393,95132,0
RXL.US,D,20070417,000000,8.9391,8.98,8.9021,8.9141,31716,0
RXL.US,D,20070418,000000,8.8013,8.8597,8.8013,8.8548,13349,0
RXL.US,D,20070419,000000,8.8831,8.9251,8.8572,8.9071,62577,0
RXL.US,D,20070420,000000,9.0159,9.0259,8.9506,9.0139,37547,0
RXL.US,D,20070423,000000,9.0069,9.0389,8.9989,9.0054,44236,0
RXL.US,D,20070424,000000,9.0019,9.0019,8.9241,8.9884,24201,0
RXL.US,D,20070425,000000,8.987,9.0714,8.9291,9.0714,13349,0
RXL.US,D,20070426,000000,9.0893,9.1202,9.0763,9.1202,15011,0
RXL.US,D,20070427,000000,9.0489,9.0858,9.0109,9.0559,8333,0
RXL.US,D,20070430,000000,8.9989,9.0084,8.9516,8.9516,105154,0
RXL.US,D,20070501,000000,8.9421,8.9989,8.9391,8.9989,10021,0
RXL.US,D,20070502,000000,9.0344,9.1412,9.0094,9.0968,10858,0
RXL.US,D,20070503,000000,9.0968,9.1217,9.0933,9.1217,12507,0
RXL.US,D,20070504,000000,9.1642,9.2116,9.1532,9.1806,17528,0
RXL.US,D,20070507,000000,9.2505,9.2655,9.241,9.2655,14187,0
RXL.US,D,20070508,000000,9.1761,9.1806,9.1462,9.1806,2476,0
RXL.US,D,20070509,000000,9.2185,9.253,9.2066,9.249,21704,0
RXL.US,D,20070510,000000,9.0808,9.0808,8.9241,8.9436,45895,0
RXL.US,D,20070511,000000,8.9421,9.0763,8.9421,9.0763,36710,0
RXL.US,D,20070514,000000,9.0783,9.1162,9.0404,9.0404,36710,0
RXL.US,D,20070515,000000,9.0199,9.0783,8.9546,8.9546,80959,0
RXL.US,D,20070516,000000,9.0544,9.0918,9.0284,9.0918,14187,0
RXL.US,D,20070517,000000,9.0579,9.0674,9.0464,9.0464,2476,0
RXL.US,D,20070518,000000,9.0544,9.1322,9.0544,9.1322,9159,0
RXL.US,D,20070521,000000,9.1622,9.1821,9.1387,9.1402,39683,0
RXL.US,D,20070522,000000,9.1497,9.2235,9.1462,9.2215,4184,0
RXL.US,D,20070523,000000,9.2835,9.3174,9.2116,9.2116,7506,0
RXL.US,D,20070524,000000,9.2275,9.2775,9.1282,9.1322,55083,0
RXL.US,D,20070525,000000,9.1172,9.1906,9.1172,9.1337,6680,0
RXL.US,D,20070529,000000,9.1512,9.1512,9.1512,9.1512,815,0
RXL.US,D,20070531,000000,9.1422,9.1916,9.1422,9.1846,18375,0
RXL.US,D,20070601,000000,9.2076,9.2495,9.1881,9.2116,9159,0
RXL.US,D,20070604,000000,9.1761,9.1776,9.1761,9.1776,5841,0
RXL.US,D,20070605,000000,9.1387,9.1387,9.0529,9.1092,39221,0
RXL.US,D,20070606,000000,9.0069,9.0069,8.9281,8.9281,20855,0
RXL.US,D,20070607,000000,8.8861,8.8861,8.6422,8.6422,99296,0
RXL.US,D,20070608,000000,8.6318,8.742,8.6318,8.742,10021,0
RXL.US,D,20070611,000000,8.7783,8.8208,8.7619,8.7619,3339,0
RXL.US,D,20070612,000000,8.706,8.706,8.6372,8.6372,3339,0
RXL.US,D,20070613,000000,8.6318,8.756,8.6183,8.7545,5841,0
RXL.US,D,20070614,000000,8.7843,8.8168,8.7843,8.8118,20027,0
RXL.US,D,20070615,000000,8.9106,8.9775,8.8921,8.9171,21704,0
RXL.US,D,20070618,000000,8.8826,8.8931,8.8383,8.8383,64251,0
RXL.US,D,20070619,000000,8.8433,8.8707,8.8358,8.8707,5841,0
RXL.US,D,20070620,000000,8.7639,8.7928,8.7545,8.7545,16671,0
RXL.US,D,20070621,000000,8.6183,8.6183,8.552,8.552,3339,0
RXL.US,D,20070622,000000,8.5281,8.5281,8.3863,8.4148,13349,0
RXL.US,D,20070625,000000,8.4103,8.4556,8.3554,8.3554,9159,0
RXL.US,D,20070626,000000,8.3823,8.4591,8.3823,8.4083,20855,0
RXL.US,D,20070627,000000,8.3569,8.4966,8.3569,8.4966,76768,0
RXL.US,D,20070628,000000,8.5635,8.5635,8.5625,8.5625,5012,0
RXL.US,D,20070629,000000,8.5266,8.5266,8.3614,8.4626,15849,0
RXL.US,D,20070702,000000,8.5321,8.5914,8.5321,8.5914,16671,0
RXL.US,D,20070703,000000,8.6536,8.6805,8.6318,8.6585,34222,0
RXL.US,D,20070705,000000,8.5914,8.6785,8.5869,8.6785,6680,0
RXL.US,D,20070706,000000,8.6308,8.6308,8.5859,8.6124,5012,0
