<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAMM.US,D,20240405,000000,24.77,24.97,24.73,24.9101,11217,0
SAMM.US,D,20240408,000000,25.0397,25.06,25.0113,25.0373,7057,0
SAMM.US,D,20240409,000000,25.45,25.45,24.89,25.15,221933,0
SAMM.US,D,20240410,000000,24.84,25,24.7,24.82,52377,0
SAMM.US,D,20240411,000000,24.9,24.9,24.6289,24.8506,26805,0
SAMM.US,D,20240412,000000,24.8,24.8,24.4157,24.45,19613,0
SAMM.US,D,20240415,000000,24.74,24.74,24.08,24.16,28307,0
SAMM.US,D,20240416,000000,23.94,24.12,23.87,24.03,15865,0
SAMM.US,D,20240417,000000,24.15,24.22,23.95,24.0394,11273,0
SAMM.US,D,20240418,000000,24.08,24.1199,23.84,23.8645,14080,0
SAMM.US,D,20240419,000000,23.76,23.96,23.76,23.835,11304,0
SAMM.US,D,20240422,000000,23.85,24.09,23.85,24.0627,9675,0
SAMM.US,D,20240423,000000,24.1801,24.35,24.17,24.31,14027,0
SAMM.US,D,20240424,000000,24.44,24.44,24.2,24.3314,5740,0
SAMM.US,D,20240425,000000,24.08,24.4127,24.07,24.4061,8630,0
SAMM.US,D,20240426,000000,24.6998,24.72,24.58,24.6543,11992,0
SAMM.US,D,20240429,000000,24.74,24.77,24.69,24.7501,8370,0
SAMM.US,D,20240430,000000,24.7,24.7,24.3147,24.3147,26323,0
SAMM.US,D,20240501,000000,24.28,24.49,24.12,24.1744,25899,0
SAMM.US,D,20240502,000000,24.3401,24.4,24.17,24.3633,22955,0
SAMM.US,D,20240503,000000,24.56,24.64,24.45,24.5851,9026,0
SAMM.US,D,20240506,000000,24.64,24.85,24.64,24.8392,7859,0
SAMM.US,D,20240507,000000,24.95,24.95,24.78,24.7907,19285,0
SAMM.US,D,20240508,000000,24.7,24.7,24.63,24.6563,12804,0
SAMM.US,D,20240509,000000,24.6801,24.881,24.6801,24.881,11424,0
SAMM.US,D,20240510,000000,24.9803,24.9803,24.84,24.8691,22039,0
SAMM.US,D,20240513,000000,24.98,25.13,24.9667,24.9667,12419,0
SAMM.US,D,20240514,000000,25.05,25.1193,25.01,25.1193,16417,0
SAMM.US,D,20240515,000000,25.1905,25.4049,25.1905,25.4049,15639,0
SAMM.US,D,20240516,000000,25.45,25.5099,25.42,25.4369,15276,0
SAMM.US,D,20240517,000000,25.62,25.6695,25.62,25.6695,10506,0
SAMM.US,D,20240520,000000,25.73,25.82,25.73,25.8051,14590,0
SAMM.US,D,20240521,000000,25.64,25.65,25.5685,25.5764,11385,0
SAMM.US,D,20240522,000000,25.45,25.45,25.22,25.2998,12608,0
SAMM.US,D,20240523,000000,25.235,25.28,25,25.0748,2019,0
SAMM.US,D,20240524,000000,25.215,25.255,25.215,25.2189,6126,0
SAMM.US,D,20240528,000000,25.39,25.39,25.145,25.2214,1650,0
SAMM.US,D,20240529,000000,24.9,24.99,24.9,24.9388,5409,0
SAMM.US,D,20240530,000000,24.8001,25.08,24.8001,25.0306,3968,0
SAMM.US,D,20240531,000000,24.9951,25.1592,24.9,25.1592,1525,0
SAMM.US,D,20240603,000000,25.06,25.0969,24.9301,25.0969,2009,0
SAMM.US,D,20240604,000000,24.92,24.9699,24.9,24.934,1462,0
SAMM.US,D,20240605,000000,25,25.2479,25,25.2448,2499,0
SAMM.US,D,20240606,000000,25.2446,25.35,25.2446,25.33,2972,0
SAMM.US,D,20240607,000000,25.16,25.16,25.0989,25.0989,1510,0
SAMM.US,D,20240610,000000,25.25,25.26,25.2272,25.2272,2247,0
SAMM.US,D,20240611,000000,25.0818,25.0818,25.0818,25.0818,170,0
SAMM.US,D,20240612,000000,25.58,25.5801,25.4669,25.4669,1850,0
SAMM.US,D,20240613,000000,25.2425,25.2425,25.2425,25.2425,164,0
SAMM.US,D,20240614,000000,24.95,25.06,24.95,25.0571,12763,0
SAMM.US,D,20240617,000000,24.95,25.17,24.9392,25.1592,2932,0
SAMM.US,D,20240618,000000,25.269,25.3207,25.269,25.2887,2052,0
SAMM.US,D,20240620,000000,25.251,25.275,25.15,25.2138,3251,0
SAMM.US,D,20240621,000000,25.0042,25.0596,25.0042,25.0596,2231,0
