<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHA.US,D,20091103,000000,10.1888,10.4937,9.193,10.4172,129547.88077573,0
SCHA.US,D,20091104,000000,10.5295,10.5701,10.3061,10.3289,275649.15222685,0
SCHA.US,D,20091105,000000,10.45,10.6109,10.4093,10.5979,84155.718099328,0
SCHA.US,D,20091106,000000,10.5076,10.6883,10.4758,10.6109,205675.14900803,0
SCHA.US,D,20091109,000000,10.8641,10.8641,10.7172,10.8531,224675.74655458,0
SCHA.US,D,20091110,000000,10.8531,10.8959,10.7082,10.7926,345196.15309449,0
SCHA.US,D,20091111,000000,10.8959,10.9892,10.8224,10.8919,194796.65986308,0
SCHA.US,D,20091112,000000,10.9217,10.9634,10.6883,10.7042,166450.35047936,0
SCHA.US,D,20091113,000000,10.7727,10.8393,10.6287,10.7926,246881.88297805,0
SCHA.US,D,20091116,000000,10.8829,11.1193,10.8829,11.0607,196085.72356477,0
SCHA.US,D,20091117,000000,11.023,11.0815,10.9594,11.0528,220524.55860278,0
SCHA.US,D,20091118,000000,11.0815,11.0815,10.9336,11.0289,319102.68394566,0
SCHA.US,D,20091119,000000,10.9336,10.9336,10.6913,10.7767,246027.87827569,0
SCHA.US,D,20091120,000000,10.6883,10.7638,10.6506,10.7172,199329.53152032,0
SCHA.US,D,20091123,000000,10.8779,11.007,10.8273,10.8571,348146.90047412,0
SCHA.US,D,20091124,000000,10.8919,10.8959,10.6962,10.8095,187322.10455537,0
SCHA.US,D,20091125,000000,10.8779,10.8879,10.8184,10.8313,219089.46815364,0
SCHA.US,D,20091127,000000,10.45,10.7172,10.4132,10.6009,306145.57958174,0
SCHA.US,D,20091130,000000,10.5661,10.6377,10.45,10.6377,324906.49184627,0
SCHA.US,D,20091201,000000,10.7558,10.8353,10.7172,10.7975,373004.68121518,0
SCHA.US,D,20091202,000000,10.8095,10.9832,10.8095,10.9087,161258.84783705,0
SCHA.US,D,20091203,000000,10.9753,11.019,10.7846,10.7926,133988.10097941,0
SCHA.US,D,20091204,000000,11.023,11.0994,10.8224,11.0289,505078.32118139,0
SCHA.US,D,20091207,000000,11.0318,11.0855,10.9753,11.0318,211810.28656322,0
SCHA.US,D,20091208,000000,10.9634,11.019,10.8442,10.9415,436719.67591374,0
SCHA.US,D,20091209,000000,10.9713,10.9713,10.8273,10.9257,391313.4141031,0
SCHA.US,D,20091210,000000,11.015,11.015,10.8571,10.9177,258085.65929148,0
SCHA.US,D,20091211,000000,10.9892,11.023,10.8999,11.007,103048.55797707,0
SCHA.US,D,20091214,000000,11.1193,11.1887,10.9932,11.1838,235870.45913886,0
SCHA.US,D,20091215,000000,11.1709,11.2464,11.1292,11.1551,126031.15386459,0
SCHA.US,D,20091216,000000,11.2464,11.2762,11.1799,11.2464,259797.69702027,0
SCHA.US,D,20091217,000000,11.1887,11.1967,11.0607,11.1153,304186.8070038,0
SCHA.US,D,20091218,000000,11.2205,11.2205,11.0676,11.2096,251950.52173629,0
SCHA.US,D,20091221,000000,11.298,11.3735,11.2841,11.3655,262337.55534498,0
SCHA.US,D,20091222,000000,11.3913,11.4956,11.3616,11.4956,366594.61054237,0
SCHA.US,D,20091223,000000,11.5433,11.587,11.4589,11.574,366928.96144,0
SCHA.US,D,20091224,000000,11.6286,11.6326,11.5988,11.6286,290172.2675721,0
SCHA.US,D,20091228,000000,11.6843,11.6843,11.57,11.6068,337485.94082883,0
SCHA.US,D,20091229,000000,11.6376,11.6505,11.59,11.5988,444667.5592994,0
SCHA.US,D,20091230,000000,11.5651,11.6188,11.5055,11.587,476584.97796919,0
SCHA.US,D,20091231,000000,11.6068,11.6326,11.4211,11.4211,415096.63939908,0
SCHA.US,D,20100104,000000,11.6108,11.7051,11.574,11.6843,456265.10429045,0
SCHA.US,D,20100105,000000,11.7051,11.7507,11.6456,11.7171,450916.4970095,0
SCHA.US,D,20100106,000000,11.7299,11.7766,11.7141,11.7339,293634.61210834,0
SCHA.US,D,20100107,000000,11.7547,11.8292,11.6505,11.8243,334405.27999801,0
SCHA.US,D,20100108,000000,11.7895,11.8838,11.7547,11.8838,282491.26065592,0
SCHA.US,D,20100111,000000,11.9494,11.9583,11.8203,11.862,519549.06831375,0
SCHA.US,D,20100112,000000,11.7806,11.8064,11.6545,11.7011,471467.99932214,0
SCHA.US,D,20100113,000000,11.7469,11.862,11.6286,11.8461,269301.5205771,0
SCHA.US,D,20100114,000000,11.8203,11.9057,11.7945,11.8878,224254.78668951,0
SCHA.US,D,20100115,000000,11.8918,11.9018,11.6674,11.7299,382488.36315167,0
SCHA.US,D,20100119,000000,11.7766,11.9057,11.7647,11.9018,576998.00492493,0
SCHA.US,D,20100120,000000,11.8422,11.8422,11.6505,11.7945,585799.89301296,0
SCHA.US,D,20100121,000000,11.8064,11.866,11.5482,11.582,292910.52085716,0
SCHA.US,D,20100122,000000,11.579,11.6028,11.306,11.3397,292906.49253309,0
SCHA.US,D,20100125,000000,11.4251,11.4351,11.292,11.3655,264582.33893174,0
SCHA.US,D,20100126,000000,11.3397,11.439,11.2652,11.298,303807.13746042,0
SCHA.US,D,20100127,000000,11.2602,11.3913,11.1838,11.3794,202031.52988875,0
SCHA.US,D,20100128,000000,11.4161,11.4161,11.1073,11.1967,269177.64961202,0
SCHA.US,D,20100129,000000,11.2652,11.3655,11.0528,11.0994,174056.83340028,0
SCHA.US,D,20100201,000000,11.1331,11.2374,11.1153,11.2345,352076.53060221,0
SCHA.US,D,20100202,000000,11.2692,11.3993,11.2205,11.3874,219973.68528651,0
SCHA.US,D,20100203,000000,11.3476,11.3953,11.2295,11.302,177795.11813515,0
SCHA.US,D,20100204,000000,11.2295,11.2295,10.8959,10.9087,288705.95761145,0
SCHA.US,D,20100205,000000,10.9375,10.9375,10.6962,10.9375,597655.25074434,0
SCHA.US,D,20100208,000000,10.9087,11.019,10.8273,10.8273,398773.87027656,0
SCHA.US,D,20100209,000000,10.9832,11.0448,10.8641,10.9892,339555.49231864,0
SCHA.US,D,20100210,000000,10.9713,11.0368,10.8571,10.9892,205198.79968703,0
SCHA.US,D,20100211,000000,10.9972,11.1838,10.9087,11.1799,165609.43783021,0
SCHA.US,D,20100212,000000,11.0855,11.2513,11.0448,11.2464,254579.0031905,0
SCHA.US,D,20100216,000000,11.3913,11.4678,11.292,11.4629,179599.8073175,0
SCHA.US,D,20100217,000000,11.5184,11.574,11.4717,11.5393,199917.66683421,0
SCHA.US,D,20100218,000000,11.5482,11.6326,11.5224,11.6286,282380.48174407,0
SCHA.US,D,20100219,000000,11.5948,11.7091,11.579,11.6584,214335.03867268,0
SCHA.US,D,20100222,000000,11.7171,11.7249,11.6584,11.6704,328538.02599334,0
SCHA.US,D,20100223,000000,11.6803,11.6803,11.5015,11.5095,265110.04938461,0
SCHA.US,D,20100224,000000,11.57,11.6584,11.5433,11.6326,254514.55000542,0
SCHA.US,D,20100225,000000,11.4767,11.6326,11.439,11.6286,382524.61806828,0
SCHA.US,D,20100226,000000,11.6456,11.6505,11.5254,11.6108,144239.17865081,0
SCHA.US,D,20100301,000000,11.7091,11.8511,11.6882,11.8422,497142.52276792,0
SCHA.US,D,20100302,000000,11.8978,11.9881,11.8788,11.9494,1130702.2259281,0
SCHA.US,D,20100303,000000,11.9881,12.0705,11.9365,11.9712,486143.18390094,0
SCHA.US,D,20100304,000000,12.0169,12.0387,11.9633,12.0219,376668.44195479,0
SCHA.US,D,20100305,000000,12.1112,12.2602,12.0924,12.2423,433145.54538463,0
SCHA.US,D,20100308,000000,12.2602,12.3109,12.2423,12.284,729658.39503937,0
SCHA.US,D,20100309,000000,12.2503,12.4081,12.2423,12.3227,775519.85746966,0
SCHA.US,D,20100310,000000,12.3367,12.4796,12.3307,12.424,999146.2256046,0
SCHA.US,D,20100311,000000,12.3823,12.4796,12.3148,12.4796,607766.34415439,0
SCHA.US,D,20100312,000000,12.5402,12.5402,12.4032,12.4796,507402.66416847,0
SCHA.US,D,20100315,000000,12.4678,12.4796,12.3407,12.4458,508049.21018136,0
SCHA.US,D,20100316,000000,12.4756,12.5601,12.428,12.5521,226360.59309592,0
SCHA.US,D,20100317,000000,12.5939,12.713,12.5809,12.6524,498824.3480662,0
SCHA.US,D,20100318,000000,12.6603,12.6921,12.5859,12.6107,374904.03601313,0
SCHA.US,D,20100319,000000,12.6485,12.6485,12.424,12.4538,486254.96989382,0
SCHA.US,D,20100322,000000,12.3148,12.5978,12.3069,12.5769,556152.43495535,0
SCHA.US,D,20100323,000000,12.6067,12.7288,12.5442,12.7219,283350.30076338,0
SCHA.US,D,20100324,000000,12.6842,12.7011,12.5889,12.5889,370321.81738606,0
SCHA.US,D,20100325,000000,12.7219,12.7616,12.5014,12.5114,763754.12994878,0
SCHA.US,D,20100326,000000,12.5939,12.6305,12.4538,12.5154,469271.55562419,0
SCHA.US,D,20100329,000000,12.5809,12.6027,12.5184,12.5729,291748.34936361,0
SCHA.US,D,20100330,000000,12.6345,12.6603,12.5184,12.5859,227983.00061421,0
