<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHB.US,D,20091103,000000,10.0662,10.0701,9.75974,9.89561,1252231.5919809,0
SCHB.US,D,20091104,000000,10.8724,10.8724,9.86487,9.90652,403333.29588012,0
SCHB.US,D,20091105,000000,10.0345,10.1029,9.9571,10.0989,279083.37262572,0
SCHB.US,D,20091106,000000,10.1069,10.1475,10.0345,10.1277,411320.24356968,0
SCHB.US,D,20091109,000000,10.3052,10.3558,10.2001,10.3558,262872.52071245,0
SCHB.US,D,20091110,000000,10.334,10.3845,10.2923,10.334,266088.07129722,0
SCHB.US,D,20091111,000000,10.4262,10.4688,10.3558,10.4044,649795.31619519,0
SCHB.US,D,20091112,000000,10.4014,10.4331,10.2586,10.2794,289429.80240005,0
SCHB.US,D,20091113,000000,10.326,10.3806,10.2665,10.3419,1452525.4045114,0
SCHB.US,D,20091116,000000,10.4381,10.5472,10.4093,10.4926,442144.75952344,0
SCHB.US,D,20091117,000000,10.4887,10.5174,10.4331,10.5145,339337.8901216,0
SCHB.US,D,20091118,000000,10.5303,10.5303,10.45,10.5065,241201.58525682,0
SCHB.US,D,20091119,000000,10.4421,10.4421,10.2883,10.3558,316870.37738095,0
SCHB.US,D,20091120,000000,10.3092,10.3419,10.2765,10.3181,229227.71783938,0
SCHB.US,D,20091123,000000,10.45,10.5174,10.4302,10.445,253072.60345518,0
SCHB.US,D,20091124,000000,10.4649,10.4649,10.3726,10.445,278624.58444256,0
SCHB.US,D,20091125,000000,10.4778,10.4976,10.452,10.4887,405567.74558092,0
SCHB.US,D,20091127,000000,10.2368,10.3895,10.1783,10.3181,381672.44368126,0
SCHB.US,D,20091130,000000,10.3141,10.3597,10.2625,10.3558,394598.17053803,0
SCHB.US,D,20091201,000000,10.4609,10.5095,10.4331,10.4778,300224.93710078,0
SCHB.US,D,20091202,000000,10.4847,10.5541,10.4609,10.5016,213996.9584844,0
SCHB.US,D,20091203,000000,10.5303,10.5779,10.4044,10.4044,579867.93047736,0
SCHB.US,D,20091204,000000,10.5779,10.5998,10.3766,10.4847,694941.08174305,0
SCHB.US,D,20091207,000000,10.5145,10.5303,10.445,10.4649,537601.94306375,0
SCHB.US,D,20091208,000000,10.3895,10.4173,10.326,10.3597,673888.24992759,0
SCHB.US,D,20091209,000000,10.3489,10.4044,10.3003,10.3935,1691653.8721758,0
SCHB.US,D,20091210,000000,10.4688,10.4847,10.4212,10.4381,408170.23415392,0
SCHB.US,D,20091211,000000,10.4887,10.5016,10.445,10.4847,410366.36747899,0
SCHB.US,D,20091214,000000,10.5908,10.5908,10.5264,10.5868,553046.46746231,0
SCHB.US,D,20091215,000000,10.566,10.5819,10.5174,10.5264,405482.03789836,0
SCHB.US,D,20091216,000000,10.5908,10.6116,10.5442,10.566,414571.08555315,0
SCHB.US,D,20091217,000000,10.5065,10.5065,10.4302,10.445,390914.75683901,0
SCHB.US,D,20091218,000000,10.5065,10.5065,10.4093,10.5016,393169.37305336,0
SCHB.US,D,20091221,000000,10.5779,10.6394,10.5581,10.6196,473145.73247073,0
SCHB.US,D,20091222,000000,10.6632,10.6751,10.6285,10.6543,611944.78692229,0
SCHB.US,D,20091223,000000,10.693,10.693,10.6236,10.685,454909.15427185,0
SCHB.US,D,20091224,000000,10.697,10.7267,10.685,10.7227,214773.36925589,0
SCHB.US,D,20091228,000000,10.7544,10.7704,10.697,10.7316,458442.32744496,0
SCHB.US,D,20091229,000000,10.7624,10.7624,10.7198,10.7267,296353.97482578,0
SCHB.US,D,20091230,000000,10.693,10.7227,10.6751,10.7227,313077.05618311,0
SCHB.US,D,20091231,000000,10.7544,10.7544,10.6156,10.6156,546893.66417969,0
SCHB.US,D,20100104,000000,10.7316,10.804,10.7128,10.7922,670997.38021088,0
SCHB.US,D,20100105,000000,10.816,10.8278,10.7664,10.8278,560661.34297696,0
SCHB.US,D,20100106,000000,10.8358,10.8516,10.812,10.8358,420007.97760493,0
SCHB.US,D,20100107,000000,10.8278,10.8834,10.7743,10.8724,412633.08360146,0
SCHB.US,D,20100108,000000,10.8556,10.9181,10.8199,10.9052,264218.63549158,0
SCHB.US,D,20100111,000000,10.9736,10.9766,10.8914,10.934,534995.42118805,0
SCHB.US,D,20100112,000000,10.8606,10.8724,10.7792,10.812,424741.05833398,0
SCHB.US,D,20100113,000000,10.8516,10.934,10.7952,10.9181,499423.70794575,0
SCHB.US,D,20100114,000000,10.9052,10.9528,10.8962,10.941,309350.28447996,0
SCHB.US,D,20100115,000000,10.939,10.939,10.7704,10.8258,633502.78990206,0
SCHB.US,D,20100119,000000,10.8318,10.9568,10.8278,10.9568,709185.69858567,0
SCHB.US,D,20100120,000000,10.8794,10.8794,10.7505,10.8516,506151.25686441,0
SCHB.US,D,20100121,000000,10.8724,10.8914,10.6513,10.6582,781955.55438768,0
SCHB.US,D,20100122,000000,10.6285,10.6424,10.4093,10.4173,870262.70055056,0
SCHB.US,D,20100125,000000,10.5224,10.5264,10.4381,10.4649,693649.41655048,0
SCHB.US,D,20100126,000000,10.4331,10.5264,10.4093,10.4212,301598.2766732,0
SCHB.US,D,20100127,000000,10.4212,10.4887,10.331,10.4778,1140868.0708819,0
SCHB.US,D,20100128,000000,10.5174,10.5174,10.2844,10.3558,401757.28284656,0
SCHB.US,D,20100129,000000,10.3895,10.4688,10.2289,10.2546,715499.83397666,0
SCHB.US,D,20100201,000000,10.3141,10.3974,10.3052,10.3974,391646.8012807,0
SCHB.US,D,20100202,000000,10.4262,10.5383,10.3895,10.5343,523627.55750264,0
SCHB.US,D,20100203,000000,10.4887,10.5264,10.4302,10.4817,301010.42280336,0
SCHB.US,D,20100204,000000,10.4014,10.4014,10.1356,10.1475,709139.31560452,0
SCHB.US,D,20100205,000000,10.1594,10.1783,9.96108,10.1783,652330.24694781,0
SCHB.US,D,20100208,000000,10.1723,10.2209,10.091,10.091,330980.88690849,0
SCHB.US,D,20100209,000000,10.2051,10.3003,10.1207,10.2129,393169.37305336,0
SCHB.US,D,20100210,000000,10.2259,10.2527,10.1069,10.209,462312.28139428,0
SCHB.US,D,20100211,000000,10.1921,10.3181,10.1445,10.3181,153006.36324412,0
SCHB.US,D,20100212,000000,10.2289,10.3181,10.1683,10.3181,334776.22475769,0
SCHB.US,D,20100216,000000,10.4093,10.4976,10.3687,10.4817,272609.92177772,0
SCHB.US,D,20100217,000000,10.5442,10.5502,10.4976,10.5383,324116.20569772,0
SCHB.US,D,20100218,000000,10.5472,10.6156,10.5303,10.6077,278918.00721465,0
SCHB.US,D,20100219,000000,10.5819,10.6632,10.5502,10.6354,176115.17111551,0
