<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHF.US,D,20091103,000000,18.2388,18.5698,18.2229,18.5569,254147.59593053,0
SCHF.US,D,20091104,000000,18.8275,18.9316,18.7136,18.7671,152600.34307293,0
SCHF.US,D,20091105,000000,19.0595,19.1289,18.9029,19.006,123874.08894371,0
SCHF.US,D,20091106,000000,18.9861,19.5045,18.8345,19.0981,217719.44091196,0
SCHF.US,D,20091109,000000,19.4966,19.6948,19.4133,19.6631,309927.35704796,0
SCHF.US,D,20091110,000000,19.5352,19.5739,19.3677,19.5045,216834.64040371,0
SCHF.US,D,20091111,000000,19.7325,19.7751,19.5124,19.565,368336.29732672,0
SCHF.US,D,20091112,000000,19.6036,19.6096,19.2111,19.2785,175366.04828228,0
SCHF.US,D,20091113,000000,19.4748,19.5957,19.2855,19.5184,153545.67725335,0
SCHF.US,D,20091116,000000,19.7166,19.9565,19.6869,19.8435,244476.33290652,0
SCHF.US,D,20091117,000000,19.7325,19.7355,19.5263,19.7166,259937.64167379,0
SCHF.US,D,20091118,000000,19.792,19.792,19.5739,19.6869,163943.34434343,0
SCHF.US,D,20091119,000000,19.4817,19.4817,19.1348,19.339,208683.78144575,0
SCHF.US,D,20091120,000000,19.1289,19.2171,18.9772,19.2052,150449.37992175,0
SCHF.US,D,20091123,000000,19.6472,19.7523,19.4817,19.5501,141764.81575414,0
SCHF.US,D,20091124,000000,19.5739,19.5739,19.3182,19.4371,187968.14993396,0
SCHF.US,D,20091125,000000,19.6244,19.7434,19.5045,19.7325,123130.53367053,0
SCHF.US,D,20091127,000000,19.0139,19.2547,18.8345,19.1477,208517.31384728,0
SCHF.US,D,20091130,000000,19.2111,19.3182,19.0287,19.2111,164179.4256649,0
SCHF.US,D,20091201,000000,19.6036,19.7979,19.5432,19.7612,134336.3252841,0
SCHF.US,D,20091202,000000,19.792,19.8802,19.7008,19.7672,112560.34561476,0
SCHF.US,D,20091203,000000,19.9337,19.9565,19.6472,19.6631,93121.974585796,0
SCHF.US,D,20091204,000000,19.9268,19.9644,19.4748,19.6869,224986.50825621,0
SCHF.US,D,20091207,000000,19.6562,19.7008,19.5045,19.5352,154282.17026478,0
SCHF.US,D,20091208,000000,19.4133,19.4222,19.1209,19.1794,301428.42947501,0
SCHF.US,D,20091209,000000,19.2111,19.2349,18.9772,19.2052,168851.61626204,0
SCHF.US,D,20091210,000000,19.3618,19.3846,19.1873,19.2785,95909.550189317,0
SCHF.US,D,20091211,000000,19.3846,19.3846,19.2111,19.2855,131074.56924857,0
SCHF.US,D,20091214,000000,19.4817,19.4966,19.339,19.4688,302766.22363001,0
SCHF.US,D,20091215,000000,19.3479,19.3677,19.2171,19.2617,200141.47140775,0
SCHF.US,D,20091216,000000,19.4817,19.5808,19.4133,19.4688,204689.56797694,0
SCHF.US,D,20091217,000000,19.226,19.226,18.9405,18.9693,215267.82718899,0
SCHF.US,D,20091218,000000,19.0892,19.1348,18.8345,19.0139,177585.61626192,0
SCHF.US,D,20091221,000000,19.1665,19.2052,19.0753,19.1061,156804.40660528,0
SCHF.US,D,20091222,000000,19.2547,19.2924,19.1477,19.2696,199024.62515617,0
SCHF.US,D,20091223,000000,19.3677,19.3846,19.2171,19.3677,117560.42693617,0
SCHF.US,D,20091224,000000,19.5124,19.5124,19.3985,19.4817,78525.288436055,0
SCHF.US,D,20091228,000000,19.6244,19.9188,19.4817,19.557,160619.03684665,0
SCHF.US,D,20091229,000000,19.7355,19.7355,19.5124,19.565,247030.85387218,0
