<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHG.US,D,20091211,000000,11.3033,11.3312,11.2474,11.2684,136327.15008388,0
SCHG.US,D,20091214,000000,11.407,11.439,11.3632,11.429,262520.86058533,0
SCHG.US,D,20091215,000000,11.399,11.4569,11.3811,11.393,136016.3083789,0
SCHG.US,D,20091216,000000,11.4569,11.4968,11.424,11.434,170131.68685831,0
SCHG.US,D,20091217,000000,11.443,11.443,11.2954,11.2954,341009.39380857,0
SCHG.US,D,20091218,000000,11.393,11.403,11.3083,11.3761,58914.530245946,0
SCHG.US,D,20091221,000000,11.4529,11.5546,11.434,11.5008,77984.16748903,0
SCHG.US,D,20091222,000000,11.5546,11.6733,11.5496,11.5856,608123.6926214,0
SCHG.US,D,20091223,000000,11.6294,11.6783,11.5626,11.6444,1067159.6818118,0
SCHG.US,D,20091224,000000,11.6693,11.7092,11.6693,11.7092,99853.38550731,0
SCHG.US,D,20091228,000000,11.7342,11.7431,11.6873,11.6962,214973.10958997,0
SCHG.US,D,20091229,000000,11.7342,11.7342,11.6922,11.6962,108303.26630695,0
SCHG.US,D,20091230,000000,11.6584,11.7012,11.6484,11.7012,111906.02193921,0
SCHG.US,D,20091231,000000,11.7302,11.7302,11.5666,11.5666,201867.62222184,0
SCHG.US,D,20100104,000000,11.6733,11.774,11.6733,11.7601,135052.69909345,0
SCHG.US,D,20100105,000000,11.784,11.8119,11.7262,11.793,104491.94591779,0
SCHG.US,D,20100106,000000,11.793,11.8299,11.778,11.784,81434.510414335,0
SCHG.US,D,20100107,000000,11.788,11.8249,11.7302,11.8199,144602.55844265,0
SCHG.US,D,20100108,000000,11.8119,11.8997,11.774,11.8957,133625.83539607,0
SCHG.US,D,20100111,000000,11.9496,11.9496,11.8299,11.8997,198430.31459384,0
SCHG.US,D,20100112,000000,11.8199,11.8199,11.6962,11.7302,221992.11583151,0
SCHG.US,D,20100113,000000,11.7601,11.8658,11.6873,11.8508,80992.313021118,0
SCHG.US,D,20100114,000000,11.8299,11.8827,11.8159,11.8778,150709.0938728,0
SCHG.US,D,20100115,000000,11.8877,11.8877,11.7152,11.7521,197686.29993224,0
SCHG.US,D,20100119,000000,11.784,11.8997,11.7521,11.8957,275901.09191206,0
SCHG.US,D,20100120,000000,11.8339,11.8339,11.6653,11.7561,223832.09818197,0
SCHG.US,D,20100121,000000,11.784,11.8199,11.5626,11.5896,205188.61488926,0
SCHG.US,D,20100122,000000,11.5496,11.5496,11.2774,11.3004,260568.57413501,0
SCHG.US,D,20100125,000000,11.3851,11.421,11.3132,11.3432,154752.04146791,0
SCHG.US,D,20100126,000000,11.3004,11.439,11.2554,11.3222,183060.69635522,0
SCHG.US,D,20100127,000000,11.3272,11.3811,11.2166,11.3712,61036.275561246,0
SCHG.US,D,20100128,000000,11.3712,11.3761,11.1168,11.1946,95197.778938816,0
SCHG.US,D,20100129,000000,11.2474,11.2914,11.026,11.053,91176.891077591,0
SCHG.US,D,20100201,000000,11.1038,11.1996,11.0978,11.1996,66869.069747964,0
SCHG.US,D,20100202,000000,11.2474,11.3432,11.2166,11.3432,688299.79548815,0
