<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHJ.US,D,20191014,000000,48.9167,48.9167,48.9087,48.9087,188.520209759,0
SCHJ.US,D,20191015,000000,48.9545,48.9545,48.9047,48.9047,2509.925984185,0
SCHJ.US,D,20191016,000000,48.9445,48.9545,48.9445,48.9445,2005.5341463724,0
SCHJ.US,D,20191017,000000,48.9445,48.9725,48.9316,48.9445,5823.0683939922,0
SCHJ.US,D,20191018,000000,48.9925,49.0024,48.9545,48.9825,1622.4771244153,0
SCHJ.US,D,20191021,000000,48.9725,48.9725,48.9495,48.9495,2850.8667890684,0
SCHJ.US,D,20191022,000000,48.9695,48.9825,48.9515,48.9725,3648.0666122514,0
SCHJ.US,D,20191023,000000,49.0024,49.0024,48.9675,48.9675,7007.3363074251,0
SCHJ.US,D,20191024,000000,49.0074,49.0124,49.0024,49.0024,703.94248537671,0
SCHJ.US,D,20191025,000000,48.9825,48.9825,48.9346,48.9585,733.02273049911,0
SCHJ.US,D,20191028,000000,48.9545,48.9725,48.9247,48.9395,7106.6102476706,0
SCHJ.US,D,20191029,000000,48.9445,48.9635,48.9395,48.9605,3518.7096598104,0
SCHJ.US,D,20191030,000000,48.9825,48.9825,48.9247,48.9725,28398.363512633,0
SCHJ.US,D,20191031,000000,49.0413,49.1011,48.9925,49.0912,8165.5322769552,0
SCHJ.US,D,20191101,000000,49.1011,49.1011,49.0612,49.0812,17132.275445386,0
SCHJ.US,D,20191104,000000,49.0912,49.0912,49.0313,49.0413,31252.238602921,0
SCHJ.US,D,20191105,000000,49.0213,49.4133,48.9875,49.0124,113750.88848102,0
SCHJ.US,D,20191106,000000,49.0313,49.0313,49.0084,49.0174,7460.5870245053,0
SCHJ.US,D,20191107,000000,48.9825,48.9825,48.9087,48.9395,12442.333844094,0
SCHJ.US,D,20191108,000000,48.9445,48.9725,48.9247,48.9346,8271.8255867129,0
SCHJ.US,D,20191111,000000,48.9635,48.9635,48.9247,48.9296,14460.903962419,0
SCHJ.US,D,20191112,000000,48.9635,49.3146,48.9247,48.9585,71159.359814512,0
SCHJ.US,D,20191113,000000,49.0124,49.0592,48.9954,48.9974,10820.859486753,0
SCHJ.US,D,20191114,000000,49.0513,49.0912,49.0124,49.0513,7066.4995647431,0
SCHJ.US,D,20191115,000000,49.0413,49.0812,49.0313,49.0313,10169.060889181,0
SCHJ.US,D,20191118,000000,49.0712,49.0812,49.0513,49.0712,10571.170485529,0
SCHJ.US,D,20191119,000000,49.0662,49.1211,49.0662,49.0712,108680.89815899,0
SCHJ.US,D,20191120,000000,49.0912,49.1111,49.0712,49.1011,9952.463201373,0
SCHJ.US,D,20191121,000000,49.0812,49.1111,49.0712,49.0712,9262.5594550209,0
SCHJ.US,D,20191122,000000,49.0812,49.0812,49.0563,49.0563,9511.2456891711,0
SCHJ.US,D,20191125,000000,49.0712,49.0812,49.0413,49.0782,17233.554919778,0
SCHJ.US,D,20191126,000000,49.1211,49.1211,49.0912,49.1061,12012.146769697,0
SCHJ.US,D,20191127,000000,49.1111,49.1111,49.0912,49.0912,17387.981049049,0
SCHJ.US,D,20191129,000000,49.0812,49.0812,49.0503,49.0652,4567.6040183631,0
SCHJ.US,D,20191202,000000,48.9635,49.0164,48.9635,48.9925,9287.6286318505,0
SCHJ.US,D,20191203,000000,49.0942,49.15,49.0942,49.1211,11484.691289201,0
SCHJ.US,D,20191204,000000,49.1111,49.1211,49.0702,49.0822,6238.2139622913,0
SCHJ.US,D,20191205,000000,49.0612,49.0812,49.0513,49.0612,3671.1302549347,0
SCHJ.US,D,20191206,000000,49.0213,49.0513,49.0213,49.0463,15866.783399026,0
SCHJ.US,D,20191209,000000,49.0513,49.0712,49.0134,49.0463,14233.275836805,0
SCHJ.US,D,20191210,000000,49.0712,49.0712,49.0174,49.0263,3740.3211829845,0
SCHJ.US,D,20191211,000000,49.0513,49.0712,49.0243,49.0712,6115.8763793626,0
SCHJ.US,D,20191212,000000,48.9994,49.0124,48.9635,48.9974,6949.1758171803,0
SCHJ.US,D,20191213,000000,49.0413,49.0812,49.0233,49.0712,5374.831512278,0
SCHJ.US,D,20191216,000000,49.0812,49.0812,49.0513,49.0513,8076.2860074416,0
SCHJ.US,D,20191217,000000,49.1011,49.1011,49.0612,49.0662,4279.8098683587,0
SCHJ.US,D,20191218,000000,49.0712,49.0812,49.0612,49.0712,23681.347200365,0
SCHJ.US,D,20191219,000000,49.0902,49.1001,49.0583,49.0802,18704.614216142,0
SCHJ.US,D,20191220,000000,49.0702,49.0902,49.0553,49.0802,10790.776474556,0
SCHJ.US,D,20191223,000000,49.0802,49.1001,49.0602,49.0602,15658.207847803,0
SCHJ.US,D,20191224,000000,49.0303,49.1101,49.0303,49.0802,4380.0865756773,0
SCHJ.US,D,20191226,000000,49.129,49.139,49.1001,49.1001,13993.614506313,0
SCHJ.US,D,20191227,000000,49.178,49.2138,49.169,49.1918,5616.4983769159,0
SCHJ.US,D,20191230,000000,49.1869,49.2438,49.178,49.2098,27849.8499236,0
SCHJ.US,D,20191231,000000,49.1869,49.2736,49.1869,49.2118,17120.242240508,0
SCHJ.US,D,20200102,000000,49.2538,49.2538,49.2238,49.2288,5899.2786915544,0
SCHJ.US,D,20200103,000000,49.2636,49.3335,49.2398,49.2806,10920.133426998,0
SCHJ.US,D,20200106,000000,49.3036,49.3036,49.2478,49.2736,17227.538317339,0
SCHJ.US,D,20200107,000000,49.2836,49.2836,49.2736,49.2736,9175.3187196537,0
SCHJ.US,D,20200108,000000,49.2538,49.3036,49.2108,49.2408,12161.559063602,0
SCHJ.US,D,20200109,000000,49.2338,49.2636,49.2018,49.2587,11456.613811153,0
SCHJ.US,D,20200110,000000,49.2836,49.3036,49.2736,49.2986,4196.5802012842,0
SCHJ.US,D,20200113,000000,49.2936,49.2936,49.2626,49.2786,16963.810577091,0
SCHJ.US,D,20200114,000000,49.2438,49.3036,49.2438,49.2936,5185.3085354458,0
SCHJ.US,D,20200115,000000,49.3434,49.3434,49.2856,49.3235,17472.213483196,0
SCHJ.US,D,20200116,000000,49.3136,49.3136,49.2856,49.2986,27967.173671163,0
SCHJ.US,D,20200117,000000,49.2736,49.3434,49.2736,49.3136,13012.908308738,0
