<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHP.US,D,20100805,000000,43.3022,43.3665,43.2795,43.3289,5318.2336776049,0
SCHP.US,D,20100806,000000,43.4546,43.4803,43.3943,43.4289,11379.745878321,0
SCHP.US,D,20100809,000000,43.4635,43.4635,43.3112,43.4041,26867.243268037,0
SCHP.US,D,20100810,000000,43.3943,43.6672,43.3764,43.6513,25332.145583572,0
SCHP.US,D,20100811,000000,43.7028,43.7275,43.6346,43.6513,25898.453029751,0
SCHP.US,D,20100812,000000,43.6672,43.6672,43.3379,43.3844,120266.51009251,0
SCHP.US,D,20100813,000000,43.4367,43.593,43.3943,43.5297,150017.87628288,0
SCHP.US,D,20100816,000000,43.7808,43.7808,43.6346,43.6672,69654.8046168,0
SCHP.US,D,20100817,000000,43.6197,43.6346,43.504,43.5475,93974.675640325,0
SCHP.US,D,20100818,000000,43.6434,43.6434,43.4961,43.4961,32357.391706089,0
SCHP.US,D,20100819,000000,43.4961,43.6197,43.4803,43.5475,19479.964885283,0
SCHP.US,D,20100820,000000,43.5663,43.5663,43.4546,43.4546,22807.021131589,0
SCHP.US,D,20100823,000000,43.421,43.5297,43.3379,43.5297,18015.655631589,0
SCHP.US,D,20100824,000000,43.7097,45.0941,43.5564,43.6513,30340.932692371,0
SCHP.US,D,20100825,000000,43.7631,43.7631,43.5841,43.6434,39896.359583356,0
SCHP.US,D,20100826,000000,43.7453,43.9085,43.7097,43.9085,17630.364315528,0
SCHP.US,D,20100827,000000,43.9085,43.9085,43.6029,43.6029,55814.655137488,0
SCHP.US,D,20100830,000000,43.7987,43.8383,43.7097,43.7987,29346.860871667,0
SCHP.US,D,20100831,000000,43.9549,43.9549,43.8472,43.8926,24113.573310988,0
SCHP.US,D,20100901,000000,43.7631,43.7631,43.4961,43.7275,41019.873106045,0
SCHP.US,D,20100902,000000,43.6859,43.7028,43.5841,43.6513,14262.857537353,0
SCHP.US,D,20100903,000000,43.5297,43.6197,43.5109,43.5752,13391.148575556,0
SCHP.US,D,20100907,000000,43.7908,43.8659,43.7186,43.8659,20465.946599613,0
SCHP.US,D,20100908,000000,43.8224,43.8224,43.676,43.7364,20050.31738465,0
SCHP.US,D,20100909,000000,43.6859,43.6859,43.5376,43.593,27109.946459257,0
SCHP.US,D,20100910,000000,43.6346,43.7186,43.6197,43.6266,14266.90259054,0
SCHP.US,D,20100913,000000,43.6513,43.8995,43.6513,43.8659,11797.397619878,0
SCHP.US,D,20100914,000000,44.0014,44.0014,43.9272,43.9549,30836.451707779,0
SCHP.US,D,20100915,000000,43.8659,43.9174,43.7532,43.7808,25034.834174328,0
SCHP.US,D,20100916,000000,43.7097,43.7097,43.5475,43.6346,30971.960989543,0
SCHP.US,D,20100917,000000,43.6672,43.7186,43.593,43.6108,10952.992767092,0
SCHP.US,D,20100920,000000,43.6939,43.8076,43.6583,43.7631,27792.549184563,0
SCHP.US,D,20100921,000000,43.9085,44.3405,43.856,44.3139,54673.950138754,0
SCHP.US,D,20100922,000000,44.5611,44.6046,44.4296,44.4395,17392.717440793,0
SCHP.US,D,20100923,000000,44.5008,44.5008,44.2812,44.3831,17004.39233484,0
SCHP.US,D,20100924,000000,44.2645,44.3228,44.1814,44.1814,25320.01042401,0
SCHP.US,D,20100927,000000,44.216,44.3307,44.1903,44.3069,19098.718622409,0
