<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHX.US,D,20091103,000000,9.75331,9.90701,9.42411,9.8366,132939.569287,0
SCHX.US,D,20091104,000000,9.94667,10.0111,9.86536,9.87528,102288.90149756,0
SCHX.US,D,20091105,000000,9.96052,10.0677,9.93874,10.0637,113350.89521263,0
SCHX.US,D,20091106,000000,10.0231,10.1499,9.99228,10.0855,240506.84393659,0
SCHX.US,D,20091109,000000,10.2353,10.613,10.1837,10.3076,371952.85750365,0
SCHX.US,D,20091110,000000,10.2937,10.3493,10.2699,10.3037,247531.900753,0
SCHX.US,D,20091111,000000,10.3919,10.4335,10.3275,10.3681,292849.87062943,0
SCHX.US,D,20091112,000000,10.4197,10.4197,10.2431,10.2649,239816.0365982,0
SCHX.US,D,20091113,000000,10.2957,10.3533,10.2401,10.3106,541303.5201522,0
SCHX.US,D,20091116,000000,10.3919,10.5039,10.3839,10.4683,507853.317806,0
SCHX.US,D,20091117,000000,10.4494,10.4782,10.4077,10.4762,302952.80189369,0
SCHX.US,D,20091118,000000,10.4722,10.4782,10.4077,10.4683,347396.42146005,0
SCHX.US,D,20091119,000000,10.4246,10.4246,10.2699,10.3413,431860.47667135,0
SCHX.US,D,20091120,000000,10.2897,10.3155,10.2561,10.3037,317188.47545391,0
SCHX.US,D,20091123,000000,10.4157,10.4911,10.3998,10.4246,277908.26256282,0
SCHX.US,D,20091124,000000,10.4455,10.4455,10.3572,10.4246,308212.01396627,0
SCHX.US,D,20091125,000000,10.4563,10.4841,10.4246,10.4762,328541.91927233,0
SCHX.US,D,20091127,000000,10.2183,10.3681,10.1837,10.3037,430192.45428054,0
SCHX.US,D,20091130,000000,10.3076,10.3493,10.2521,10.3413,449498.75455235,0
SCHX.US,D,20091201,000000,10.4246,10.4871,10.4246,10.4534,600525.37437084,0
SCHX.US,D,20091202,000000,10.4782,10.5198,10.4296,10.4633,194383.10024503,0
SCHX.US,D,20091203,000000,10.4911,10.5436,10.3711,10.3839,192339.92408797,0
SCHX.US,D,20091204,000000,10.5238,10.5644,10.3611,10.4375,545877.97575358,0
SCHX.US,D,20091207,000000,10.4375,10.4841,10.4038,10.4246,490658.77018616,0
SCHX.US,D,20091208,000000,10.3681,10.3681,10.2937,10.3155,756168.8058611,0
SCHX.US,D,20091209,000000,10.3235,10.3572,10.2699,10.3453,398334.63848518,0
SCHX.US,D,20091210,000000,10.4157,10.4415,10.3879,10.4038,312479.8922963,0
SCHX.US,D,20091211,000000,10.4563,10.4683,10.4117,10.4494,238327.52326759,0
SCHX.US,D,20091214,000000,10.5277,10.5416,10.4841,10.5317,317124.94134833,0
SCHX.US,D,20091215,000000,10.5039,10.5317,10.4633,10.4762,196420.22553488,0
SCHX.US,D,20091216,000000,10.5416,10.5605,10.4871,10.5039,145310.56727249,0
SCHX.US,D,20091217,000000,10.4494,10.4494,10.3751,10.3879,313496.4379855,0
SCHX.US,D,20091218,000000,10.4455,10.4455,10.3572,10.4455,332807.78064664,0
SCHX.US,D,20091221,000000,10.5,10.5833,10.5,10.5436,228487.80472642,0
SCHX.US,D,20091222,000000,10.5793,10.6011,10.5575,10.5862,277721.69415756,0
SCHX.US,D,20091223,000000,10.6081,10.6081,10.5575,10.5972,267685.32243248,0
SCHX.US,D,20091224,000000,10.6249,10.6477,10.617,10.6477,152931.63450787,0
SCHX.US,D,20091228,000000,10.6854,10.6934,10.6289,10.6438,239625.43428148,0
SCHX.US,D,20091229,000000,10.6894,10.6894,10.6477,10.6517,275683.56038983,0
SCHX.US,D,20091230,000000,10.613,10.6477,10.6081,10.6438,375103.34235787,0
SCHX.US,D,20091231,000000,10.6775,10.6775,10.5416,10.5416,490202.9381906,0
SCHX.US,D,20100104,000000,10.6338,10.7172,10.621,10.7013,603889.65653271,0
SCHX.US,D,20100105,000000,10.7172,10.7449,10.6854,10.741,324941.65328976,0
SCHX.US,D,20100106,000000,10.7528,10.7746,10.7251,10.7608,229496.28259269,0
SCHX.US,D,20100107,000000,10.7498,10.8094,10.7092,10.8014,222433.91209522,0
SCHX.US,D,20100108,000000,10.7746,10.8292,10.7528,10.8292,433685.8216093,0
SCHX.US,D,20100111,000000,10.8867,10.8867,10.8014,10.845,445708.89473092,0
SCHX.US,D,20100112,000000,10.7866,10.7906,10.7052,10.741,365075.03845571,0
SCHX.US,D,20100113,000000,10.7786,10.857,10.7172,10.8411,396941.93055187,0
SCHX.US,D,20100114,000000,10.8252,10.8748,10.8173,10.853,271309.79188384,0
