<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCIO.US,D,20240301,000000,20.1116,20.14,20.1116,20.14,150,0
SCIO.US,D,20240304,000000,20.165,20.165,20.165,20.165,83,0
SCIO.US,D,20240305,000000,20.205,20.205,20.205,20.205,83,0
SCIO.US,D,20240306,000000,20.25,20.25,20.25,20.25,83,0
SCIO.US,D,20240307,000000,20.235,20.235,20.235,20.235,2,0
SCIO.US,D,20240308,000000,20.28,20.28,20.28,20.28,193,0
SCIO.US,D,20240311,000000,20.26,20.26,20.26,20.26,1,0
SCIO.US,D,20240312,000000,20.24,20.24,20.24,20.24,2,0
SCIO.US,D,20240313,000000,20.235,20.235,20.235,20.235,12,0
SCIO.US,D,20240314,000000,20.195,20.195,20.195,20.195,2,0
SCIO.US,D,20240315,000000,20.19,20.19,20.19,20.19,10,0
SCIO.US,D,20240318,000000,20.215,20.215,20.215,20.215,1,0
SCIO.US,D,20240319,000000,20.215,20.215,20.215,20.215,1,0
SCIO.US,D,20240320,000000,20.24,20.24,20.24,20.24,3011,0
SCIO.US,D,20240321,000000,20.225,20.225,20.225,20.225,11,0
SCIO.US,D,20240322,000000,20.2,20.2,20.145,20.145,801,0
SCIO.US,D,20240325,000000,20.165,20.165,20.165,20.165,201,0
SCIO.US,D,20240326,000000,20.29,20.29,20.29,20.29,201,0
SCIO.US,D,20240327,000000,20.3,20.34,20.3,20.305,580,0
SCIO.US,D,20240328,000000,20.305,20.305,20.305,20.305,89,0
SCIO.US,D,20240401,000000,20.29,20.29,20.29,20.29,1,0
SCIO.US,D,20240402,000000,20.275,20.275,20.275,20.275,89,0
SCIO.US,D,20240403,000000,20.265,20.265,20.265,20.265,89,0
SCIO.US,D,20240404,000000,20.295,20.295,20.295,20.295,89,0
SCIO.US,D,20240405,000000,20.2805,20.2805,20.2805,20.2805,26,0
SCIO.US,D,20240408,000000,20.255,20.255,20.255,20.255,26,0
SCIO.US,D,20240409,000000,20.28,20.28,20.28,20.28,26,0
SCIO.US,D,20240410,000000,20.2,20.2,20.2,20.2,300,0
SCIO.US,D,20240411,000000,20.1932,20.1932,20.1932,20.1932,84,0
