<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDVD.US,D,20230811,000000,19.78,19.9197,19.78,19.8516,3439,0
SDVD.US,D,20230814,000000,19.66,19.821,19.66,19.821,2260,0
SDVD.US,D,20230815,000000,19.5352,19.5352,19.5352,19.5352,4,0
SDVD.US,D,20230816,000000,19.57,19.57,19.41,19.41,2556,0
SDVD.US,D,20230817,000000,19.46,19.46,19.27,19.2704,6696,0
SDVD.US,D,20230818,000000,19.3108,19.3108,19.3108,19.3108,127,0
SDVD.US,D,20230821,000000,19.36,19.36,19.2812,19.2812,202,0
SDVD.US,D,20230822,000000,19.2,19.2,19.0679,19.0679,68858,0
SDVD.US,D,20230823,000000,19.01,19.2295,19.01,19.207,15651,0
SDVD.US,D,20230824,000000,19.1736,19.21,19.1165,19.1165,1473,0
SDVD.US,D,20230825,000000,19.15,19.25,18.9695,19.1426,7290,0
SDVD.US,D,20230828,000000,19.39,19.39,19.2987,19.3464,23316,0
SDVD.US,D,20230829,000000,19.46,19.63,19.4515,19.6299,24867,0
SDVD.US,D,20230830,000000,19.6699,19.6899,19.6415,19.6472,4750,0
SDVD.US,D,20230831,000000,19.675,19.685,19.64,19.6654,14268,0
SDVD.US,D,20230901,000000,19.9513,19.9513,19.9513,19.9513,1,0
SDVD.US,D,20230905,000000,19.5368,19.5368,19.52,19.52,902,0
SDVD.US,D,20230906,000000,19.36,19.41,19.36,19.4,10169,0
SDVD.US,D,20230907,000000,19.2,19.2,19.1777,19.1777,443,0
SDVD.US,D,20230908,000000,19.1633,19.1633,19.1633,19.1633,12,0
SDVD.US,D,20230911,000000,19.11,19.11,19.0828,19.0828,503,0
SDVD.US,D,20230912,000000,19.1462,19.1462,19.1462,19.1462,40,0
SDVD.US,D,20230913,000000,18.9956,18.9956,18.9956,18.9956,301,0
SDVD.US,D,20230914,000000,19.24,19.292,19.24,19.292,6738,0
SDVD.US,D,20230915,000000,19.16,19.16,19.16,19.16,55,0
SDVD.US,D,20230918,000000,20.18,20.18,19.1323,19.1323,4101,0
SDVD.US,D,20230919,000000,19.1,19.1252,19.1,19.1252,2404,0
SDVD.US,D,20230920,000000,19.2297,19.26,18.9399,18.9399,5254,0
SDVD.US,D,20230921,000000,18.7699,18.7699,18.6998,18.6998,3683,0
SDVD.US,D,20230922,000000,18.4801,18.4801,18.3828,18.3828,4980,0
SDVD.US,D,20230925,000000,18.45,18.545,18.45,18.5408,1485,0
SDVD.US,D,20230926,000000,18.42,18.4299,18.2984,18.2984,2654,0
SDVD.US,D,20230927,000000,18.45,18.45,18.397,18.425,2356,0
SDVD.US,D,20230928,000000,18.6241,18.6241,18.6241,18.6241,289,0
SDVD.US,D,20230929,000000,18.76,18.76,18.578,18.578,734,0
SDVD.US,D,20231002,000000,18.315,18.3416,18.285,18.3416,1607,0
SDVD.US,D,20231003,000000,18.08,18.08,18.04,18.064,529,0
SDVD.US,D,20231004,000000,18.01,18.1202,18.01,18.1202,1101,0
SDVD.US,D,20231005,000000,17.9917,18.1225,17.9917,18.1225,401,0
SDVD.US,D,20231006,000000,18.38,18.38,18.2797,18.2797,2505,0
SDVD.US,D,20231009,000000,18.4546,18.4546,18.4546,18.4546,49,0
SDVD.US,D,20231010,000000,18.66,18.66,18.61,18.61,1623,0
SDVD.US,D,20231011,000000,18.7,18.7,18.55,18.6764,1309,0
SDVD.US,D,20231012,000000,18.31,18.3951,18.31,18.3951,2804,0
SDVD.US,D,20231013,000000,18.3509,18.3509,18.2302,18.2398,1145,0
SDVD.US,D,20231016,000000,18.49,18.53,18.47,18.515,1424,0
SDVD.US,D,20231017,000000,18.67,18.72,18.65,18.6972,3794,0
SDVD.US,D,20231018,000000,18.4399,18.4399,18.33,18.3348,2692,0
SDVD.US,D,20231019,000000,18.27,18.2798,18.07,18.1017,4741,0
SDVD.US,D,20231020,000000,17.8099,17.8099,17.8099,17.8099,5626,0
SDVD.US,D,20231023,000000,17.8001,17.8001,17.7124,17.7124,612,0
SDVD.US,D,20231024,000000,17.74,17.75,17.6052,17.6331,5598,0
SDVD.US,D,20231025,000000,17.49,17.49,17.43,17.45,4333,0
SDVD.US,D,20231026,000000,17.5493,17.72,17.5493,17.59,40022,0
SDVD.US,D,20231027,000000,17.61,17.61,17.3868,17.3868,617,0
SDVD.US,D,20231030,000000,17.52,17.52,17.5154,17.5154,313,0
SDVD.US,D,20231031,000000,17.55,17.65,17.55,17.6202,1555,0
SDVD.US,D,20231101,000000,17.58,17.7399,17.55,17.7253,1873,0
SDVD.US,D,20231102,000000,18.05,18.16,18.05,18.16,5868,0
SDVD.US,D,20231103,000000,18.59,18.7,18.57,18.58,46671,0
SDVD.US,D,20231106,000000,18.52,18.52,18.3423,18.3423,15248,0
SDVD.US,D,20231107,000000,18.11,18.23,18.11,18.1609,8908,0
