<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEA.US,D,20220121,000000,19.7,19.7,19.4,19.4141,5664,0
SEA.US,D,20220124,000000,19.01,19.1717,18.75,19.1717,15731,0
SEA.US,D,20220125,000000,18.9,18.9973,18.8801,18.9973,2406,0
SEA.US,D,20220126,000000,19.34,19.34,19.067,19.067,2775,0
SEA.US,D,20220127,000000,19.16,19.26,19.0004,19.0257,4960,0
SEA.US,D,20220128,000000,19,19.259,18.9004,19.2343,17084,0
SEA.US,D,20220131,000000,19.76,19.9056,19.629,19.9056,9251,0
SEA.US,D,20220201,000000,20.07,20.19,19.9802,20.179,179983,0
SEA.US,D,20220202,000000,20.25,20.319,20.1401,20.29,27054,0
SEA.US,D,20220203,000000,20.06,20.0883,19.88,20.05,21350,0
SEA.US,D,20220204,000000,20.05,20.05,19.78,19.8539,23890,0
SEA.US,D,20220207,000000,20.11,20.3099,20.1001,20.25,8931,0
SEA.US,D,20220208,000000,20.44,20.57,20.3851,20.5288,10567,0
SEA.US,D,20220209,000000,20.86,20.999,20.86,20.96,25569,0
SEA.US,D,20220210,000000,20.8,21.1,20.75,20.8019,14631,0
SEA.US,D,20220211,000000,20.87,20.95,20.34,20.46,155960,0
SEA.US,D,20220214,000000,20.41,20.47,20.38,20.42,3218,0
SEA.US,D,20220215,000000,20.61,20.8899,20.61,20.85,4786,0
SEA.US,D,20220216,000000,20.8,21.02,20.8,20.94,6141,0
SEA.US,D,20220217,000000,20.96,20.99,20.85,20.93,13758,0
SEA.US,D,20220218,000000,21.05,21.3,21.03,21.08,8473,0
SEA.US,D,20220222,000000,20.81,21.03,20.68,20.83,13051,0
SEA.US,D,20220223,000000,20.98,21.06,20.59,20.592,5429,0
SEA.US,D,20220224,000000,19.9,20.58,19.8,20.58,9399,0
SEA.US,D,20220225,000000,20.8,21.2499,20.8,21.24,8438,0
SEA.US,D,20220228,000000,21.11,21.375,21.11,21.25,10804,0
SEA.US,D,20220301,000000,21.435,21.435,20.97,21.05,6551,0
SEA.US,D,20220302,000000,21.27,21.74,21.27,21.64,7106,0
SEA.US,D,20220303,000000,21.97,22.14,21.7969,21.8308,11203,0
SEA.US,D,20220304,000000,21.93,21.93,21.68,21.7877,5050,0
SEA.US,D,20220307,000000,21.64,21.8,20.91,20.9217,11651,0
SEA.US,D,20220308,000000,20.71,20.99,20.57,20.78,14373,0
SEA.US,D,20220309,000000,21.36,21.655,21.35,21.61,9833,0
SEA.US,D,20220310,000000,21.31,21.3899,21.11,21.2319,17099,0
SEA.US,D,20220311,000000,21.67,21.67,21.44,21.44,11805,0
SEA.US,D,20220314,000000,21.64,21.75,21.39,21.4471,13730,0
SEA.US,D,20220315,000000,21.26,21.48,21.22,21.48,2462,0
SEA.US,D,20220316,000000,22,22.57,22,22.563,14783,0
SEA.US,D,20220317,000000,22.39,22.59,22.39,22.59,43895,0
SEA.US,D,20220318,000000,22.54,22.898,22.54,22.8952,5215,0
SEA.US,D,20220321,000000,22.66,22.79,22.56,22.6977,10411,0
SEA.US,D,20220322,000000,22.69,22.81,22.69,22.7453,5196,0
SEA.US,D,20220323,000000,22.45,22.61,22.3678,22.3678,18002,0
SEA.US,D,20220324,000000,22.19,22.19,21.97,22.15,79745,0
SEA.US,D,20220325,000000,21.72,21.725,21.5101,21.6326,5272,0
SEA.US,D,20220328,000000,21.55,21.74,21.55,21.7046,6599,0
SEA.US,D,20220329,000000,21.83,21.88,21.64,21.8705,9313,0
SEA.US,D,20220330,000000,21.91,21.99,21.761,21.7875,20092,0
SEA.US,D,20220331,000000,21.75,21.75,21.5,21.5025,27207,0
SEA.US,D,20220401,000000,21.77,21.81,21.6,21.64,5318,0
SEA.US,D,20220404,000000,21.57,21.57,21.235,21.27,81575,0
SEA.US,D,20220405,000000,21.11,21.13,20.61,20.64,13153,0
SEA.US,D,20220406,000000,20.09,20.09,19.56,19.8,19696,0
SEA.US,D,20220407,000000,19.61,19.6701,19.51,19.62,60153,0
SEA.US,D,20220408,000000,19.6913,19.81,19.655,19.7015,11233,0
SEA.US,D,20220411,000000,19.51,19.51,19.29,19.29,4110,0
SEA.US,D,20220412,000000,19.43,19.4636,19.2767,19.2767,6403,0
SEA.US,D,20220413,000000,19.5682,19.82,19.5682,19.8,6380,0
SEA.US,D,20220414,000000,19.92,19.9699,19.865,19.8827,3610,0
SEA.US,D,20220418,000000,19.87,20.02,19.87,19.9591,7680,0
SEA.US,D,20220419,000000,20.3001,20.4453,20.3001,20.4453,2149,0
SEA.US,D,20220420,000000,20.58,20.65,20.47,20.47,2475,0
SEA.US,D,20220421,000000,20.58,20.58,20.0297,20.0439,5487,0
SEA.US,D,20220422,000000,20.13,20.19,19.812,19.87,10768,0
