<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEPT.US,D,20230905,000000,25.02,25.0599,24.99,24.9992,71948,0
SEPT.US,D,20230906,000000,24.93,24.94,24.7772,24.8361,15040,0
SEPT.US,D,20230907,000000,24.747,24.84,24.725,24.7909,21693,0
SEPT.US,D,20230908,000000,24.865,24.92,24.8152,24.8152,25587,0
SEPT.US,D,20230911,000000,24.98,24.98,24.8813,24.97,6189,0
SEPT.US,D,20230912,000000,24.94,24.945,24.8405,24.847,12345,0
SEPT.US,D,20230913,000000,24.91,24.93,24.83,24.8621,11824,0
SEPT.US,D,20230914,000000,25,25.0304,25,25.0304,4126,0
SEPT.US,D,20230915,000000,24.95,24.95,24.7936,24.8001,11833,0
SEPT.US,D,20230918,000000,24.8136,24.88,24.8007,24.8007,11857,0
SEPT.US,D,20230919,000000,24.7093,24.8,24.7093,24.7816,6926,0
SEPT.US,D,20230920,000000,24.88,24.88,24.6206,24.6206,10868,0
SEPT.US,D,20230921,000000,24.5,24.5,24.3158,24.3158,9538,0
SEPT.US,D,20230922,000000,24.386,24.4265,24.2819,24.2819,5582,0
SEPT.US,D,20230925,000000,24.2626,24.38,24.2626,24.38,4439,0
SEPT.US,D,20230926,000000,24.27,24.3,24.06,24.06,10602,0
SEPT.US,D,20230927,000000,24.18,24.18,24.09,24.12,8743,0
SEPT.US,D,20230928,000000,24.2272,24.23,24.22,24.2209,1561,0
SEPT.US,D,20230929,000000,24.3136,24.3136,24.14,24.18,3235,0
SEPT.US,D,20231002,000000,24.16,24.16,24.1487,24.1487,496,0
SEPT.US,D,20231003,000000,24.01,24.06,23.885,23.9114,14825,0
SEPT.US,D,20231004,000000,23.98,24.11,23.975,24.0839,3168,0
SEPT.US,D,20231005,000000,24.05,24.0502,24.025,24.0502,1436,0
SEPT.US,D,20231006,000000,24.214,24.2804,24.214,24.2804,859,0
SEPT.US,D,20231009,000000,24.3167,24.369,24.3167,24.369,1061,0
SEPT.US,D,20231010,000000,24.53,24.595,24.47,24.4711,4915,0
SEPT.US,D,20231011,000000,24.56,24.57,24.46,24.5426,5324,0
SEPT.US,D,20231012,000000,24.5299,24.65,24.4301,24.4301,7748,0
SEPT.US,D,20231013,000000,24.3001,24.3287,24.3001,24.3287,487,0
SEPT.US,D,20231016,000000,24.5419,24.57,24.475,24.5371,11164,0
SEPT.US,D,20231017,000000,24.61,24.62,24.5091,24.5091,5068,0
SEPT.US,D,20231018,000000,24.46,24.46,24.256,24.3065,20668,0
SEPT.US,D,20231019,000000,24.18,24.18,24.15,24.15,2070,0
SEPT.US,D,20231020,000000,23.95,23.95,23.93,23.9338,2080,0
SEPT.US,D,20231023,000000,23.99,24,23.9,23.91,2375,0
SEPT.US,D,20231024,000000,24.05,24.0799,24.0011,24.0351,9329,0
SEPT.US,D,20231025,000000,23.91,23.95,23.79,23.8,5255,0
SEPT.US,D,20231026,000000,23.68,23.68,23.5797,23.5797,603,0
SEPT.US,D,20231027,000000,23.421,23.4902,23.42,23.4902,1424,0
SEPT.US,D,20231030,000000,23.6126,23.7262,23.6126,23.7262,810,0
SEPT.US,D,20231031,000000,23.745,23.8724,23.745,23.8724,2272,0
SEPT.US,D,20231101,000000,23.91,24.06,23.9,24.05,4906,0
SEPT.US,D,20231102,000000,24.27,24.36,24.235,24.3271,3105,0
SEPT.US,D,20231103,000000,24.506,24.57,24.4758,24.5171,7353,0
SEPT.US,D,20231106,000000,24.4641,24.55,24.4641,24.55,2507,0
SEPT.US,D,20231107,000000,24.53,24.62,24.53,24.5754,5640,0
SEPT.US,D,20231108,000000,24.61,24.61,24.5948,24.5948,2895,0
SEPT.US,D,20231109,000000,24.55,24.55,24.4346,24.4346,7755,0
SEPT.US,D,20231110,000000,24.62,24.7301,24.62,24.7301,1230,0
SEPT.US,D,20231113,000000,24.75,24.77,24.7249,24.7249,4935,0
SEPT.US,D,20231114,000000,25.14,25.14,25.0654,25.0654,4579,0
SEPT.US,D,20231115,000000,25.07,25.15,25.07,25.0956,7380,0
SEPT.US,D,20231116,000000,25.11,25.11,25.11,25.11,1,0
SEPT.US,D,20231117,000000,25.2,25.2,25.155,25.18,5497,0
SEPT.US,D,20231120,000000,25.22,25.2855,25.22,25.2855,578,0
SEPT.US,D,20231121,000000,25.2277,25.29,25.2277,25.2536,5985,0
SEPT.US,D,20231122,000000,25.3331,25.3331,25.3331,25.3331,1,0
SEPT.US,D,20231124,000000,25.36,25.36,25.3301,25.3301,278,0
SEPT.US,D,20231127,000000,25.3143,25.3143,25.3143,25.3143,60,0
SEPT.US,D,20231128,000000,25.3293,25.3293,25.3293,25.3293,1,0
SEPT.US,D,20231129,000000,25.38,25.38,25.3244,25.3244,200,0
SEPT.US,D,20231130,000000,25.35,25.3906,25.271,25.3906,3770,0
SEPT.US,D,20231201,000000,25.48,25.5236,25.48,25.5236,264,0
SEPT.US,D,20231204,000000,25.44,25.44,25.4249,25.4249,311,0
SEPT.US,D,20231205,000000,25.43,25.43,25.4053,25.4053,100,0
SEPT.US,D,20231206,000000,25.42,25.43,25.3351,25.3351,267189,0
SEPT.US,D,20231207,000000,25.5,25.52,25.4291,25.4935,3812,0
SEPT.US,D,20231208,000000,25.5562,25.5849,25.5315,25.5849,1959,0
SEPT.US,D,20231211,000000,25.63,25.6466,25.62,25.6466,1528,0
SEPT.US,D,20231212,000000,25.69,25.82,25.6615,25.7291,3174,0
SEPT.US,D,20231213,000000,25.7837,26,25.7555,25.9837,2833,0
SEPT.US,D,20231214,000000,26.08,26.1,25.99,26.0372,1752,0
SEPT.US,D,20231215,000000,26.0637,26.1,26.0049,26.0682,51874,0
SEPT.US,D,20231218,000000,26.15,26.18,26.1454,26.1461,5286,0
SEPT.US,D,20231219,000000,26.24,26.25,26.2,26.2248,5252,0
