<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFY.US,D,20190412,000000,9.70103,9.70103,9.65636,9.68217,4180292.9738562,0
SFY.US,D,20190415,000000,9.72685,9.72685,9.64743,9.68217,66027.502563372,0
SFY.US,D,20190416,000000,9.72685,9.7467,9.66728,9.67224,98149.779814293,0
SFY.US,D,20190417,000000,9.67026,9.6921,9.65239,9.65239,34140.937090077,0
SFY.US,D,20190418,000000,9.66728,9.68217,9.63055,9.67026,38962.95537852,0
SFY.US,D,20190422,000000,9.68217,9.69309,9.65338,9.68614,35571.324800457,0
SFY.US,D,20190423,000000,9.67224,9.80626,9.67224,9.7735,96176.449163142,0
SFY.US,D,20190424,000000,9.78641,9.78641,9.75762,9.76655,31347.65179368,0
SFY.US,D,20190425,000000,9.72784,9.80626,9.72685,9.76556,23487.570593613,0
SFY.US,D,20190426,000000,9.77648,9.80626,9.72685,9.79237,23737.384785285,0
SFY.US,D,20190429,000000,9.78641,9.83505,9.77946,9.82612,35062.630579512,0
SFY.US,D,20190430,000000,9.81619,9.83505,9.7467,9.82116,43639.920265347,0
SFY.US,D,20190501,000000,9.85292,9.87278,9.7467,9.7467,33788.376738927,0
SFY.US,D,20190502,000000,9.76159,9.76159,9.68217,9.71195,57987.111926574,0
SFY.US,D,20190503,000000,9.76854,9.82612,9.76854,9.81123,32674.286029293,0
SFY.US,D,20190506,000000,9.70798,9.78145,9.69607,9.78145,46288.152160128,0
SFY.US,D,20190507,000000,9.75663,9.75663,9.58389,9.6236,38332.376007606,0
SFY.US,D,20190508,000000,9.62856,9.6643,9.59382,9.61367,36814.351867083,0
SFY.US,D,20190509,000000,9.58389,9.58389,9.48859,9.58091,33714.84272283,0
SFY.US,D,20190510,000000,9.56007,9.63254,9.43895,9.59382,54753.629848884,0
SFY.US,D,20190513,000000,9.48859,9.48859,9.37303,9.378,32743.790784234,0
SFY.US,D,20190514,000000,9.41106,9.50745,9.41006,9.45583,35795.956109904,0
SFY.US,D,20190515,000000,9.50249,9.53723,9.40212,9.52731,21152.613753711,0
SFY.US,D,20190516,000000,9.59283,9.66232,9.56602,9.6097,25221.160205982,0
SFY.US,D,20190517,000000,9.55609,9.63254,9.54617,9.54617,30688.867594674,0
SFY.US,D,20190520,000000,9.50745,9.54617,9.46476,9.47866,27435.239211204,0
SFY.US,D,20190521,000000,9.63254,9.6375,9.5422,9.55212,17890.926847929,0
SFY.US,D,20190522,000000,9.56602,9.56602,9.51936,9.5412,33826.654719909,0
SFY.US,D,20190523,000000,9.41106,9.43081,9.35437,9.39815,35945.038772676,0
SFY.US,D,20190524,000000,9.45682,9.45682,9.41106,9.41989,9488.91002238,0
SFY.US,D,20190528,000000,9.46873,9.46873,9.37303,9.37403,19593.289686339,0
SFY.US,D,20190529,000000,9.37303,9.37303,9.24825,9.29004,37453.997075598,0
SFY.US,D,20190530,000000,9.35238,9.35238,9.28706,9.28806,41344.248721716,0
SFY.US,D,20190531,000000,9.19037,9.25807,9.19037,9.19037,36855.651793932,0
SFY.US,D,20190603,000000,9.20963,9.20963,9.05585,9.10341,56874.028532229,0
SFY.US,D,20190604,000000,9.20278,9.30999,9.17101,9.30999,66218.892468282,0
SFY.US,D,20190605,000000,9.30503,9.39219,9.30503,9.37899,35463.542064534,0
SFY.US,D,20190606,000000,9.42585,9.46774,9.39219,9.45384,39578.425020099,0
SFY.US,D,20190607,000000,9.53723,9.58389,9.53525,9.57099,16481.692758618,0
SFY.US,D,20190610,000000,9.47866,9.70203,9.47866,9.63254,34387.729335882,0
SFY.US,D,20190611,000000,9.78641,9.78641,9.58687,9.61864,30096.566204742,0
SFY.US,D,20190612,000000,9.59382,9.61367,9.57793,9.57992,16810.077542832,0
