<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHLD.US,D,20230915,000000,24.853,24.853,24.853,24.853,63,0
SHLD.US,D,20230918,000000,25.11,25.11,25.0578,25.0578,345,0
SHLD.US,D,20230919,000000,25.005,25.01,24.895,24.895,587,0
SHLD.US,D,20230920,000000,24.755,24.755,24.73,24.73,331,0
SHLD.US,D,20230921,000000,24.58,24.58,24.3482,24.3482,443,0
SHLD.US,D,20230922,000000,24.15,24.15,24.0969,24.0969,148,0
SHLD.US,D,20230925,000000,23.99,24.0887,23.99,24.0887,505,0
SHLD.US,D,20230926,000000,24,24,23.9668,23.9668,801,0
SHLD.US,D,20230927,000000,24.1812,24.1812,24.1812,24.1812,7,0
SHLD.US,D,20230928,000000,24.29,24.45,24.29,24.45,458,0
SHLD.US,D,20230929,000000,24.42,24.42,24.3305,24.3305,270,0
SHLD.US,D,20231002,000000,24.1913,24.1913,24.1913,24.1913,58,0
SHLD.US,D,20231003,000000,23.96,23.9611,23.96,23.9611,252,0
SHLD.US,D,20231004,000000,23.71,23.71,23.71,23.71,393,0
SHLD.US,D,20231005,000000,23.7,23.7,23.7,23.7,14,0
SHLD.US,D,20231006,000000,23.875,23.8975,23.875,23.8975,260,0
SHLD.US,D,20231009,000000,24.6,25.3693,24.6,25.3693,7915,0
SHLD.US,D,20231010,000000,25.64,25.64,25.4501,25.4615,6462,0
SHLD.US,D,20231011,000000,25.65,25.82,25.645,25.7468,5638,0
SHLD.US,D,20231012,000000,25.92,25.92,25.57,25.698,21631,0
SHLD.US,D,20231013,000000,25.95,26,25.8,25.8734,10439,0
SHLD.US,D,20231016,000000,25.99,26.02,25.75,25.9087,5220,0
SHLD.US,D,20231017,000000,25.72,26.13,25.72,25.8932,7055,0
SHLD.US,D,20231018,000000,26.16,26.16,25.7548,25.7548,8725,0
SHLD.US,D,20231019,000000,25.66,25.669,25.5274,25.5274,3634,0
SHLD.US,D,20231020,000000,25.58,25.82,25.31,25.31,5416,0
SHLD.US,D,20231023,000000,25.26,25.4501,25.26,25.2777,1377,0
SHLD.US,D,20231024,000000,25.58,25.62,25.425,25.4571,5522,0
SHLD.US,D,20231025,000000,25.58,25.9099,25.545,25.545,4665,0
SHLD.US,D,20231026,000000,25.57,25.585,25.3847,25.4348,10386,0
SHLD.US,D,20231027,000000,25.33,25.44,25.03,25.0933,7550,0
SHLD.US,D,20231030,000000,25.3237,25.38,25.2491,25.3343,3237,0
SHLD.US,D,20231031,000000,25.35,25.68,25.35,25.5759,2834,0
SHLD.US,D,20231101,000000,25.8284,26.017,25.718,25.832,4243,0
SHLD.US,D,20231102,000000,26.22,26.52,26.22,26.4189,6558,0
SHLD.US,D,20231103,000000,26.64,26.89,26.6194,26.63,2970,0
SHLD.US,D,20231106,000000,26.75,26.75,26.43,26.5344,4989,0
SHLD.US,D,20231107,000000,26.46,26.56,26.4205,26.4666,5375,0
SHLD.US,D,20231108,000000,26.6,26.6,26.3399,26.3399,2045,0
SHLD.US,D,20231109,000000,26.385,26.44,26.1923,26.1923,1944,0
SHLD.US,D,20231110,000000,26.37,26.67,26.37,26.6093,2527,0
SHLD.US,D,20231113,000000,26.64,26.97,26.63,26.8213,2817,0
SHLD.US,D,20231114,000000,26.91,27.0065,26.91,27.0065,3306,0
SHLD.US,D,20231115,000000,26.99,26.99,26.8696,26.8696,1668,0
SHLD.US,D,20231116,000000,26.89,26.89,26.6932,26.712,1638,0
SHLD.US,D,20231117,000000,26.89,27.1899,26.8175,26.9158,3618,0
SHLD.US,D,20231120,000000,27.02,27.2283,26.92,27.1736,4082,0
SHLD.US,D,20231121,000000,27.24,27.37,27.0593,27.1163,4345,0
SHLD.US,D,20231122,000000,27.1729,27.1729,27.0514,27.1198,1362,0
SHLD.US,D,20231124,000000,27.224,27.51,27.2196,27.2901,4774,0
SHLD.US,D,20231127,000000,27.11,27.11,26.99,26.99,4073,0
SHLD.US,D,20231128,000000,27.03,27.2,27.0299,27.0699,1914,0
SHLD.US,D,20231129,000000,27.16,27.16,26.9591,26.9591,1978,0
SHLD.US,D,20231130,000000,27.01,27.1,26.95,27.0591,1099,0
SHLD.US,D,20231201,000000,27.23,27.54,27.23,27.54,1588,0
SHLD.US,D,20231204,000000,27.31,27.5,27.31,27.4773,2305,0
SHLD.US,D,20231205,000000,27.3727,27.45,27.2803,27.2803,2461,0
SHLD.US,D,20231206,000000,27.3,27.36,27.1553,27.1553,2885,0
SHLD.US,D,20231207,000000,27.0271,27.0499,26.93,26.93,3741,0
SHLD.US,D,20231208,000000,27.07,27.1887,27.07,27.141,2473,0
SHLD.US,D,20231211,000000,27.13,27.3,27.13,27.2678,3819,0
SHLD.US,D,20231212,000000,27.24,27.45,27.175,27.4,2486,0
SHLD.US,D,20231213,000000,27.3617,27.8005,27.3617,27.7891,4014,0
SHLD.US,D,20231214,000000,27.53,27.55,27.39,27.4273,3358,0
SHLD.US,D,20231215,000000,27.52,27.52,27.25,27.327,2001,0
SHLD.US,D,20231218,000000,27.45,27.55,27.4,27.4528,3550,0
