<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHRT.US,D,20231107,000000,8.34,8.34,8.25,8.284,103541,0
SHRT.US,D,20231108,000000,8.305,8.305,8.23,8.2601,482,0
SHRT.US,D,20231109,000000,8.24,8.31,8.24,8.3049,4220,0
SHRT.US,D,20231110,000000,8.3799,8.3799,8.295,8.295,197,0
SHRT.US,D,20231113,000000,8.31,8.3299,8.3,8.3299,313,0
SHRT.US,D,20231114,000000,8.2,8.2463,8.2,8.2299,5936,0
SHRT.US,D,20231115,000000,8.2051,8.2051,8.16,8.1948,10273,0
SHRT.US,D,20231116,000000,8.21,8.2149,8.21,8.2149,5036,0
SHRT.US,D,20231117,000000,8.16,8.2098,8.16,8.2098,4235,0
SHRT.US,D,20231120,000000,8.13,8.1698,8.13,8.1698,1538,0
SHRT.US,D,20231121,000000,8.1901,8.1901,8.17,8.1899,3603,0
SHRT.US,D,20231122,000000,8.13,8.165,8.13,8.1449,4818,0
SHRT.US,D,20231124,000000,8.18,8.18,8.18,8.18,3,0
SHRT.US,D,20231127,000000,8.21,8.245,8.21,8.245,2295,0
SHRT.US,D,20231128,000000,8.21,8.21,8.19,8.19,150,0
SHRT.US,D,20231129,000000,8.1659,8.21,8.15,8.1899,6971,0
SHRT.US,D,20231130,000000,8.2135,8.2137,8.19,8.1999,2187,0
SHRT.US,D,20231201,000000,8.21,8.26,8.19,8.2172,39870,0
SHRT.US,D,20231204,000000,8.13,8.2925,8.13,8.2499,9665,0
SHRT.US,D,20231205,000000,8.28,8.32,8.28,8.32,3614,0
SHRT.US,D,20231206,000000,7.49,8.32,7.49,8.29,15263,0
SHRT.US,D,20231207,000000,8.26,8.28,8.2443,8.25,2941,0
SHRT.US,D,20231208,000000,8.255,8.2926,8.25,8.275,13996,0
SHRT.US,D,20231211,000000,8.26,8.26,8.21,8.24,4358,0
SHRT.US,D,20231212,000000,8.33,8.33,8.25,8.2699,1388,0
SHRT.US,D,20231213,000000,8.16,8.16,8.0799,8.0799,1974,0
SHRT.US,D,20231214,000000,7.9373,7.961,7.9373,7.961,5595,0
SHRT.US,D,20231215,000000,7.98,7.9844,7.9599,7.9599,6771,0
SHRT.US,D,20231218,000000,7.99,8,7.94,7.985,11093,0
SHRT.US,D,20231219,000000,7.945,7.9499,7.93,7.9499,1104,0
SHRT.US,D,20231220,000000,7.99,8.0435,7.94,8.0435,6777,0
SHRT.US,D,20231221,000000,7.99,7.99,7.93,7.94,8602,0
SHRT.US,D,20231222,000000,7.9,7.9,7.84,7.8941,37487,0
SHRT.US,D,20231226,000000,7.8582,7.8582,7.82,7.8234,2918,0
SHRT.US,D,20231227,000000,7.86,7.86,7.79,7.835,13774,0
SHRT.US,D,20231228,000000,7.835,7.8599,7.73,7.8121,64124,0
SHRT.US,D,20231229,000000,7.81,7.89,7.81,7.8699,25614,0
SHRT.US,D,20240102,000000,7.89,7.99,7.89,7.966,13276,0
SHRT.US,D,20240103,000000,8.07,8.1,8.03,8.0799,41078,0
SHRT.US,D,20240104,000000,8.1,8.1209,8.09,8.0999,10535,0
SHRT.US,D,20240105,000000,8.16,8.16,8.0401,8.1,4403,0
SHRT.US,D,20240108,000000,8.065,8.07,8.02,8.02,5372,0
SHRT.US,D,20240109,000000,7.9673,8.02,7.96,7.995,35926,0
SHRT.US,D,20240110,000000,8.04,8.07,8.0199,8.0199,11930,0
SHRT.US,D,20240111,000000,8.13,8.1399,8.05,8.08,1066,0
SHRT.US,D,20240112,000000,8.09,8.13,8.08,8.0999,7765,0
SHRT.US,D,20240116,000000,8.14,8.1699,8.1,8.1499,16771,0
SHRT.US,D,20240117,000000,8.2018,8.2499,8.2018,8.2207,6258,0
SHRT.US,D,20240118,000000,8.1748,8.1748,8.1748,8.1748,10,0
SHRT.US,D,20240119,000000,8.09,8.16,8.09,8.105,9003,0
SHRT.US,D,20240122,000000,8.05,8.11,8.05,8.095,6606,0
SHRT.US,D,20240123,000000,8.0201,8.0652,8.01,8.0299,8286,0
SHRT.US,D,20240124,000000,8.0407,8.07,8.0407,8.0594,2326,0
SHRT.US,D,20240125,000000,8.0792,8.08,8.06,8.075,4067,0
SHRT.US,D,20240126,000000,8.1,8.11,8.06,8.108,8776,0
SHRT.US,D,20240129,000000,8.1,8.1199,8.0861,8.0861,1825,0
SHRT.US,D,20240130,000000,8.0877,8.13,8.06,8.1199,2338,0
SHRT.US,D,20240131,000000,8.11,8.139,8.04,8.1204,33934,0
SHRT.US,D,20240201,000000,8.1299,8.1299,8.0799,8.0799,301,0
SHRT.US,D,20240202,000000,8.09,8.1,8.06,8.0842,36303,0
SHRT.US,D,20240205,000000,8.11,8.13,8.06,8.1299,10026,0
SHRT.US,D,20240206,000000,8.125,8.1705,8.125,8.1705,1250,0
SHRT.US,D,20240207,000000,8.17,8.18,8.1497,8.165,6154,0
SHRT.US,D,20240208,000000,8.14,8.15,8.08,8.125,11804,0
SHRT.US,D,20240209,000000,8.135,8.135,8.1,8.1201,4274,0
SHRT.US,D,20240212,000000,8.0828,8.11,8.08,8.105,2161,0
SHRT.US,D,20240213,000000,8.1699,8.19,8.09,8.14,26278,0
SHRT.US,D,20240214,000000,8.14,8.19,8.1222,8.1222,33217,0
SHRT.US,D,20240215,000000,8.08,8.0945,8.04,8.0649,9757,0
SHRT.US,D,20240216,000000,8.05,8.05,8,8.025,17466,0
SHRT.US,D,20240220,000000,8.05,8.08,8.0499,8.0599,16069,0
SHRT.US,D,20240221,000000,8.1699,8.1699,8.12,8.1352,25327,0
SHRT.US,D,20240222,000000,8.02,8.03,8.02,8.025,415,0
SHRT.US,D,20240223,000000,8.01,8.05,8.01,8.04,6399,0
SHRT.US,D,20240226,000000,8.08,8.08,8.02,8.0469,9901,0
SHRT.US,D,20240227,000000,8.06,8.0615,8.01,8.0442,14929,0
SHRT.US,D,20240228,000000,8.075,8.14,8.075,8.1099,29802,0
SHRT.US,D,20240229,000000,8.055,8.06,8,8.008,10537,0
SHRT.US,D,20240301,000000,7.92,7.935,7.9,7.935,1980,0
SHRT.US,D,20240304,000000,7.914,7.9599,7.86,7.9249,6724,0
SHRT.US,D,20240305,000000,7.9846,7.9989,7.96,7.9799,4025,0
SHRT.US,D,20240306,000000,7.9513,7.9513,7.91,7.91,13120,0
SHRT.US,D,20240307,000000,7.95,7.95,7.87,7.875,3059,0
SHRT.US,D,20240308,000000,7.8501,7.94,7.8501,7.9,12636,0
SHRT.US,D,20240311,000000,7.9605,7.99,7.94,7.96,15733,0
SHRT.US,D,20240312,000000,7.96,7.96,7.94,7.94,247,0
SHRT.US,D,20240313,000000,7.9505,8,7.95,7.99,18914,0
SHRT.US,D,20240314,000000,8.0332,8.16,8.0332,8.09,15271,0
SHRT.US,D,20240315,000000,8.09,8.0902,8.06,8.06,2939,0
SHRT.US,D,20240318,000000,8.0502,8.09,8.05,8.06,11887,0
SHRT.US,D,20240319,000000,8.165,8.176,8.095,8.13,29429,0
SHRT.US,D,20240320,000000,8.1361,8.155,8.091,8.115,32803,0
SHRT.US,D,20240321,000000,8.0999,8.0999,8.08,8.09,658,0
SHRT.US,D,20240322,000000,8.12,8.12,8.09,8.12,14200,0
SHRT.US,D,20240325,000000,8.1359,8.18,8.13,8.16,3662,0
SHRT.US,D,20240326,000000,8.19,8.19,8.19,8.19,56,0
SHRT.US,D,20240327,000000,8.17,8.17,8.13,8.13,240,0
SHRT.US,D,20240328,000000,8.07,8.11,8.07,8.105,14640,0
SHRT.US,D,20240401,000000,8.1376,8.16,8.1,8.112,357319,0
SHRT.US,D,20240402,000000,8.1738,8.24,8.16,8.19,43927,0
SHRT.US,D,20240403,000000,8.19,8.24,8.19,8.24,5980,0
SHRT.US,D,20240404,000000,8.26,8.29,8.26,8.29,15451,0
SHRT.US,D,20240405,000000,8.26,8.26,8.24,8.252,9111,0
SHRT.US,D,20240408,000000,8.23,8.25,8.23,8.23,317,0
SHRT.US,D,20240409,000000,8.1584,8.1854,8.13,8.1457,5731,0
