<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMDY.US,D,20200127,000000,28.548,28.548,28.548,28.548,2,0
SMDY.US,D,20200129,000000,28.692,28.692,28.692,28.692,1,0
SMDY.US,D,20200131,000000,28.087,28.087,28.087,28.087,6,0
SMDY.US,D,20200203,000000,28.388,28.388,28.388,28.388,4,0
SMDY.US,D,20200204,000000,28.791,28.791,28.791,28.791,4,0
SMDY.US,D,20200205,000000,29.183,29.183,29.183,29.183,4,0
SMDY.US,D,20200206,000000,29.102,29.102,29.102,29.102,4,0
SMDY.US,D,20200207,000000,28.822,28.822,28.822,28.822,4,0
SMDY.US,D,20200210,000000,29.002,29.002,29.002,29.002,4,0
SMDY.US,D,20200211,000000,29.258,29.258,29.258,29.258,17,0
SMDY.US,D,20200212,000000,29.518,29.518,29.518,29.518,4,0
SMDY.US,D,20200213,000000,29.51,29.51,29.51,29.51,4,0
SMDY.US,D,20200214,000000,29.467,29.467,29.467,29.467,4,0
SMDY.US,D,20200218,000000,29.333,29.333,29.333,29.333,16,0
SMDY.US,D,20200219,000000,29.494,29.494,29.494,29.494,1,0
SMDY.US,D,20200220,000000,29.59,29.59,29.59,29.59,4,0
SMDY.US,D,20200221,000000,29.251,29.251,29.251,29.251,4,0
SMDY.US,D,20200224,000000,28.366,28.366,28.366,28.366,16,0
SMDY.US,D,20200225,000000,27.344,27.344,27.344,27.344,4,0
SMDY.US,D,20200226,000000,26.866,26.866,26.866,26.866,4,0
SMDY.US,D,20200227,000000,25.978,25.978,25.978,25.978,4,0
SMDY.US,D,20200228,000000,25.248,25.251,25.248,25.251,102,0
SMDY.US,D,20200302,000000,26.237,26.237,26.237,26.237,4,0
SMDY.US,D,20200303,000000,25.737,25.737,25.737,25.737,4,0
SMDY.US,D,20200304,000000,26.584,26.584,26.584,26.584,4,0
SMDY.US,D,20200305,000000,25.937,25.937,25.581,25.581,102,0
SMDY.US,D,20200306,000000,25.164,25.164,25.164,25.164,4,0
SMDY.US,D,20200309,000000,24.657,24.657,23.026,23.026,3961,0
SMDY.US,D,20200310,000000,23.684,23.684,23.684,23.684,4,0
SMDY.US,D,20200311,000000,22.186,22.186,22.17,22.17,609,0
SMDY.US,D,20200312,000000,22.166,22.166,20.083,20.083,203,0
SMDY.US,D,20200313,000000,21.163,21.282,19.893,21.282,3085,0
SMDY.US,D,20200316,000000,18.938,19.182,18.724,18.724,1021,0
SMDY.US,D,20200317,000000,19.647,19.647,19.647,19.647,4,0
SMDY.US,D,20200318,000000,17.651,17.651,17.651,17.651,4,0
SMDY.US,D,20200319,000000,17.626,17.626,17.626,17.626,5,0
SMDY.US,D,20200320,000000,17.795,17.795,17.795,17.795,4,0
SMDY.US,D,20200323,000000,17.388,17.388,17.388,17.388,4,0
SMDY.US,D,20200324,000000,19.141,19.141,19.141,19.141,1,0
SMDY.US,D,20200325,000000,19.76,19.76,19.76,19.76,4,0
SMDY.US,D,20200326,000000,20.715,20.715,20.715,20.715,4,0
SMDY.US,D,20200327,000000,20.054,20.054,20.054,20.054,76,0
SMDY.US,D,20200330,000000,20.545,20.545,20.545,20.545,4,0
SMDY.US,D,20200331,000000,20.324,20.324,20.324,20.324,4,0
SMDY.US,D,20200401,000000,19.187,19.187,19.187,19.187,4,0
SMDY.US,D,20200402,000000,19.369,19.369,19.369,19.369,4,0
SMDY.US,D,20200403,000000,18.896,18.896,18.896,18.896,4,0
SMDY.US,D,20200406,000000,20.501,20.501,20.501,20.501,4,0
SMDY.US,D,20200407,000000,20.795,20.795,20.795,20.795,4,0
SMDY.US,D,20200408,000000,21.732,21.732,21.732,21.732,4,0
SMDY.US,D,20200409,000000,22.389,22.389,22.389,22.389,4,0
SMDY.US,D,20200413,000000,21.767,21.767,21.767,21.767,4,0
SMDY.US,D,20200414,000000,22.223,22.223,22.223,22.223,4,0
SMDY.US,D,20200415,000000,21.332,21.332,21.332,21.332,25,0
SMDY.US,D,20200416,000000,21.412,21.412,21.412,21.412,4,0
SMDY.US,D,20200417,000000,22.14,22.14,22.14,22.14,4,0
SMDY.US,D,20200420,000000,21.852,21.875,21.852,21.875,102,0
SMDY.US,D,20200421,000000,21.282,21.282,21.282,21.282,4,0
SMDY.US,D,20200422,000000,21.589,21.589,21.589,21.589,4,0
SMDY.US,D,20200423,000000,21.755,21.755,21.755,21.755,4,0
SMDY.US,D,20200424,000000,22.108,22.108,22.108,22.108,4,0
SMDY.US,D,20200427,000000,23.109,23.109,23.109,23.109,4,0
SMDY.US,D,20200428,000000,23.434,23.434,23.434,23.434,4,0
SMDY.US,D,20200429,000000,24.555,24.555,24.555,24.555,4,0
SMDY.US,D,20200430,000000,23.874,23.874,23.874,23.874,4,0
SMDY.US,D,20200501,000000,22.83,22.83,22.83,22.83,4,0
SMDY.US,D,20200504,000000,22.889,22.889,22.889,22.889,4,0
SMDY.US,D,20200505,000000,23.102,23.102,23.102,23.102,4,0
SMDY.US,D,20200506,000000,22.852,22.852,22.852,22.852,4,0
SMDY.US,D,20200507,000000,23.254,23.254,23.254,23.254,4,0
SMDY.US,D,20200508,000000,24.238,24.238,24.238,24.238,4,0
SMDY.US,D,20200511,000000,24.074,24.074,24.074,24.074,4,0
SMDY.US,D,20200512,000000,23.228,23.228,23.228,23.228,4,0
SMDY.US,D,20200513,000000,22.325,22.325,22.325,22.325,4,0
SMDY.US,D,20200514,000000,22.478,22.478,22.478,22.478,4,0
SMDY.US,D,20200515,000000,22.723,22.723,22.723,22.723,4,0
SMDY.US,D,20200518,000000,24.271,24.271,24.271,24.271,4,0
SMDY.US,D,20200519,000000,24.005,24.005,24.005,24.005,4,0
SMDY.US,D,20200520,000000,24.495,24.495,24.495,24.495,4,0
SMDY.US,D,20200521,000000,24.609,24.609,24.609,24.609,4,0
SMDY.US,D,20200522,000000,24.623,24.623,24.623,24.623,4,0
SMDY.US,D,20200526,000000,25.482,25.482,25.482,25.482,4,0
SMDY.US,D,20200527,000000,26.238,26.238,26.238,26.238,4,0
SMDY.US,D,20200528,000000,25.743,25.743,25.743,25.743,4,0
SMDY.US,D,20200529,000000,25.617,25.617,25.617,25.617,4,0
SMDY.US,D,20200601,000000,26.005,26.005,26.005,26.005,4,0
SMDY.US,D,20200602,000000,26.226,26.226,26.226,26.226,4,0
SMDY.US,D,20200603,000000,27.042,27.042,27.042,27.042,4,0
SMDY.US,D,20200604,000000,27.086,27.086,27.086,27.086,4,0
SMDY.US,D,20200605,000000,28.141,28.141,28.141,28.141,4,0
SMDY.US,D,20200608,000000,28.744,28.744,28.744,28.744,21,0
SMDY.US,D,20200609,000000,28.079,28.079,28.079,28.079,1,0
SMDY.US,D,20200610,000000,27.249,27.249,27.249,27.249,1,0
SMDY.US,D,20200611,000000,25.143,25.143,25.143,25.143,16,0
SMDY.US,D,20200612,000000,25.728,25.728,25.728,25.728,16,0
SMDY.US,D,20200615,000000,26.107,26.107,26.107,26.107,16,0
SMDY.US,D,20200616,000000,26.694,26.694,26.694,26.694,16,0
SMDY.US,D,20200617,000000,26.323,26.323,26.323,26.323,16,0
SMDY.US,D,20200618,000000,26.242,26.242,26.242,26.242,16,0
SMDY.US,D,20200619,000000,26.086,26.086,26.086,26.086,16,0
SMDY.US,D,20200622,000000,26.154,26.154,26.154,26.154,16,0
SMDY.US,D,20200623,000000,26.241,26.241,26.241,26.241,1,0
SMDY.US,D,20200624,000000,25.326,25.326,24.569,25.321,2205,0
SMDY.US,D,20200625,000000,25.548,25.548,25.548,25.548,16,0
SMDY.US,D,20200626,000000,25.04,25.04,25.04,25.04,16,0
SMDY.US,D,20200629,000000,25.641,25.641,25.641,25.641,16,0
SMDY.US,D,20200630,000000,25.993,25.993,25.993,25.993,16,0
SMDY.US,D,20200701,000000,25.787,25.787,25.787,25.787,16,0
SMDY.US,D,20200702,000000,25.92,25.92,25.92,25.92,16,0
SMDY.US,D,20200706,000000,26.221,26.221,26.221,26.221,16,0
SMDY.US,D,20200707,000000,25.769,25.769,25.769,25.769,16,0
SMDY.US,D,20200708,000000,25.947,25.947,25.947,25.947,16,0
SMDY.US,D,20200709,000000,25.576,25.576,25.576,25.576,16,0
SMDY.US,D,20200710,000000,25.934,25.934,25.934,25.934,16,0
SMDY.US,D,20200713,000000,25.689,25.689,25.689,25.689,24,0
SMDY.US,D,20200714,000000,26.057,26.057,26.057,26.057,2,0
SMDY.US,D,20200715,000000,26.883,26.883,26.883,26.883,16,0
SMDY.US,D,20200716,000000,26.769,26.769,26.769,26.769,12,0
SMDY.US,D,20200717,000000,26.853,26.853,26.853,26.853,16,0
SMDY.US,D,20200720,000000,26.694,26.694,26.694,26.694,1,0
SMDY.US,D,20200721,000000,27.039,27.051,27.039,27.051,1104,0
SMDY.US,D,20200722,000000,27.205,27.205,27.205,27.205,4,0
SMDY.US,D,20200723,000000,27.24,27.24,27.24,27.24,16,0
SMDY.US,D,20200724,000000,27.004,27.004,27.004,27.004,16,0
SMDY.US,D,20200727,000000,27.279,27.279,27.279,27.279,16,0
SMDY.US,D,20200728,000000,27.008,27.008,27.008,27.008,16,0
SMDY.US,D,20200729,000000,27.539,27.539,27.539,27.539,16,0
SMDY.US,D,20200730,000000,27.387,27.387,27.387,27.387,16,0
SMDY.US,D,20200731,000000,27.137,27.137,27.137,27.137,16,0
SMDY.US,D,20200803,000000,27.521,27.521,27.521,27.521,16,0
SMDY.US,D,20200804,000000,27.413,27.63,27.364,27.63,1016,0
SMDY.US,D,20200805,000000,27.935,27.935,27.935,27.935,16,0
SMDY.US,D,20200806,000000,27.881,27.881,27.881,27.881,16,0
SMDY.US,D,20200807,000000,28.183,28.183,28.183,28.183,16,0
SMDY.US,D,20200810,000000,28.382,28.382,28.382,28.382,5,0
SMDY.US,D,20200811,000000,28.324,28.324,28.324,28.324,16,0
SMDY.US,D,20200812,000000,28.55,28.55,28.55,28.55,16,0
SMDY.US,D,20200813,000000,28.447,28.447,28.447,28.447,16,0
SMDY.US,D,20200814,000000,28.421,28.421,28.421,28.421,16,0
SMDY.US,D,20200817,000000,28.474,28.474,28.474,28.474,16,0
SMDY.US,D,20200818,000000,28.193,28.193,28.193,28.193,16,0
SMDY.US,D,20200819,000000,28.126,28.126,28.126,28.126,16,0
SMDY.US,D,20200820,000000,27.923,27.923,27.923,27.923,16,0
SMDY.US,D,20200821,000000,27.789,27.789,27.789,27.789,16,0
SMDY.US,D,20200824,000000,28.208,28.208,28.208,28.208,16,0
SMDY.US,D,20200825,000000,28.188,28.188,28.188,28.188,16,0
SMDY.US,D,20200826,000000,28.113,28.113,28.113,28.113,16,0
SMDY.US,D,20200827,000000,28.239,28.239,28.239,28.239,16,0
SMDY.US,D,20200828,000000,28.372,28.372,28.372,28.372,16,0
SMDY.US,D,20200831,000000,28.129,28.129,28.129,28.129,16,0
SMDY.US,D,20200901,000000,28.265,28.265,28.265,28.265,16,0
SMDY.US,D,20200902,000000,28.678,28.678,28.678,28.678,16,0
SMDY.US,D,20200903,000000,27.745,27.745,27.745,27.745,16,0
SMDY.US,D,20200904,000000,27.622,27.622,27.622,27.622,16,0
SMDY.US,D,20200908,000000,27.023,27.023,27.023,27.023,16,0
SMDY.US,D,20200909,000000,27.343,27.343,27.343,27.343,16,0
SMDY.US,D,20200910,000000,27.314,27.314,27.037,27.037,1016,0
SMDY.US,D,20200911,000000,26.956,26.956,26.956,26.956,16,0
SMDY.US,D,20200914,000000,27.551,27.551,27.551,27.551,16,0
SMDY.US,D,20200915,000000,27.509,27.509,27.509,27.509,16,0
SMDY.US,D,20200916,000000,27.689,27.689,27.689,27.689,1,0
SMDY.US,D,20200917,000000,27.549,27.549,27.549,27.549,1,0
SMDY.US,D,20200918,000000,27.242,27.242,27.242,27.242,1,0
SMDY.US,D,20200921,000000,26.608,26.608,26.608,26.608,1,0
SMDY.US,D,20200922,000000,26.767,26.767,26.767,26.767,1,0
SMDY.US,D,20200923,000000,26.114,26.114,26.114,26.114,1,0
SMDY.US,D,20200924,000000,26.132,26.132,26.132,26.132,1,0
SMDY.US,D,20200925,000000,26.427,26.427,26.427,26.427,1,0
SMDY.US,D,20200928,000000,26.983,26.983,26.983,26.983,1,0
SMDY.US,D,20200929,000000,26.821,26.821,26.821,26.821,1,0
SMDY.US,D,20200930,000000,26.998,26.998,26.998,26.998,1,0
SMDY.US,D,20201001,000000,27.275,27.275,27.275,27.275,1,0
SMDY.US,D,20201002,000000,27.598,27.598,27.598,27.598,1,0
SMDY.US,D,20201005,000000,27.925,28.139,27.925,28.139,238,0
SMDY.US,D,20201006,000000,27.998,27.998,27.998,27.998,1,0
SMDY.US,D,20201007,000000,28.508,28.508,28.508,28.508,1,0
SMDY.US,D,20201008,000000,28.872,28.872,28.872,28.872,1,0
SMDY.US,D,20201009,000000,28.93,28.93,28.93,28.93,1,0
SMDY.US,D,20201012,000000,29.145,29.145,29.145,29.145,1,0
SMDY.US,D,20201013,000000,28.908,28.908,28.908,28.908,1,0
SMDY.US,D,20201014,000000,28.799,28.799,28.799,28.799,1,0
SMDY.US,D,20201015,000000,29.046,29.046,29.046,29.046,1,0
SMDY.US,D,20201016,000000,28.956,28.956,28.956,28.956,1,0
SMDY.US,D,20201019,000000,28.565,28.565,28.565,28.565,1,0
SMDY.US,D,20201020,000000,28.752,28.752,28.752,28.752,1,0
SMDY.US,D,20201021,000000,28.6,28.6,28.6,28.6,1,0
SMDY.US,D,20201022,000000,29.034,29.034,29.034,29.034,1,0
SMDY.US,D,20201023,000000,29.22,29.22,29.22,29.22,1,0
SMDY.US,D,20201026,000000,28.583,28.583,28.583,28.583,1,0
SMDY.US,D,20201027,000000,28.279,28.279,28.279,28.279,1,0
SMDY.US,D,20201028,000000,27.465,27.465,27.465,27.465,1,0
SMDY.US,D,20201029,000000,27.826,27.826,27.826,27.826,1,0
SMDY.US,D,20201030,000000,27.467,27.467,27.467,27.467,1,0
SMDY.US,D,20201102,000000,27.984,27.984,27.984,27.984,61,0
SMDY.US,D,20201103,000000,28.712,28.712,28.712,28.712,1,0
SMDY.US,D,20201104,000000,28.715,28.715,28.715,28.715,1,0
SMDY.US,D,20201105,000000,29.451,29.451,29.451,29.451,1,0
SMDY.US,D,20201106,000000,29.343,29.343,29.343,29.343,1,0
SMDY.US,D,20201109,000000,30.378,30.378,30.378,30.378,1,0
SMDY.US,D,20201110,000000,30.65,30.65,30.65,30.65,1,0
SMDY.US,D,20201111,000000,30.562,30.562,30.562,30.562,1,0
SMDY.US,D,20201112,000000,29.966,29.966,29.966,29.966,2,0
SMDY.US,D,20201113,000000,30.644,30.644,30.644,30.644,1,0
SMDY.US,D,20201116,000000,31.28,31.28,31.28,31.28,1,0
SMDY.US,D,20201117,000000,31.213,31.402,31.213,31.402,119,0
SMDY.US,D,20201118,000000,31.023,31.023,31.023,31.023,1,0
SMDY.US,D,20201119,000000,31.264,31.264,31.264,31.264,1,0
SMDY.US,D,20201120,000000,31.228,31.228,31.228,31.228,1,0
SMDY.US,D,20201123,000000,31.826,31.826,31.826,31.826,1,0
SMDY.US,D,20201124,000000,32.406,32.406,32.406,32.406,1,0
SMDY.US,D,20201125,000000,32.166,32.166,32.166,32.166,1,0
SMDY.US,D,20201127,000000,32.214,32.214,32.214,32.214,1,0
SMDY.US,D,20201130,000000,31.643,31.643,31.643,31.643,10,0
SMDY.US,D,20201201,000000,32.059,32.059,32.059,32.059,10,0
SMDY.US,D,20201202,000000,32.14,32.14,32.14,32.14,10,0
SMDY.US,D,20201203,000000,32.322,32.322,32.322,32.322,10,0
SMDY.US,D,20201204,000000,33.053,33.053,33.053,33.053,10,0
SMDY.US,D,20201211,000000,33.005,33.005,33.005,33.005,10,0
SMDY.US,D,20201214,000000,32.936,32.936,32.936,32.936,76,0
SMDY.US,D,20201215,000000,33.566,33.607,33.566,33.607,228,0
SMDY.US,D,20201216,000000,33.531,33.531,33.531,33.531,75,0
SMDY.US,D,20201217,000000,33.713,33.713,33.713,33.713,127,0
SMDY.US,D,20201218,000000,33.626,33.626,33.626,33.626,1,0
SMDY.US,D,20201221,000000,33.447,33.447,33.447,33.447,256,0
SMDY.US,D,20201222,000000,33.627,33.627,33.627,33.627,1,0
SMDY.US,D,20201223,000000,34.01,34.01,34.01,34.01,4,0
SMDY.US,D,20201224,000000,34.26,34.26,34.03,34.03,4430,0
SMDY.US,D,20201228,000000,34.076,34.076,34.076,34.076,58,0
SMDY.US,D,20201229,000000,33.704,33.704,33.704,33.704,1,0
SMDY.US,D,20201230,000000,33.986,33.986,33.986,33.986,10,0
SMDY.US,D,20201231,000000,33.852,34.06,33.852,34.06,2967,0
SMDY.US,D,20210104,000000,34.319,34.319,33.476,33.476,736,0
SMDY.US,D,20210105,000000,33.972,34.272,33.972,34.272,174,0
SMDY.US,D,20210106,000000,35.716,35.716,35.716,35.716,16,0
SMDY.US,D,20210107,000000,35.64,35.7,35.606,35.606,1355,0
SMDY.US,D,20210108,000000,35.59,35.59,35.561,35.561,201,0
SMDY.US,D,20210111,000000,37.179,37.179,35.599,35.599,806,0
SMDY.US,D,20210112,000000,36.011,36.011,36.011,36.011,16,0
SMDY.US,D,20210113,000000,35.709,35.709,35.66,35.66,386,0
SMDY.US,D,20210114,000000,36.196,36.196,36.028,36.028,282,0
SMDY.US,D,20210115,000000,35.767,35.767,35.767,35.767,16,0
SMDY.US,D,20210119,000000,36.055,36.055,36.055,36.055,16,0
SMDY.US,D,20210120,000000,36.376,36.376,36.376,36.376,16,0
SMDY.US,D,20210121,000000,36.247,36.247,36.247,36.247,4,0
SMDY.US,D,20210122,000000,36.356,36.356,36.356,36.356,2,0
SMDY.US,D,20210125,000000,36.369,36.369,36.369,36.369,17,0
SMDY.US,D,20210126,000000,36.199,36.199,36.199,36.199,2,0
SMDY.US,D,20210127,000000,35.594,35.594,35.594,35.594,4,0
SMDY.US,D,20210128,000000,35.65,35.713,35.65,35.713,1779,0
SMDY.US,D,20210129,000000,35.055,35.055,35.055,35.055,85,0
SMDY.US,D,20210201,000000,35.695,35.695,35.695,35.695,2,0
SMDY.US,D,20210202,000000,35.904,35.904,35.904,35.904,2,0
SMDY.US,D,20210203,000000,35.992,35.992,35.992,35.992,2,0
SMDY.US,D,20210204,000000,36.462,36.462,36.462,36.462,2,0
SMDY.US,D,20210205,000000,36.936,36.936,36.936,36.936,2,0
SMDY.US,D,20210208,000000,38.629,38.629,37.05,37.642,704,0
SMDY.US,D,20210209,000000,37.576,37.669,37.576,37.669,198,0
SMDY.US,D,20210210,000000,37.661,37.661,37.661,37.661,1,0
SMDY.US,D,20210211,000000,37.73,37.73,37.73,37.73,26,0
SMDY.US,D,20210212,000000,37.901,37.901,37.901,37.901,1,0
SMDY.US,D,20210216,000000,37.812,37.812,37.812,37.812,2,0
SMDY.US,D,20210217,000000,37.338,37.646,37.338,37.635,380,0
SMDY.US,D,20210218,000000,37.181,37.181,37.181,37.181,50,0
SMDY.US,D,20210219,000000,37.659,37.659,37.659,37.659,8,0
SMDY.US,D,20210222,000000,37.575,37.575,37.575,37.575,3,0
SMDY.US,D,20210223,000000,37.554,37.554,37.554,37.554,10,0
SMDY.US,D,20210224,000000,38.329,38.329,38.329,38.329,133,0
SMDY.US,D,20210225,000000,37.152,37.152,37.152,37.152,75,0
SMDY.US,D,20210226,000000,37.146,37.146,37.146,37.146,87,0
SMDY.US,D,20210301,000000,38.041,38.041,38.041,38.041,18,0
SMDY.US,D,20210302,000000,37.59,37.59,37.59,37.59,280,0
SMDY.US,D,20210303,000000,37.351,37.351,37.351,37.351,1,0
SMDY.US,D,20210304,000000,36.556,36.556,36.556,36.556,8,0
SMDY.US,D,20210305,000000,37.445,37.445,37.445,37.445,5,0
SMDY.US,D,20210308,000000,37.974,38.073,37.79,37.79,653,0
SMDY.US,D,20210309,000000,38.222,38.222,37.979,37.979,118,0
SMDY.US,D,20210310,000000,38.492,38.492,38.492,38.492,50,0
SMDY.US,D,20210311,000000,39.031,39.031,39.031,39.031,50,0
SMDY.US,D,20210312,000000,39.262,39.463,39.262,39.463,117,0
SMDY.US,D,20210315,000000,40.014,40.014,40.014,40.014,37,0
SMDY.US,D,20210316,000000,39.564,39.564,39.564,39.564,16,0
SMDY.US,D,20210317,000000,39.815,39.815,39.815,39.815,1,0
SMDY.US,D,20210318,000000,39.96,39.96,39.274,39.274,52921,0
SMDY.US,D,20210319,000000,38.967,39.203,38.967,39.203,1148,0
SMDY.US,D,20210322,000000,38.985,38.985,38.985,38.985,50,0
SMDY.US,D,20210323,000000,37.851,37.851,37.851,37.851,2,0
SMDY.US,D,20210324,000000,37.515,37.515,37.515,37.515,50,0
SMDY.US,D,20210325,000000,37.755,38.301,37.755,38.301,133,0
SMDY.US,D,20210326,000000,39.046,39.046,39.046,39.046,22,0
SMDY.US,D,20210329,000000,39.324,39.324,38.467,38.467,103,0
SMDY.US,D,20210330,000000,38.759,38.759,38.759,38.759,5,0
SMDY.US,D,20210331,000000,38.94,38.94,38.94,38.94,2,0
SMDY.US,D,20210401,000000,39.354,39.445,39.354,39.445,238,0
SMDY.US,D,20210405,000000,39.817,39.817,39.817,39.817,101,0
SMDY.US,D,20210406,000000,39.779,39.779,39.779,39.779,5,0
SMDY.US,D,20210407,000000,39.546,39.546,39.546,39.546,5,0
SMDY.US,D,20210408,000000,37.914,39.728,37.914,39.728,202,0
SMDY.US,D,20210409,000000,39.771,39.86,39.771,39.86,126,0
SMDY.US,D,20210412,000000,39.821,39.904,39.821,39.904,252,0
SMDY.US,D,20210413,000000,39.791,39.791,39.791,39.791,5,0
SMDY.US,D,20210414,000000,40.228,40.228,39.977,39.977,295,0
SMDY.US,D,20210415,000000,40.274,40.274,40.274,40.274,154,0
SMDY.US,D,20210416,000000,40.581,40.581,40.581,40.581,5,0
SMDY.US,D,20210419,000000,40.289,40.289,40.289,40.289,5,0
SMDY.US,D,20210420,000000,39.672,39.782,39.672,39.782,252,0
SMDY.US,D,20210421,000000,40.396,40.396,40.396,40.396,2,0
SMDY.US,D,20210422,000000,40.267,40.267,40.267,40.267,113,0
SMDY.US,D,20210423,000000,40.864,40.864,40.864,40.864,5,0
