<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMIN.US,D,20120530,000000,18.752,18.752,18.651,18.696,1384,0
SMIN.US,D,20120531,000000,18.526,18.823,18.526,18.823,1770,0
SMIN.US,D,20120601,000000,18.887,18.887,18.715,18.778,2941,0
SMIN.US,D,20120604,000000,18.796,18.796,18.671,18.671,2214,0
SMIN.US,D,20120605,000000,18.544,18.814,18.544,18.796,5754,0
SMIN.US,D,20120606,000000,19.357,19.357,19.357,19.357,444,0
SMIN.US,D,20120607,000000,19.944,19.944,19.716,19.716,2783,0
SMIN.US,D,20120608,000000,19.726,19.726,19.574,19.701,4305,0
SMIN.US,D,20120611,000000,19.574,19.584,18.976,19.067,3763,0
SMIN.US,D,20120612,000000,19.439,19.439,19.439,19.439,842,0
SMIN.US,D,20120613,000000,19.43,19.555,19.247,19.247,12063,0
SMIN.US,D,20120614,000000,19.735,19.735,19.022,19.022,1106,0
SMIN.US,D,20120619,000000,19.817,19.817,19.004,19.104,1495,0
SMIN.US,D,20120620,000000,18.959,19.04,18.87,19.04,6539,0
SMIN.US,D,20120621,000000,18.959,19.031,18.959,19.031,728,0
SMIN.US,D,20120622,000000,19.077,19.077,19.077,19.077,554,0
SMIN.US,D,20120625,000000,18.985,18.985,18.95,18.95,444,0
SMIN.US,D,20120626,000000,18.615,18.959,18.615,18.959,2103,0
SMIN.US,D,20120627,000000,19.266,19.32,19.266,19.32,5532,0
SMIN.US,D,20120628,000000,19.303,19.303,19.148,19.247,1216,0
SMIN.US,D,20120702,000000,20.061,20.333,19.836,20.333,5092,0
SMIN.US,D,20120703,000000,20.766,20.982,20.766,20.965,1273,0
SMIN.US,D,20120705,000000,20.965,20.965,20.829,20.829,444,0
SMIN.US,D,20120706,000000,20.469,20.469,20.415,20.44,720,0
SMIN.US,D,20120709,000000,20.377,20.377,20.196,20.196,2103,0
SMIN.US,D,20120710,000000,20.522,20.55,20.514,20.55,11892,0
