<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMLE.US,D,20210225,000000,25.3069,25.3069,24.6036,24.6036,217.4428257046,0
SMLE.US,D,20210226,000000,24.7645,24.7645,24.5073,24.5073,1107.3477234956,0
SMLE.US,D,20210301,000000,25.1808,25.1808,25.1808,25.1808,28.187032961707,0
SMLE.US,D,20210302,000000,24.8203,24.8203,24.8203,24.8203,18.120235475383,0
SMLE.US,D,20210303,000000,25.2474,25.2474,24.9483,24.9483,1240.2294503151,0
SMLE.US,D,20210304,000000,24.5082,24.5082,24.4159,24.4159,142.9485243058,0
SMLE.US,D,20210305,000000,25.0258,25.0258,25.0258,25.0258,119.79489008726,0
SMLE.US,D,20210308,000000,25.3745,25.6388,25.3745,25.6388,262.74341439306,0
SMLE.US,D,20210309,000000,25.8384,25.8384,25.8384,25.8384,28.187032961707,0
SMLE.US,D,20210310,000000,26.3898,26.3898,26.35,26.35,237.57642067725,0
SMLE.US,D,20210311,000000,26.6451,26.6451,26.6451,26.6451,40.267189945296,0
SMLE.US,D,20210312,000000,26.938,26.938,26.938,26.938,28.187032961707,0
SMLE.US,D,20210315,000000,26.8447,26.8447,26.8447,26.8447,200.32926997785,0
SMLE.US,D,20210316,000000,26.4265,26.4265,26.4265,26.4265,61.407464666576,0
SMLE.US,D,20210317,000000,26.5169,26.5169,26.5169,26.5169,65.434183661106,0
SMLE.US,D,20210318,000000,26.0033,26.0033,26.0033,26.0033,184.22239399973,0
SMLE.US,D,20210319,000000,26.1135,26.1135,26.0947,26.0947,135.90176606537,0
SMLE.US,D,20210322,000000,25.6924,25.6924,25.6924,25.6924,1.0066797486324,0
SMLE.US,D,20210323,000000,24.7626,24.7626,24.7626,24.7626,5.033398743162,0
SMLE.US,D,20210324,000000,25.2076,25.2076,24.3474,24.3474,1222.1092148397,0
SMLE.US,D,20210325,000000,25.0318,25.0318,25.0318,25.0318,4.0267189945296,0
SMLE.US,D,20210326,000000,25.6298,25.6298,25.6298,25.6298,7.0467582404268,0
