<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNOV.US,D,20231121,000000,20.02,20.02,19.8868,19.9066,34560,0
SNOV.US,D,20231122,000000,19.98,20.0212,19.9233,19.97,81911,0
SNOV.US,D,20231124,000000,19.91,20.05,19.91,20.04,3475,0
SNOV.US,D,20231127,000000,20,20.04,19.9858,20.0247,16299,0
SNOV.US,D,20231128,000000,19.983,20.02,19.95,19.98,30205,0
SNOV.US,D,20231129,000000,20.18,20.18,20.021,20.0232,13405,0
SNOV.US,D,20231130,000000,20.07,20.12,20.035,20.0603,20716,0
SNOV.US,D,20231201,000000,20.06,20.37,20.044,20.3495,11178,0
SNOV.US,D,20231204,000000,20.3759,20.44,20.373,20.4349,28163,0
SNOV.US,D,20231205,000000,20.5,20.5,20.28,20.3249,62385,0
SNOV.US,D,20231206,000000,20.4,20.52,20.3199,20.3199,41834,0
SNOV.US,D,20231207,000000,20.32,20.39,20.315,20.3677,43764,0
SNOV.US,D,20231208,000000,20.4558,20.46,20.395,20.4599,9894,0
SNOV.US,D,20231211,000000,20.41,20.5,20.4049,20.4696,27618,0
SNOV.US,D,20231212,000000,20.47,20.5345,20.43,20.4708,25154,0
SNOV.US,D,20231213,000000,20.5,20.83,20.49,20.83,18819,0
SNOV.US,D,20231214,000000,21.0123,21.04,20.94,21.03,201924,0
SNOV.US,D,20231215,000000,20.9999,21.02,20.9176,20.9406,6173,0
SNOV.US,D,20231218,000000,21,21,20.95,20.99,14706,0
SNOV.US,D,20231219,000000,21.03,21.12,21.03,21.12,14077,0
SNOV.US,D,20231220,000000,21.1499,21.16,20.92,20.9699,29802,0
SNOV.US,D,20231221,000000,20.985,21.074,20.97,21.074,15005,0
SNOV.US,D,20231222,000000,21.12,21.18,21.085,21.128,19499,0
SNOV.US,D,20231226,000000,21.19,21.24,21.1899,21.2161,5004,0
SNOV.US,D,20231227,000000,21.27,21.29,21.2407,21.29,14507,0
SNOV.US,D,20231228,000000,21.2245,21.3,21.21,21.2365,39427,0
SNOV.US,D,20231229,000000,21.23,21.23,21.13,21.1555,58569,0
SNOV.US,D,20240102,000000,21.09,21.2,21.02,21.11,21073,0
SNOV.US,D,20240103,000000,20.99,21,20.8,20.8384,20036,0
SNOV.US,D,20240104,000000,20.79,20.91,20.79,20.88,40566,0
SNOV.US,D,20240105,000000,20.92,20.92,20.8,20.87,85977,0
SNOV.US,D,20240108,000000,20.84,21.05,20.83,21.05,167946,0
SNOV.US,D,20240109,000000,20.94,21,20.89,20.97,9214,0
SNOV.US,D,20240110,000000,20.96,21,20.908,21,17734,0
SNOV.US,D,20240111,000000,20.95,20.95,20.8199,20.9022,9345,0
SNOV.US,D,20240112,000000,20.9,20.94,20.885,20.94,7942,0
SNOV.US,D,20240116,000000,20.91,20.91,20.78,20.81,12798,0
SNOV.US,D,20240117,000000,20.67,20.71,20.64,20.71,23592,0
SNOV.US,D,20240118,000000,20.69,20.79,20.69,20.79,4291,0
SNOV.US,D,20240119,000000,20.78,20.91,20.75,20.9,17026,0
SNOV.US,D,20240122,000000,20.96,21.08,20.96,21.0495,28040,0
SNOV.US,D,20240123,000000,21.025,21.0406,21.025,21.0406,909,0
SNOV.US,D,20240124,000000,21.1043,21.1043,20.9466,20.9466,1193,0
SNOV.US,D,20240125,000000,21.028,21.05,21.0107,21.0107,12771,0
SNOV.US,D,20240126,000000,21.07,21.08,21.0265,21.0303,11009,0
SNOV.US,D,20240129,000000,21.07,21.19,21.04,21.19,3513,0
SNOV.US,D,20240130,000000,21.1021,21.13,21.06,21.0973,6469,0
SNOV.US,D,20240131,000000,21.05,21.09,20.91,20.91,27715,0
SNOV.US,D,20240201,000000,20.87,21.02,20.8,21.02,8748,0
SNOV.US,D,20240202,000000,20.8949,20.99,20.8949,20.96,4744,0
SNOV.US,D,20240205,000000,20.8,20.855,20.745,20.843,15296,0
SNOV.US,D,20240206,000000,20.86,20.96,20.86,20.96,87626,0
SNOV.US,D,20240207,000000,20.8919,20.94,20.885,20.92,25822,0
SNOV.US,D,20240208,000000,20.99,21.07,20.99,21.0412,3229,0
SNOV.US,D,20240209,000000,21.17,21.21,21.16,21.1742,6417,0
SNOV.US,D,20240212,000000,21.24,21.34,21.24,21.3211,1966,0
SNOV.US,D,20240213,000000,21.07,21.07,20.9,20.9343,37345,0
SNOV.US,D,20240214,000000,21.0503,21.1472,21.0503,21.1472,371,0
SNOV.US,D,20240215,000000,21.3199,21.3199,21.3199,21.3199,54,0
SNOV.US,D,20240216,000000,21.27,21.3,21.2304,21.2304,3796,0
SNOV.US,D,20240220,000000,21.12,21.14,21.07,21.1073,11345,0
SNOV.US,D,20240221,000000,21.04,21.11,21.03,21.04,54005,0
SNOV.US,D,20240222,000000,21.105,21.1601,21.1,21.1601,2530,0
SNOV.US,D,20240223,000000,21.13,21.24,21.11,21.1999,6423,0
SNOV.US,D,20240226,000000,21.25,21.2542,21.25,21.2542,319,0
SNOV.US,D,20240227,000000,21.3622,21.3745,21.3474,21.3745,944,0
SNOV.US,D,20240228,000000,21.3284,21.35,21.29,21.3092,2174,0
SNOV.US,D,20240229,000000,21.39,21.39,21.33,21.38,2671,0
SNOV.US,D,20240301,000000,21.33,21.49,21.31,21.4502,8797,0
SNOV.US,D,20240304,000000,21.46,21.51,21.43,21.4357,8253,0
SNOV.US,D,20240305,000000,21.43,21.43,21.3659,21.3659,1789,0
SNOV.US,D,20240306,000000,21.4001,21.45,21.39,21.4348,4363,0
SNOV.US,D,20240307,000000,21.5009,21.53,21.46,21.5043,2204,0
SNOV.US,D,20240308,000000,21.63,21.63,21.5086,21.5086,1047,0
SNOV.US,D,20240311,000000,21.495,21.495,21.4403,21.4495,3062,0
SNOV.US,D,20240312,000000,21.43,21.4366,21.4,21.4366,2880,0
SNOV.US,D,20240313,000000,21.53,21.53,21.5,21.5125,5335,0
SNOV.US,D,20240314,000000,21.4,21.4,21.26,21.3389,3382,0
SNOV.US,D,20240315,000000,21.34,21.4,21.33,21.3952,21809,0
SNOV.US,D,20240318,000000,21.39,21.4,21.33,21.3352,1777,0
SNOV.US,D,20240319,000000,21.36,21.397,21.36,21.397,423,0
SNOV.US,D,20240320,000000,21.3844,21.59,21.35,21.59,5062,0
SNOV.US,D,20240321,000000,21.63,21.67,21.61,21.6431,17880,0
SNOV.US,D,20240322,000000,21.585,21.6,21.55,21.5503,3044,0
SNOV.US,D,20240325,000000,21.5978,21.61,21.5626,21.5626,1270,0
SNOV.US,D,20240326,000000,21.62,21.62,21.55,21.5548,5313,0
SNOV.US,D,20240327,000000,21.63,21.7098,21.63,21.7098,773,0
SNOV.US,D,20240328,000000,21.74,21.81,21.72,21.7557,7449,0
SNOV.US,D,20240401,000000,21.73,21.73,21.65,21.7049,8207,0
SNOV.US,D,20240402,000000,21.6,21.6,21.48,21.5372,10132,0
SNOV.US,D,20240403,000000,21.5155,21.5927,21.5155,21.5927,2821,0
SNOV.US,D,20240404,000000,21.72,21.72,21.4989,21.4989,3127,0
SNOV.US,D,20240405,000000,21.51,21.545,21.5001,21.545,2332,0
SNOV.US,D,20240408,000000,21.58,21.61,21.53,21.5873,7525,0
SNOV.US,D,20240409,000000,21.65,21.65,21.57,21.6,951,0
SNOV.US,D,20240410,000000,21.42,21.47,21.3907,21.3907,1308,0
SNOV.US,D,20240411,000000,21.42,21.4666,21.42,21.4666,148,0
SNOV.US,D,20240412,000000,21.355,21.39,21.2902,21.2902,612,0
SNOV.US,D,20240415,000000,21.25,21.26,21.14,21.1647,4173,0
SNOV.US,D,20240416,000000,21.13,21.1373,21.13,21.1373,378,0
SNOV.US,D,20240417,000000,21.12,21.12,21.07,21.07,6092,0
SNOV.US,D,20240418,000000,21.1,21.1,21.0212,21.0212,2168,0
SNOV.US,D,20240419,000000,21.01,21.01,21.0099,21.0099,2540,0
SNOV.US,D,20240422,000000,21.12,21.1605,21.12,21.1605,227,0
SNOV.US,D,20240423,000000,21.3199,21.34,21.3199,21.3355,424,0
SNOV.US,D,20240424,000000,21.31,21.34,21.31,21.3246,642,0
SNOV.US,D,20240425,000000,21.22,21.26,21.13,21.24,14607,0
SNOV.US,D,20240426,000000,21.35,21.36,21.3,21.3575,20066,0
