<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SQY.US,D,20231012,000000,20.099,20.29,19.72,19.84,13955,0
SQY.US,D,20231013,000000,19.55,19.55,18.9618,18.9618,6578,0
SQY.US,D,20231016,000000,19.26,19.68,19.26,19.6273,5364,0
SQY.US,D,20231017,000000,19.48,20.2386,19.48,20.0525,9298,0
SQY.US,D,20231018,000000,19.895,19.9392,19.6,19.6,5860,0
SQY.US,D,20231019,000000,19.86,19.86,19.41,19.41,3000,0
SQY.US,D,20231020,000000,19.48,19.5299,19.3,19.3409,1490,0
SQY.US,D,20231023,000000,19.31,19.59,19,19.3819,4443,0
SQY.US,D,20231024,000000,19.79,20.07,19.79,19.9013,12183,0
SQY.US,D,20231025,000000,19.3,19.3,18.355,18.47,21408,0
SQY.US,D,20231026,000000,18.81,18.98,18.45,18.4851,2148,0
SQY.US,D,20231027,000000,17.86,18.005,17.41,17.7922,6219,0
SQY.US,D,20231030,000000,17.7301,17.8499,17.51,17.5156,2896,0
SQY.US,D,20231031,000000,17.4706,17.8305,17.4706,17.8305,1249,0
SQY.US,D,20231101,000000,17.52,18.1737,17.51,18.1737,5194,0
SQY.US,D,20231102,000000,19.15,19.3318,19.1183,19.2905,3910,0
SQY.US,D,20231103,000000,21.79,22.01,21.47,21.5584,12221,0
SQY.US,D,20231106,000000,21.68,21.7862,21.29,21.7862,12098,0
SQY.US,D,20231107,000000,21.88,22.48,21.88,22.37,14033,0
SQY.US,D,20231108,000000,21.95,22.37,21.83,22.2737,12056,0
SQY.US,D,20231109,000000,22.43,22.46,21.98,22.04,5484,0
SQY.US,D,20231110,000000,22.0855,22.2968,22.0855,22.2968,4181,0
SQY.US,D,20231113,000000,22.17,22.4616,22.14,22.4616,4039,0
SQY.US,D,20231114,000000,23.23,23.23,22.9725,23.065,7259,0
SQY.US,D,20231115,000000,23.15,23.18,23.122,23.176,14747,0
SQY.US,D,20231116,000000,23.1361,23.1584,23.1006,23.1469,11088,0
SQY.US,D,20231117,000000,23.16,23.3799,23.11,23.3267,33557,0
SQY.US,D,20231120,000000,23.33,23.6714,23.2804,23.6714,4550,0
SQY.US,D,20231121,000000,23.6057,23.606,23.52,23.5688,1903,0
SQY.US,D,20231122,000000,23.72,23.87,23.72,23.7993,3783,0
SQY.US,D,20231124,000000,23.71,23.8802,23.71,23.8802,795,0
SQY.US,D,20231127,000000,23.93,24.22,23.8417,24.1249,10812,0
SQY.US,D,20231128,000000,24.21,24.6499,24.21,24.6234,5037,0
SQY.US,D,20231129,000000,24.67,24.7,24.64,24.6753,6699,0
SQY.US,D,20231130,000000,24.5199,24.5199,24.2,24.3615,5143,0
SQY.US,D,20231201,000000,24.591,24.99,24.591,24.9543,8256,0
