<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRHR.US,D,20231103,000000,53.55,53.55,53.4514,53.4514,132,0
SRHR.US,D,20231106,000000,52.5924,52.5924,52.5924,52.5924,16,0
SRHR.US,D,20231107,000000,52.2147,52.2147,52.2147,52.2147,47,0
SRHR.US,D,20231108,000000,52.34,52.5609,52.34,52.5609,412,0
SRHR.US,D,20231109,000000,51.85,51.91,51.7347,51.7347,427,0
SRHR.US,D,20231110,000000,52.2964,52.2964,52.2964,52.2964,13,0
SRHR.US,D,20231113,000000,52.27,52.28,51.9479,51.9479,406,0
SRHR.US,D,20231114,000000,54.455,54.455,54.455,54.455,4,0
SRHR.US,D,20231115,000000,54.84,54.85,54.6484,54.6484,205,0
SRHR.US,D,20231116,000000,54.2795,54.2795,54.2795,54.2795,3,0
SRHR.US,D,20231117,000000,54.54,54.54,54.5274,54.5274,402,0
SRHR.US,D,20231120,000000,54.7524,54.7524,54.7524,54.7524,4,0
SRHR.US,D,20231121,000000,54.2703,54.3061,54.2703,54.3061,100,0
SRHR.US,D,20231122,000000,54.6169,54.6169,54.6169,54.6169,6,0
SRHR.US,D,20231124,000000,54.83,55.0062,54.83,55.0062,804,0
SRHR.US,D,20231127,000000,54.7364,54.7364,54.7364,54.7364,86,0
SRHR.US,D,20231128,000000,55.0488,55.0488,55.0488,55.0488,94,0
SRHR.US,D,20231129,000000,55.6006,55.6621,55.6006,55.6621,102,0
SRHR.US,D,20231130,000000,55.7854,55.7854,55.7854,55.7854,9,0
SRHR.US,D,20231201,000000,57.3457,57.3457,57.3457,57.3457,1,0
SRHR.US,D,20231204,000000,57.3006,57.3006,57.3006,57.3006,21,0
SRHR.US,D,20231205,000000,56.73,56.8333,56.73,56.8333,504,0
SRHR.US,D,20231206,000000,56.5943,56.5943,56.5943,56.5943,2,0
SRHR.US,D,20231207,000000,56.9745,56.9745,56.9745,56.9745,10,0
SRHR.US,D,20231208,000000,57.0083,57.0083,57.0083,57.0083,2,0
SRHR.US,D,20231211,000000,57.2729,57.2729,57.2729,57.2729,1,0
SRHR.US,D,20231212,000000,57.3653,57.3653,57.3653,57.3653,2,0
SRHR.US,D,20231213,000000,58.89,59.04,58.6598,58.6598,45019,0
SRHR.US,D,20231214,000000,59.7521,59.7521,59.7521,59.7521,4,0
SRHR.US,D,20231215,000000,59.2743,59.2743,59.2743,59.2743,178,0
SRHR.US,D,20231218,000000,59.32,59.32,59.1943,59.1943,183,0
SRHR.US,D,20231219,000000,59.566,59.566,59.4712,59.4712,105,0
SRHR.US,D,20231220,000000,58.99,58.99,58.2881,58.2881,286,0
