<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXUS.US,D,20210913,000000,24.8637,24.8637,24.8637,24.8637,11.0788997077,0
SXUS.US,D,20210914,000000,24.9649,24.9659,24.7981,24.7981,4841.4791722649,0
SXUS.US,D,20210915,000000,24.813,24.813,24.813,24.813,13.0932451091,0
SXUS.US,D,20210916,000000,24.7286,24.7981,24.7286,24.7981,205.4632309428,0
SXUS.US,D,20210917,000000,24.5797,24.5797,24.3215,24.5062,25112.844119254,0
SXUS.US,D,20210920,000000,23.9184,23.9184,23.9184,23.9184,20.143454014,0
SXUS.US,D,20210921,000000,24.1111,24.1111,24.1111,24.1111,20.143454014,0
SXUS.US,D,20210922,000000,24.2223,24.2302,24.2223,24.2302,7778.3947675061,0
SXUS.US,D,20210923,000000,24.4337,24.4337,24.4337,24.4337,20.143454014,0
SXUS.US,D,20210924,000000,24.121,24.121,24.121,24.121,20.143454014,0
SXUS.US,D,20210927,000000,24.0038,24.0038,23.9304,23.9304,359.5606541499,0
SXUS.US,D,20210928,000000,23.1787,23.1787,23.1787,23.1787,11.0788997077,0
SXUS.US,D,20210929,000000,22.997,22.997,22.997,22.997,2.0143454014,0
SXUS.US,D,20210930,000000,23.008,23.008,23.008,23.008,9.0645543063,0
SXUS.US,D,20211001,000000,22.8054,22.8054,22.8054,22.8054,78.5594706546,0
SXUS.US,D,20211004,000000,22.2991,22.2991,22.2991,22.2991,105.7531335735,0
SXUS.US,D,20211005,000000,22.3487,22.3785,22.2673,22.2673,4708.5323757725,0
SXUS.US,D,20211006,000000,22.1402,22.1501,22.1124,22.1164,1003.1440098972,0
SXUS.US,D,20211007,000000,22.4053,22.4053,22.4053,22.4053,2.0143454014,0
SXUS.US,D,20211008,000000,22.3288,22.3288,22.2335,22.2335,2077.7972815441,0
SXUS.US,D,20211011,000000,22.3586,22.3686,22.2365,22.2365,7007.9076514706,0
SXUS.US,D,20211012,000000,22.3139,22.3139,22.3139,22.3139,38.2725626266,0
SXUS.US,D,20211013,000000,22.5274,22.6287,22.5274,22.6287,5943.3261068307,0
SXUS.US,D,20211014,000000,22.9573,22.9573,22.9573,22.9573,1.0071727007,0
SXUS.US,D,20211015,000000,23.1023,23.1023,23.1023,23.1023,109.7818243763,0
SXUS.US,D,20211018,000000,23.0129,23.0129,23.0129,23.0129,34.2438718238,0
SXUS.US,D,20211019,000000,23.281,23.281,23.277,23.277,1241.8439399631,0
SXUS.US,D,20211020,000000,23.2343,23.2343,23.2343,23.2343,28.2008356196,0
SXUS.US,D,20211021,000000,23.2016,23.2016,23.1658,23.1658,3686.252084562,0
SXUS.US,D,20211022,000000,23.3009,23.3009,23.2482,23.2482,130.932451091,0
