<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TBFG.US,D,20240117,000000,24.735,24.7535,24.72,24.7535,4874,0
TBFG.US,D,20240118,000000,24.9036,24.9036,24.9036,24.9036,4,0
TBFG.US,D,20240119,000000,24.98,25.1188,24.98,25.1188,151800,0
TBFG.US,D,20240122,000000,25.23,25.23,25.2026,25.2026,105,0
TBFG.US,D,20240123,000000,25.17,25.2336,25.17,25.2336,152618,0
TBFG.US,D,20240124,000000,25.36,25.36,25.2312,25.2312,1467,0
TBFG.US,D,20240125,000000,25.3308,25.3308,25.3308,25.3308,1,0
TBFG.US,D,20240126,000000,25.3212,25.3212,25.3212,25.3212,1,0
TBFG.US,D,20240129,000000,25.4776,25.4776,25.4776,25.4776,1,0
TBFG.US,D,20240130,000000,25.43,25.443,25.41,25.443,7299,0
TBFG.US,D,20240131,000000,25.1752,25.1752,25.1752,25.1752,1,0
TBFG.US,D,20240201,000000,25.3785,25.3785,25.3785,25.3785,1,0
TBFG.US,D,20240202,000000,25.5155,25.5155,25.5155,25.5155,1,0
TBFG.US,D,20240205,000000,25.2741,25.45,25.2741,25.4057,509,0
TBFG.US,D,20240206,000000,25.4246,25.4756,25.4246,25.4756,100,0
TBFG.US,D,20240207,000000,25.6051,25.6051,25.6051,25.6051,1,0
TBFG.US,D,20240208,000000,25.6637,25.6637,25.6637,25.6637,1,0
TBFG.US,D,20240209,000000,25.76,25.7951,25.76,25.7951,200,0
TBFG.US,D,20240212,000000,25.8197,25.8197,25.8197,25.8197,1,0
TBFG.US,D,20240213,000000,25.4365,25.4365,25.4365,25.4365,2,0
TBFG.US,D,20240214,000000,25.6776,25.6776,25.6776,25.6776,1,0
TBFG.US,D,20240215,000000,25.8611,25.8611,25.8611,25.8611,1,0
TBFG.US,D,20240216,000000,25.7311,25.7311,25.7311,25.7311,23,0
TBFG.US,D,20240220,000000,25.5842,25.5842,25.5842,25.5842,24,0
TBFG.US,D,20240221,000000,25.56,25.5848,25.52,25.5848,16542,0
TBFG.US,D,20240222,000000,25.8983,25.9609,25.8983,25.9609,100,0
TBFG.US,D,20240223,000000,25.9858,25.9858,25.9858,25.9858,24,0
TBFG.US,D,20240226,000000,25.9325,25.9325,25.9325,25.9325,24,0
TBFG.US,D,20240227,000000,25.9848,25.9848,25.9848,25.9848,24,0
TBFG.US,D,20240228,000000,25.9493,25.9493,25.9493,25.9493,24,0
TBFG.US,D,20240229,000000,26.1083,26.1083,26.1083,26.1083,24,0
TBFG.US,D,20240301,000000,26.25,26.2805,26.2405,26.2805,382,0
TBFG.US,D,20240304,000000,26.299,26.299,26.2604,26.2604,118,0
TBFG.US,D,20240305,000000,26.0662,26.0662,26.0662,26.0662,24,0
TBFG.US,D,20240306,000000,26.191,26.191,26.191,26.191,24,0
TBFG.US,D,20240307,000000,26.4047,26.4047,26.4047,26.4047,17,0
TBFG.US,D,20240308,000000,26.2909,26.2909,26.2909,26.2909,11,0
TBFG.US,D,20240311,000000,26.2317,26.2317,26.2317,26.2317,11,0
TBFG.US,D,20240312,000000,26.4089,26.4089,26.4089,26.4089,11,0
TBFG.US,D,20240313,000000,26.3669,26.3669,26.3669,26.3669,24,0
