<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TECS.US,D,20081217,000000,3112229.8,3124921.4,2934067.2,2977996,0,0
TECS.US,D,20081218,000000,3088797,3377766.6,3079037.4,3288436.1,0,0
TECS.US,D,20081219,000000,3121987.4,3204968.6,3036569.6,3192278,1,0
TECS.US,D,20081222,000000,3189351,3573008.8,3189351,3434384.9,0,0
TECS.US,D,20081223,000000,3342618.8,3547630.6,3293317.4,3492960.6,1,0
TECS.US,D,20081224,000000,3487099.6,3487099.6,3468555,3476365.3,0,0
TECS.US,D,20081226,000000,3431458.9,3492472.2,3428525.9,3435852.9,0,0
TECS.US,D,20081229,000000,3472949,3636465.7,3472949,3517366.1,1,0
TECS.US,D,20081230,000000,3422181.6,3449027.8,3247924.7,3251830.3,0,0
TECS.US,D,20081231,000000,3252808,3252808,3065368.1,3153230.6,0,0
TECS.US,D,20090102,000000,3093677.3,3093677.3,2733937.7,2767130.2,0,0
TECS.US,D,20090105,000000,2822775.9,2846693.1,2658279.5,2736576.1,0,0
TECS.US,D,20090106,000000,2654372.9,2655351.5,2428866.2,2505012.8,0,0
TECS.US,D,20090107,000000,2653401.2,2816428.6,2632901.3,2782747.8,1,0
TECS.US,D,20090108,000000,2804714.7,2873052.9,2693424.3,2716852.2,1,0
TECS.US,D,20090109,000000,2721734.5,2908683,2721734.5,2883301.9,1,0
TECS.US,D,20090112,000000,2845715.4,3102465.2,2845715.4,3080017,1,0
TECS.US,D,20090113,000000,3064879.8,3163479.5,2939437.8,3041940.2,0,0
TECS.US,D,20090114,000000,3180564.1,3420717.7,3172754.8,3367023.3,0,0
TECS.US,D,20090115,000000,3396799.5,3610104.9,3248902.3,3291853.4,1,0
TECS.US,D,20090116,000000,3101487.6,3419739,3064391.4,3175198.4,0,0
TECS.US,D,20090120,000000,3231817.8,3683814.8,3231327.5,3683814.8,0,0
TECS.US,D,20090121,000000,3450981.1,3542356.8,3080017,3080017,1,0
TECS.US,D,20090122,000000,3343595.4,3440729.2,3136146,3268424.6,1,0
TECS.US,D,20090123,000000,3416323.7,3441218.5,2957981.4,3103443.9,1,0
TECS.US,D,20090126,000000,3085870,3099538.2,2894043.1,3014115.4,1,0
TECS.US,D,20090127,000000,2930161.6,2997035.8,2835956.8,2887694.8,0,0
TECS.US,D,20090128,000000,2738818,2755904.6,2543083.5,2602146.5,1,0
TECS.US,D,20090129,000000,2715392.2,2854990.7,2715392.2,2841323.4,1,0
TECS.US,D,20090130,000000,2824237.9,3104908.9,2800319.7,3083919.7,1,0
TECS.US,D,20090202,000000,3230350.8,3230350.8,2929183.9,2975556.3,1,0
