<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGIF.US,D,20201005,000000,99.9926,100.281,99.9322,100.182,18736.1874122,0
TGIF.US,D,20201006,000000,100.721,100.721,99.7524,99.7924,46697.314288143,0
TGIF.US,D,20201007,000000,99.7724,99.8023,99.5326,99.6225,69141.496900962,0
TGIF.US,D,20201008,000000,99.7824,99.8623,99.6525,99.7624,44006.414963287,0
TGIF.US,D,20201009,000000,99.8323,99.9322,99.7924,99.8223,5012.4006397138,0
TGIF.US,D,20201012,000000,100.212,100.521,100.112,100.232,23428.242894192,0
TGIF.US,D,20201013,000000,100.391,100.391,99.9422,100.032,4713.0781329684,0
TGIF.US,D,20201014,000000,99.9727,99.9727,99.8423,99.8823,8010.6311002577,0
TGIF.US,D,20201015,000000,99.8823,100.012,99.6225,100.002,13452.494467041,0
TGIF.US,D,20201016,000000,100.062,100.252,99.8423,99.8523,4193.5183302898,0
TGIF.US,D,20201019,000000,100.092,100.092,99.7324,99.7324,4098.4158615915,0
TGIF.US,D,20201020,000000,99.9926,100.122,99.8223,100.042,15635.846932632,0
TGIF.US,D,20201021,000000,100.122,100.212,99.9422,99.9627,4318.6531575246,0
TGIF.US,D,20201022,000000,100.022,100.271,99.9222,100.202,13413.452400944,0
TGIF.US,D,20201023,000000,100.232,100.242,100.132,100.212,2459.6501641256,0
TGIF.US,D,20201026,000000,100.202,100.202,99.8523,99.9023,17800.178904484,0
TGIF.US,D,20201027,000000,99.9926,100.032,99.9422,99.9422,2431.619962825,0
TGIF.US,D,20201028,000000,99.5626,99.6525,99.3528,99.4427,17442.793837902,0
TGIF.US,D,20201029,000000,99.4228,99.6026,99.3728,99.5626,16587.872698234,0
TGIF.US,D,20201030,000000,99.4627,99.5127,99.0961,99.4827,14841.991588656,0
TGIF.US,D,20201102,000000,99.5426,99.5926,99.3428,99.5127,9104.810029598,0
TGIF.US,D,20201103,000000,99.8223,100.112,99.8123,100.072,33885.510136543,0
TGIF.US,D,20201104,000000,100.102,100.911,100.102,100.511,19559.074036095,0
TGIF.US,D,20201105,000000,100.911,100.951,100.671,100.741,5883.3390372675,0
TGIF.US,D,20201106,000000,100.651,100.741,100.311,100.631,36321.13441384,0
TGIF.US,D,20201109,000000,101.491,101.491,100.901,100.931,33038.597625819,0
TGIF.US,D,20201110,000000,101.061,101.061,100.821,100.901,12841.836510135,0
TGIF.US,D,20201111,000000,100.931,100.971,100.901,100.971,8032.654829851,0
TGIF.US,D,20201112,000000,100.921,100.921,100.691,100.691,1972.1248772191,0
TGIF.US,D,20201113,000000,101.061,101.061,100.991,100.991,1860.0040720168,0
TGIF.US,D,20201116,000000,101.261,101.431,100.931,101.431,11212.080520231,0
TGIF.US,D,20201117,000000,101.431,101.591,101.151,101.441,1686.817471124,0
TGIF.US,D,20201118,000000,101.541,101.601,101.241,101.241,12683.666088511,0
TGIF.US,D,20201119,000000,101.271,101.831,101.271,101.621,1229.3245427539,0
TGIF.US,D,20201120,000000,101.611,101.761,101.441,101.501,2835.0546458298,0
TGIF.US,D,20201123,000000,101.811,101.811,101.521,101.721,1047.1282343001,0
TGIF.US,D,20201124,000000,102.03,102.08,101.811,101.88,2548.7461611167,0
TGIF.US,D,20201125,000000,101.88,102.149,101.761,102.01,2499.6933088407,0
TGIF.US,D,20201127,000000,102.109,102.109,102.099,102.099,563.60726186517,0
TGIF.US,D,20201130,000000,102.149,102.149,102.02,102.099,3615.8959677744,0
TGIF.US,D,20201201,000000,102.309,102.389,102.289,102.299,7025.569740266,0
TGIF.US,D,20201202,000000,102.329,102.619,102.329,102.429,7901.513530909,0
TGIF.US,D,20201203,000000,102.459,102.459,102.329,102.329,1289.3892598265,0
TGIF.US,D,20201204,000000,102.519,102.599,102.519,102.599,1229.3245427539,0
TGIF.US,D,20201207,000000,102.719,102.719,102.539,102.699,1216.3105207215,0
TGIF.US,D,20201208,000000,102.519,102.589,102.429,102.519,3931.2357324059,0
TGIF.US,D,20201209,000000,102.359,102.379,102.339,102.339,1364.4701561674,0
TGIF.US,D,20201210,000000,102.679,102.679,102.489,102.509,2088.249996893,0
TGIF.US,D,20201211,000000,102.689,102.689,102.529,102.529,1305.4065177126,0
TGIF.US,D,20201214,000000,102.689,102.789,102.539,102.599,2557.7558686776,0
TGIF.US,D,20201215,000000,102.679,102.709,102.619,102.649,2433.6221200608,0
TGIF.US,D,20201216,000000,102.599,102.599,102.379,102.569,6227.7100818174,0
TGIF.US,D,20201217,000000,102.599,102.779,102.599,102.779,1696.8282573028,0
TGIF.US,D,20201218,000000,102.709,102.759,102.639,102.739,1593.7171596614,0
TGIF.US,D,20201221,000000,102.729,102.769,102.549,102.559,1660.7894270592,0
TGIF.US,D,20201222,000000,102.689,102.699,102.609,102.629,2510.7051736374,0
TGIF.US,D,20201223,000000,103.089,103.089,102.959,102.969,2563.7623403849,0
TGIF.US,D,20201224,000000,103.009,103.069,103.009,103.049,1216.3105207215,0
TGIF.US,D,20201228,000000,103.089,103.289,103.059,103.059,13902.979845086,0
TGIF.US,D,20201229,000000,103.029,103.249,103.029,103.199,1361.4669203137,0
TGIF.US,D,20201230,000000,103.219,103.339,103.209,103.209,2600.8022492464,0
TGIF.US,D,20201231,000000,103.369,103.369,103.189,103.309,2220.3923744528,0
TGIF.US,D,20210104,000000,103.209,103.209,103.109,103.169,1964.1162482761,0
TGIF.US,D,20210105,000000,103.309,103.559,103.309,103.429,720.77660487197,0
TGIF.US,D,20210106,000000,103.289,103.539,103.249,103.249,4031.3435941937,0
