<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIME.US,D,20220131,000000,26.6723,26.6723,26.6723,26.6723,36,0
TIME.US,D,20220201,000000,27.0694,27.0694,27.0694,27.0694,77,0
TIME.US,D,20220202,000000,26.5275,26.5275,26.5275,26.5275,30,0
TIME.US,D,20220203,000000,25.1594,25.1594,25.1594,25.1594,1,0
TIME.US,D,20220204,000000,25.9499,26.0219,25.949,25.9758,2291,0
TIME.US,D,20220207,000000,26.2061,26.2061,25.9681,25.9681,100,0
TIME.US,D,20220208,000000,26.31,26.3704,26.2604,26.3704,6500,0
TIME.US,D,20220209,000000,27.0951,27.0951,27.0951,27.0951,4,0
TIME.US,D,20220210,000000,26.86,26.86,26.74,26.7601,4405,0
TIME.US,D,20220211,000000,25.9794,25.9794,25.9794,25.9794,22,0
TIME.US,D,20220214,000000,26.0257,26.0257,26.0257,26.0257,40,0
TIME.US,D,20220215,000000,26.475,26.8448,26.475,26.8448,103,0
TIME.US,D,20220216,000000,26.6788,26.6788,26.6788,26.6788,3,0
TIME.US,D,20220217,000000,25.8599,25.8599,25.8599,25.8599,75,0
TIME.US,D,20220218,000000,25.1644,25.1644,25.1644,25.1644,11,0
TIME.US,D,20220222,000000,24.5621,24.5621,24.5621,24.5621,12,0
TIME.US,D,20220223,000000,23.6412,23.6412,23.6412,23.6412,3,0
TIME.US,D,20220224,000000,24.5772,24.5772,24.5772,24.5772,1,0
TIME.US,D,20220225,000000,25.0401,25.0401,25.0401,25.0401,85,0
TIME.US,D,20220228,000000,25.3097,25.3097,25.3097,25.3097,2,0
TIME.US,D,20220301,000000,24.8124,24.8124,24.8124,24.8124,17,0
TIME.US,D,20220302,000000,25.06,25.3784,25.06,25.3784,9715,0
TIME.US,D,20220303,000000,24.88,24.88,24.6318,24.6318,2051,0
TIME.US,D,20220304,000000,23.8505,23.8505,23.8505,23.8505,230,0
TIME.US,D,20220307,000000,22.7106,22.7106,22.7106,22.7106,1,0
TIME.US,D,20220308,000000,22.86,22.86,22.8017,22.8017,165,0
TIME.US,D,20220309,000000,23.619,23.6918,23.619,23.6918,125,0
TIME.US,D,20220310,000000,23.5631,23.5631,23.5631,23.5631,2,0
TIME.US,D,20220311,000000,22.9355,22.9355,22.9355,22.9355,5,0
TIME.US,D,20220314,000000,22.665,22.7101,22.3013,22.3013,1421,0
TIME.US,D,20220315,000000,22.978,22.978,22.978,22.978,12,0
TIME.US,D,20220316,000000,23.31,24.0617,23.31,24.0617,1521,0
TIME.US,D,20220317,000000,24.7022,24.7022,24.7022,24.7022,66,0
TIME.US,D,20220318,000000,25.34,25.5089,25.34,25.5089,159,0
TIME.US,D,20220321,000000,25.1746,25.1746,25.1746,25.1746,11,0
TIME.US,D,20220322,000000,25.7001,25.788,25.615,25.788,4120,0
TIME.US,D,20220323,000000,25.5433,25.5433,25.5433,25.5433,30,0
TIME.US,D,20220324,000000,25.72,25.8765,25.7192,25.8765,11925,0
TIME.US,D,20220325,000000,25.506,25.5523,25.506,25.5523,3008,0
TIME.US,D,20220328,000000,25.7785,26.0748,25.7785,26.0748,1012,0
TIME.US,D,20220329,000000,26.6749,26.6749,26.6749,26.6749,31,0
TIME.US,D,20220330,000000,26.249,26.249,26.249,26.249,29,0
TIME.US,D,20220331,000000,25.8616,25.8616,25.8616,25.8616,28,0
TIME.US,D,20220401,000000,26.05,26.05,25.8199,25.8199,600,0
TIME.US,D,20220404,000000,26.43,26.54,26.43,26.5185,413,0
TIME.US,D,20220405,000000,26.01,26.06,25.69,25.69,955,0
TIME.US,D,20220406,000000,24.91,24.91,24.8569,24.8569,225,0
TIME.US,D,20220407,000000,24.95,24.95,24.7654,24.7654,207,0
TIME.US,D,20220408,000000,24.585,24.62,24.4504,24.4504,4004,0
TIME.US,D,20220411,000000,24.39,24.42,24.2243,24.2243,8250,0
TIME.US,D,20220412,000000,24.92,24.92,24.1172,24.2051,67330,0
TIME.US,D,20220413,000000,24.655,24.995,24.62,24.9054,1002,0
TIME.US,D,20220414,000000,24.63,24.75,24.4275,24.4275,25449,0
TIME.US,D,20220418,000000,24.28,24.285,24.04,24.1327,2169,0
TIME.US,D,20220419,000000,24.49,24.875,24.49,24.8032,813,0
TIME.US,D,20220420,000000,24.3,24.4,24.0699,24.0699,3941,0
TIME.US,D,20220421,000000,24.4,24.4,23.2319,23.2319,1163,0
TIME.US,D,20220422,000000,23.31,23.31,22.7188,22.7188,1117,0
TIME.US,D,20220425,000000,22.87,23.15,22.81,23.08,2001,0
TIME.US,D,20220426,000000,22.53,22.55,22.36,22.3616,662,0
TIME.US,D,20220427,000000,22.43,22.51,22.0845,22.0845,4127,0
TIME.US,D,20220428,000000,22.57,22.723,22.57,22.723,4418,0
TIME.US,D,20220429,000000,21.6275,21.6275,21.6275,21.6275,5,0
TIME.US,D,20220502,000000,22.0829,22.0829,22.0829,22.0829,84,0
TIME.US,D,20220503,000000,21.8664,21.8664,21.8664,21.8664,1,0
TIME.US,D,20220504,000000,21.61,22.3448,21.61,22.3448,116,0
TIME.US,D,20220505,000000,20.9865,20.9865,20.9865,20.9865,52,0
TIME.US,D,20220506,000000,21.04,21.04,20.5133,20.5133,202,0
TIME.US,D,20220509,000000,19.1752,19.1752,19.1752,19.1752,12,0
TIME.US,D,20220510,000000,19.2405,19.2405,19.2405,19.2405,109,0
TIME.US,D,20220511,000000,18.2006,18.2006,18.2006,18.2006,8,0
TIME.US,D,20220512,000000,18.59,18.59,18.59,18.59,6,0
TIME.US,D,20220513,000000,19.53,19.67,19.3799,19.5654,3619,0
TIME.US,D,20220516,000000,19.49,19.49,18.9433,18.9433,700,0
TIME.US,D,20220517,000000,19.4184,19.4184,19.4184,19.4184,53,0
TIME.US,D,20220518,000000,18.2875,18.2875,18.2875,18.2875,138,0
TIME.US,D,20220519,000000,18.69,18.69,18.5166,18.5166,273,0
TIME.US,D,20220520,000000,18.15,18.2951,18.01,18.2951,638,0
TIME.US,D,20220523,000000,18.25,18.484,18.25,18.484,358,0
TIME.US,D,20220524,000000,17.73,17.73,17.6526,17.6526,148,0
TIME.US,D,20220525,000000,17.95,18.1908,17.925,18.1908,5755,0
TIME.US,D,20220526,000000,18.7423,18.7423,18.7423,18.7423,110,0
TIME.US,D,20220527,000000,19.48,19.48,19.48,19.48,76,0
TIME.US,D,20220531,000000,19.43,19.44,19.3,19.4084,2761,0
TIME.US,D,20220601,000000,19.37,19.37,19.2839,19.2839,182,0
TIME.US,D,20220602,000000,19.76,20.04,19.76,20.0047,2976,0
TIME.US,D,20220603,000000,19.46,19.4615,19.46,19.4615,113,0
TIME.US,D,20220606,000000,19.84,19.84,19.48,19.5552,2600,0
TIME.US,D,20220607,000000,19.62,19.7713,19.62,19.7713,2157,0
TIME.US,D,20220608,000000,19.91,19.91,19.72,19.7221,1702,0
TIME.US,D,20220609,000000,19.46,19.52,19.1086,19.1086,515,0
TIME.US,D,20220610,000000,18.55,18.55,18.26,18.2765,7257,0
TIME.US,D,20220613,000000,17.61,17.61,17.2115,17.2115,804,0
TIME.US,D,20220614,000000,17.32,17.38,17.229,17.229,2514,0
TIME.US,D,20220615,000000,17.55,17.93,17.52,17.7867,5147,0
TIME.US,D,20220616,000000,17.16,17.16,16.8,16.8384,876,0
TIME.US,D,20220617,000000,17.14,17.3344,17.14,17.3344,161,0
TIME.US,D,20220621,000000,17.89,17.94,17.7013,17.7013,7622,0
TIME.US,D,20220622,000000,17.79,17.85,17.6645,17.6645,358,0
TIME.US,D,20220623,000000,17.7,17.9845,17.7,17.9845,155,0
TIME.US,D,20220624,000000,18.6578,18.6578,18.6578,18.6578,2,0
TIME.US,D,20220627,000000,18.4,18.4,18.357,18.357,2106,0
TIME.US,D,20220628,000000,18.02,18.02,17.7433,17.7433,605,0
TIME.US,D,20220629,000000,17.57,17.5909,17.57,17.5909,400,0
TIME.US,D,20220630,000000,17.1489,17.1489,17.1489,17.1489,79,0
TIME.US,D,20220701,000000,17.4813,17.4813,17.4813,17.4813,7,0
TIME.US,D,20220705,000000,17.9658,17.9658,17.9658,17.9658,66,0
TIME.US,D,20220706,000000,17.75,17.7728,17.75,17.7728,287,0
TIME.US,D,20220707,000000,18.19,18.2437,18.19,18.2437,102,0
TIME.US,D,20220708,000000,18.1,18.38,18.1,18.2649,217,0
TIME.US,D,20220711,000000,17.87,17.93,17.782,17.782,307,0
TIME.US,D,20220712,000000,17.51,17.5537,17.51,17.5537,177,0
TIME.US,D,20220713,000000,17.56,17.5636,17.56,17.5636,166,0
TIME.US,D,20220714,000000,17.33,17.3903,17.33,17.3903,623,0
TIME.US,D,20220715,000000,17.81,17.83,17.81,17.83,2068,0
TIME.US,D,20220718,000000,18.2699,18.2699,17.9161,17.9161,551,0
TIME.US,D,20220719,000000,18.17,18.3549,18.17,18.3549,703,0
TIME.US,D,20220720,000000,18.87,18.91,18.87,18.91,183,0
TIME.US,D,20220721,000000,18.9201,19.1525,18.9201,19.1525,407,0
TIME.US,D,20220722,000000,18.76,18.76,18.66,18.7141,7802,0
TIME.US,D,20220725,000000,18.54,18.66,18.531,18.5978,2023,0
TIME.US,D,20220726,000000,18.0401,18.0401,17.83,17.83,679,0
TIME.US,D,20220727,000000,18.51,18.7198,18.51,18.7198,155,0
TIME.US,D,20220728,000000,18.959,18.959,18.959,18.959,63,0
TIME.US,D,20220729,000000,19.0956,19.52,19.0956,19.4926,4509,0
TIME.US,D,20220801,000000,19.79,19.79,19.5834,19.5834,235,0
TIME.US,D,20220802,000000,19.73,19.93,19.729,19.8627,553,0
TIME.US,D,20220803,000000,20.27,20.3825,20.27,20.3825,118,0
TIME.US,D,20220804,000000,20.59,20.59,20.5851,20.5851,159,0
TIME.US,D,20220805,000000,20.4178,20.4178,20.4178,20.4178,44,0
TIME.US,D,20220808,000000,20.3689,20.41,20.3689,20.3743,586,0
TIME.US,D,20220809,000000,19.9886,19.9886,19.9886,19.9886,80,0
TIME.US,D,20220810,000000,20.7065,20.7065,20.7065,20.7065,23,0
TIME.US,D,20220811,000000,20.55,20.558,20.55,20.558,197,0
TIME.US,D,20220812,000000,20.8575,20.8575,20.8575,20.8575,4,0
TIME.US,D,20220815,000000,20.9465,20.99,20.9465,20.9465,514,0
TIME.US,D,20220816,000000,21.03,21.03,20.9978,20.9978,211,0
TIME.US,D,20220817,000000,20.4936,20.4936,20.4936,20.4936,57,0
TIME.US,D,20220818,000000,20.36,20.4864,20.3533,20.4864,2028,0
TIME.US,D,20220819,000000,20,20,19.9804,19.9804,182,0
TIME.US,D,20220822,000000,19.5801,19.5801,19.51,19.51,200,0
TIME.US,D,20220823,000000,19.7547,19.7547,19.7547,19.7547,12,0
TIME.US,D,20220824,000000,19.9087,19.9087,19.9087,19.9087,4,0
TIME.US,D,20220825,000000,20.4209,20.4209,20.4209,20.4209,2,0
TIME.US,D,20220826,000000,20.3995,20.3995,19.7941,19.7941,111,0
TIME.US,D,20220829,000000,19.5899,19.5899,19.5899,19.5899,14,0
TIME.US,D,20220830,000000,19.5,19.5,19.2899,19.4061,2195,0
TIME.US,D,20220831,000000,19.1301,19.1613,19.1301,19.1613,110,0
TIME.US,D,20220901,000000,18.7033,18.7033,18.7033,18.7033,16,0
TIME.US,D,20220902,000000,18.5654,18.5654,18.5654,18.5654,123,0
TIME.US,D,20220906,000000,18.45,18.45,18.4134,18.4134,508,0
TIME.US,D,20220907,000000,18.8382,18.8382,18.8382,18.8382,5,0
TIME.US,D,20220908,000000,19.0823,19.0823,19.0823,19.0823,3,0
TIME.US,D,20220909,000000,19.5911,19.5911,19.5911,19.5911,12,0
TIME.US,D,20220912,000000,19.8542,19.8542,19.8542,19.8542,72,0
TIME.US,D,20220913,000000,18.45,19.0185,18.45,19.0185,2,0
TIME.US,D,20220914,000000,19.2494,19.2494,19.2494,19.2494,11,0
TIME.US,D,20220915,000000,19.1066,19.1066,19.1066,19.1066,3,0
TIME.US,D,20220916,000000,18.6832,18.6832,18.6832,18.6832,39,0
TIME.US,D,20220919,000000,18.8,18.8001,18.8,18.8001,830,0
TIME.US,D,20220920,000000,18.6175,18.6175,18.6175,18.6175,4,0
TIME.US,D,20220921,000000,18.2863,18.2863,18.2863,18.2863,3,0
TIME.US,D,20220922,000000,17.93,17.93,17.7551,17.7551,359,0
TIME.US,D,20220923,000000,17.3399,17.3993,17.3,17.3993,6935,0
TIME.US,D,20220926,000000,17.32,17.37,17.3132,17.3132,265,0
TIME.US,D,20220927,000000,17.34,17.4631,17.34,17.4631,100,0
TIME.US,D,20220928,000000,17.86,17.8696,17.86,17.8696,100,0
TIME.US,D,20220929,000000,17.3311,17.3311,17.3311,17.3311,1,0
TIME.US,D,20220930,000000,17.28,17.28,17.1434,17.1434,101,0
TIME.US,D,20221003,000000,17.3152,17.3152,17.3152,17.3152,47,0
TIME.US,D,20221004,000000,18.01,18.01,17.9885,17.9885,117,0
TIME.US,D,20221005,000000,17.77,17.956,17.77,17.956,134,0
TIME.US,D,20221006,000000,17.98,17.98,17.9413,17.9413,187,0
TIME.US,D,20221007,000000,17.209,17.209,17.209,17.209,10,0
TIME.US,D,20221010,000000,16.945,16.945,16.945,16.945,2,0
TIME.US,D,20221011,000000,16.62,16.62,16.5,16.5513,428,0
TIME.US,D,20221012,000000,16.68,16.7,16.59,16.6976,65659,0
TIME.US,D,20221013,000000,16.76,16.76,16.76,16.76,10,0
TIME.US,D,20221014,000000,16.54,16.93,16.3,16.4184,345288,0
TIME.US,D,20221017,000000,16.74,16.9,16.71,16.8616,10328,0
TIME.US,D,20221018,000000,17.1,17.1,17.077,17.077,333,0
TIME.US,D,20221019,000000,17.07,17.16,17,17.13,24196,0
TIME.US,D,20221020,000000,17.03,17.28,16.97,17.0211,37353,0
TIME.US,D,20221021,000000,17,17.74,16.94,17.29,159735,0
TIME.US,D,20221024,000000,17.145,17.79,17.145,17.2557,69325,0
TIME.US,D,20221025,000000,17.54,17.63,17.42,17.54,32853,0
TIME.US,D,20221026,000000,17.4,17.44,17.24,17.25,46500,0
TIME.US,D,20221027,000000,17.31,17.31,17.04,17.08,74764,0
TIME.US,D,20221028,000000,16.93,17.14,16.9199,17.1325,10718,0
TIME.US,D,20221031,000000,17.05,17.09,17.0025,17.0025,3448,0
TIME.US,D,20221101,000000,16.9691,16.9691,16.9691,16.9691,64,0
TIME.US,D,20221102,000000,16.85,16.85,16.3551,16.3551,648,0
TIME.US,D,20221103,000000,16.25,16.3,16.1385,16.1385,468,0
TIME.US,D,20221104,000000,15.98,15.98,15.89,15.9575,209,0
TIME.US,D,20221107,000000,15.9299,15.93,15.923,15.923,278,0
TIME.US,D,20221108,000000,15.92,16.0394,15.92,16.0394,807,0
TIME.US,D,20221109,000000,15.9,15.9,15.6494,15.6494,4911,0
TIME.US,D,20221110,000000,16.5734,16.7834,16.5734,16.7834,201,0
TIME.US,D,20221111,000000,17.2256,17.2256,17.2256,17.2256,117,0
TIME.US,D,20221114,000000,17.21,17.21,17.0549,17.0549,758,0
TIME.US,D,20221115,000000,17.48,17.48,17.3576,17.3576,1368,0
TIME.US,D,20221116,000000,16.9709,16.9709,16.9709,16.9709,95,0
TIME.US,D,20221117,000000,16.69,16.7101,16.69,16.7101,203,0
TIME.US,D,20221118,000000,16.733,16.733,16.733,16.733,34,0
TIME.US,D,20221121,000000,16.61,16.6681,16.5296,16.5296,3573,0
TIME.US,D,20221122,000000,16.8229,16.8229,16.8229,16.8229,47,0
TIME.US,D,20221123,000000,17.1227,17.1227,17.1227,17.1227,23,0
TIME.US,D,20221125,000000,17.0624,17.0624,17.0624,17.0624,41,0
TIME.US,D,20221128,000000,16.94,16.94,16.7945,16.7945,106,0
TIME.US,D,20221129,000000,16.7151,16.7151,16.7151,16.7151,91,0
TIME.US,D,20221130,000000,16.6,17.3218,16.6,17.3218,863,0
TIME.US,D,20221201,000000,17.41,17.4958,17.41,17.4958,127,0
TIME.US,D,20221202,000000,17.44,17.4479,17.44,17.4479,1216,0
TIME.US,D,20221205,000000,17.09,17.09,17.05,17.0746,1294086,0
TIME.US,D,20221206,000000,16.7,16.7,16.6823,16.6823,912,0
TIME.US,D,20221207,000000,16.6041,16.6041,16.6041,16.6041,155,0
TIME.US,D,20221208,000000,16.74,16.7812,16.74,16.7812,156319,0
TIME.US,D,20221209,000000,16.9083,16.94,16.7804,16.7804,39612,0
TIME.US,D,20221212,000000,16.8501,16.98,16.8501,16.9691,48518,0
TIME.US,D,20221213,000000,17.21,17.26,17.13,17.19,182970,0
TIME.US,D,20221214,000000,17.29,17.34,17.1434,17.19,7585,0
TIME.US,D,20221215,000000,16.58,16.66,16.58,16.5895,7516,0
TIME.US,D,20221216,000000,16.4322,16.5144,16.4251,16.5144,499,0
TIME.US,D,20221219,000000,16.2158,16.2158,16.2158,16.2158,1,0
TIME.US,D,20221220,000000,16.16,16.2199,16.14,16.2169,23774,0
TIME.US,D,20221221,000000,16.4297,16.4297,16.405,16.4151,237,0
TIME.US,D,20221222,000000,16.1266,16.1266,16.1266,16.1266,1,0
TIME.US,D,20221223,000000,16.115,16.1161,16.115,16.1161,203,0
TIME.US,D,20221227,000000,15.93,15.95,15.9074,15.9074,11697,0
TIME.US,D,20221228,000000,15.7699,15.77,15.7233,15.7233,200,0
TIME.US,D,20221229,000000,16.05,16.1385,16.05,16.11,353276,0
TIME.US,D,20221230,000000,15.96,16.0646,15.86,16.0646,21725,0
TIME.US,D,20230103,000000,16.14,16.14,16.13,16.1303,2130,0
TIME.US,D,20230104,000000,16.29,16.29,16.22,16.2867,1843,0
TIME.US,D,20230105,000000,16.13,16.1301,16.0491,16.0491,978,0
TIME.US,D,20230106,000000,16.28,16.4768,16.28,16.4743,1914,0
TIME.US,D,20230109,000000,16.7901,16.83,16.6804,16.6972,13746,0
TIME.US,D,20230110,000000,16.81,16.9437,16.81,16.9437,2015,0
TIME.US,D,20230111,000000,17.05,17.19,17.05,17.1899,3519,0
TIME.US,D,20230112,000000,17.2001,17.2989,17.2,17.2633,31726,0
TIME.US,D,20230113,000000,17.3927,17.42,17.39,17.4007,3153,0
TIME.US,D,20230117,000000,17.4102,17.4102,17.3085,17.3102,1029,0
TIME.US,D,20230118,000000,17.3,17.3,17.2166,17.2364,1663,0
TIME.US,D,20230119,000000,17.05,17.2399,17.0372,17.1515,1616,0
TIME.US,D,20230120,000000,17.24,17.4461,17.24,17.4461,3920,0
TIME.US,D,20230123,000000,17.6562,17.6562,17.6562,17.6562,65,0
TIME.US,D,20230124,000000,17.71,17.74,17.5023,17.5927,13586,0
TIME.US,D,20230125,000000,17.4064,17.59,17.4064,17.5772,16151,0
TIME.US,D,20230126,000000,17.6101,17.756,17.6101,17.756,33629,0
TIME.US,D,20230127,000000,17.93,18.0001,17.9299,17.9843,26004,0
TIME.US,D,20230130,000000,17.85,17.85,17.75,17.76,2300,0
TIME.US,D,20230131,000000,18.0236,18.05,18.0152,18.0444,1600,0
TIME.US,D,20230201,000000,17.95,18.2896,17.95,18.2896,700,0
TIME.US,D,20230202,000000,18.83,18.9599,18.75,18.9069,16790,0
TIME.US,D,20230203,000000,18.94,18.9799,18.6605,18.6605,3965,0
TIME.US,D,20230206,000000,18.62,18.6222,18.61,18.6222,2339,0
