<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMSL.US,D,20230616,000000,25.2,25.2,25.12,25.1876,3703,0
TMSL.US,D,20230620,000000,25.14,25.14,25,25.1017,4332,0
TMSL.US,D,20230621,000000,25.08,25.08,25.044,25.06,4200,0
TMSL.US,D,20230622,000000,24.9,24.9,24.85,24.8634,764,0
TMSL.US,D,20230623,000000,24.59,24.59,24.5805,24.5831,728,0
TMSL.US,D,20230626,000000,24.72,24.7216,24.72,24.7216,2687,0
TMSL.US,D,20230627,000000,24.82,25.1082,24.82,25.1082,500,0
TMSL.US,D,20230628,000000,25.1019,25.1019,25.1019,25.1019,200,0
TMSL.US,D,20230629,000000,25.3893,25.3893,25.3893,25.3893,31,0
TMSL.US,D,20230630,000000,25.59,25.6369,25.59,25.6189,673,0
TMSL.US,D,20230703,000000,25.6399,25.64,25.6278,25.6278,469,0
TMSL.US,D,20230705,000000,25.39,25.4005,25.39,25.4005,236,0
TMSL.US,D,20230706,000000,25.24,25.24,25.1723,25.1723,132,0
TMSL.US,D,20230707,000000,25.5,25.5,25.3524,25.3524,100,0
TMSL.US,D,20230710,000000,25.6731,25.6731,25.6731,25.6731,60,0
TMSL.US,D,20230711,000000,25.76,25.9539,25.76,25.9539,1468,0
TMSL.US,D,20230712,000000,26.33,26.33,26.081,26.081,331,0
TMSL.US,D,20230713,000000,26.26,26.26,26.2401,26.2519,401,0
TMSL.US,D,20230714,000000,26.24,26.24,26.0555,26.0555,344,0
TMSL.US,D,20230717,000000,26.25,26.26,26.2174,26.2174,2200,0
TMSL.US,D,20230718,000000,26.366,26.45,26.366,26.4275,569,0
TMSL.US,D,20230719,000000,26.501,26.501,26.415,26.4601,3555,0
TMSL.US,D,20230720,000000,26.45,26.45,26.32,26.3546,1684,0
TMSL.US,D,20230721,000000,26.35,26.41,26.3095,26.3095,537,0
TMSL.US,D,20230724,000000,26.3,26.35,26.3,26.3167,2003,0
TMSL.US,D,20230725,000000,26.46,26.46,26.4092,26.4092,2327,0
TMSL.US,D,20230726,000000,26.51,26.51,26.4762,26.4762,1086,0
TMSL.US,D,20230727,000000,26.59,26.59,26.2367,26.2367,16170,0
TMSL.US,D,20230728,000000,26.4838,26.4838,26.4838,26.4838,228,0
TMSL.US,D,20230731,000000,26.64,26.64,26.5633,26.6339,1398,0
TMSL.US,D,20230801,000000,26.42,26.54,26.42,26.529,765,0
TMSL.US,D,20230802,000000,26.13,26.2,26.09,26.1731,1347,0
TMSL.US,D,20230803,000000,26.05,26.18,26.01,26.1344,3116,0
TMSL.US,D,20230804,000000,26.13,26.13,25.9969,25.9969,502,0
TMSL.US,D,20230807,000000,26.05,26.1555,26.05,26.1555,652,0
TMSL.US,D,20230808,000000,25.97,25.97,25.805,25.9353,2335,0
TMSL.US,D,20230809,000000,25.8238,25.8338,25.8238,25.8338,1080,0
TMSL.US,D,20230810,000000,26.05,26.05,25.83,25.8309,901,0
TMSL.US,D,20230811,000000,25.78,25.89,25.78,25.8082,2381,0
TMSL.US,D,20230814,000000,25.79,25.8518,25.71,25.8518,1576,0
TMSL.US,D,20230815,000000,25.65,25.65,25.54,25.5462,1305,0
TMSL.US,D,20230816,000000,25.56,25.56,25.3317,25.3317,843,0
TMSL.US,D,20230817,000000,25.0155,25.0155,25.0155,25.0155,104,0
TMSL.US,D,20230818,000000,25.1021,25.1021,25.1021,25.1021,5,0
TMSL.US,D,20230821,000000,25.2084,25.22,25.2077,25.2077,456,0
TMSL.US,D,20230822,000000,25.17,25.17,25.0974,25.0974,1886,0
TMSL.US,D,20230823,000000,25.336,25.336,25.336,25.336,7,0
TMSL.US,D,20230824,000000,25.34,25.34,25.0757,25.0757,3141,0
TMSL.US,D,20230825,000000,25.1579,25.1579,25.1579,25.1579,7,0
TMSL.US,D,20230828,000000,25.31,25.3805,25.31,25.3805,805,0
TMSL.US,D,20230829,000000,25.6937,25.6937,25.6937,25.6937,13,0
TMSL.US,D,20230830,000000,25.8712,25.88,25.8327,25.8327,247,0
TMSL.US,D,20230831,000000,25.98,25.98,25.8234,25.8234,376,0
TMSL.US,D,20230901,000000,26.0001,26.0154,26,26.0154,604,0
TMSL.US,D,20230905,000000,25.6233,25.6233,25.6233,25.6233,516,0
TMSL.US,D,20230906,000000,25.565,25.565,25.565,25.565,43,0
TMSL.US,D,20230907,000000,25.38,25.4099,25.38,25.3924,475,0
TMSL.US,D,20230908,000000,25.43,25.43,25.3672,25.3672,19144,0
TMSL.US,D,20230911,000000,25.4268,25.48,25.4215,25.4215,1630,0
TMSL.US,D,20230912,000000,25.51,25.67,25.4118,25.4118,9318,0
TMSL.US,D,20230913,000000,25.33,25.33,25.21,25.252,1555,0
TMSL.US,D,20230914,000000,25.41,25.4988,25.4099,25.4988,2603,0
TMSL.US,D,20230915,000000,25.41,25.41,25.18,25.23,33894,0
TMSL.US,D,20230918,000000,25.28,25.29,25.275,25.2856,15648,0
TMSL.US,D,20230919,000000,25.22,25.22,25.11,25.1872,1735,0
TMSL.US,D,20230920,000000,25.36,25.38,25.0706,25.0706,1811,0
TMSL.US,D,20230921,000000,24.8,24.8,24.6649,24.6649,6154,0
TMSL.US,D,20230922,000000,24.6802,24.76,24.62,24.6252,4364,0
TMSL.US,D,20230925,000000,24.68,24.79,24.68,24.7235,1581,0
TMSL.US,D,20230926,000000,24.51,24.51,24.4126,24.4126,6445,0
TMSL.US,D,20230927,000000,24.41,24.58,24.41,24.58,1003,0
TMSL.US,D,20230928,000000,24.7756,24.7883,24.7756,24.7883,132,0
TMSL.US,D,20230929,000000,24.9537,24.9537,24.69,24.7124,2205,0
TMSL.US,D,20231002,000000,24.74,24.74,24.36,24.4355,2056,0
TMSL.US,D,20231003,000000,24.39,24.39,24,24.0455,2169,0
TMSL.US,D,20231004,000000,24.14,24.14,24.13,24.1396,288,0
TMSL.US,D,20231005,000000,24.1,24.17,23.96,24.1119,44163,0
TMSL.US,D,20231006,000000,23.95,24.38,23.95,24.3645,917,0
TMSL.US,D,20231009,000000,24.5494,24.5494,24.5494,24.5494,30,0
TMSL.US,D,20231010,000000,24.74,24.74,24.7351,24.7351,522,0
TMSL.US,D,20231011,000000,24.74,24.8052,24.65,24.8034,1490,0
TMSL.US,D,20231012,000000,24.36,24.5,24.31,24.3626,11200,0
TMSL.US,D,20231013,000000,24.33,24.33,24.178,24.178,400,0
TMSL.US,D,20231016,000000,24.4111,24.5624,24.4111,24.5624,271,0
TMSL.US,D,20231017,000000,24.6,24.84,24.6,24.7721,6145,0
TMSL.US,D,20231018,000000,24.42,24.42,24.309,24.309,500,0
TMSL.US,D,20231019,000000,24.05,24.05,24,24.014,519,0
TMSL.US,D,20231020,000000,23.8,23.8,23.6752,23.69,1585,0
TMSL.US,D,20231023,000000,23.5,23.72,23.4954,23.4954,449,0
