<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USD.US,D,20070201,000000,2.63352,2.63352,2.63352,2.63352,12768.042617928,0
USD.US,D,20070202,000000,2.68037,2.68037,2.68037,2.68037,63836.200505534,0
USD.US,D,20070205,000000,2.7349,2.7349,2.70131,2.71745,74040.201881206,0
USD.US,D,20070206,000000,2.67558,2.69253,2.64219,2.69153,66324.002649819,0
USD.US,D,20070207,000000,2.7319,2.77806,2.70898,2.77806,91944.352151851,0
USD.US,D,20070208,000000,2.70469,2.70469,2.70469,2.70469,25528.060067648,0
USD.US,D,20070209,000000,2.7977,2.7977,2.65784,2.65844,237388.48815814,0
USD.US,D,20070212,000000,2.63072,2.63072,2.63072,2.63072,2471.7518078703,0
USD.US,D,20070213,000000,2.62274,2.62274,2.60859,2.62026,43380.046744945,0
USD.US,D,20070214,000000,2.6681,2.73869,2.66243,2.72442,89404.386414218,0
USD.US,D,20070215,000000,2.74715,2.75613,2.74715,2.75613,15299.983187353,0
USD.US,D,20070216,000000,2.74436,2.74715,2.73939,2.73939,324280.99692345,0
USD.US,D,20070220,000000,2.67179,2.75254,2.67179,2.74038,140444.4562131,0
USD.US,D,20070221,000000,2.69273,2.70269,2.69273,2.70269,28108.151646317,0
USD.US,D,20070222,000000,2.81614,2.84027,2.79321,2.8279,365125.09051487,0
USD.US,D,20070223,000000,2.85023,2.86518,2.84326,2.85083,158356.63165195,0
USD.US,D,20070226,000000,2.84355,2.84355,2.81594,2.83658,61268.146679175,0
USD.US,D,20070227,000000,2.74536,2.77477,2.63551,2.6405,464617.11336575,0
USD.US,D,20070228,000000,2.67339,2.67339,2.62294,2.64318,293588.74111436,0
USD.US,D,20070301,000000,2.49695,2.61697,2.49695,2.58536,132736.28214992,0
USD.US,D,20070302,000000,2.56812,2.56812,2.49296,2.49695,548929.53055239,0
USD.US,D,20070305,000000,2.50144,2.52356,2.44331,2.44331,107208.22208227,0
USD.US,D,20070306,000000,2.51659,2.54679,2.49485,2.53582,280820.69849644,0
USD.US,D,20070307,000000,2.53124,2.53124,2.50064,2.50064,362593.14994544,0
USD.US,D,20070308,000000,2.55147,2.58606,2.55147,2.56543,176120.34147897,0
USD.US,D,20070309,000000,2.6392,2.6392,2.55048,2.58606,89404.386414218,0
USD.US,D,20070312,000000,2.63122,2.65515,2.62773,2.63671,51060.132719399,0
USD.US,D,20070313,000000,2.61328,2.61328,2.53383,2.53652,265552.81598191,0
USD.US,D,20070314,000000,2.53104,2.55147,2.48737,2.53702,536157.47535036,0
USD.US,D,20070315,000000,2.56592,2.56592,2.52605,2.54848,645945.7890113,0
USD.US,D,20070316,000000,2.50432,2.52884,2.50432,2.51708,630657.84357626,0
USD.US,D,20070319,000000,2.53523,2.53523,2.49695,2.49695,102116.25285469,0
USD.US,D,20070320,000000,2.49864,2.52505,2.49864,2.52356,15299.983187353,0
USD.US,D,20070321,000000,2.53104,2.63591,2.52286,2.6068,239960.5545686,0
USD.US,D,20070322,000000,2.58756,2.58786,2.56493,2.56493,178728.52114636,0
USD.US,D,20070323,000000,2.5744,2.59763,2.5744,2.59763,61268.146679175,0
USD.US,D,20070326,000000,2.58985,2.58985,2.53353,2.57839,53616.148793447,0
USD.US,D,20070327,000000,2.5764,2.58088,2.56015,2.56612,43380.046744945,0
USD.US,D,20070328,000000,2.52406,2.52904,2.48737,2.48797,1095299.0324466,0
USD.US,D,20070329,000000,2.52804,2.52804,2.40742,2.45029,408505.13725981,0
USD.US,D,20070330,000000,2.49116,2.49116,2.45209,2.46803,500433.43907525,0
USD.US,D,20070402,000000,2.47841,2.47841,2.41042,2.45478,68900.081644385,0
USD.US,D,20070403,000000,2.47123,2.50811,2.47123,2.50631,58728.180941542,0
USD.US,D,20070404,000000,2.52705,2.54399,2.52705,2.542,66324.002649819,0
USD.US,D,20070405,000000,2.56792,2.57311,2.56015,2.57311,76592.20537115,0
USD.US,D,20070409,000000,2.59863,2.61059,2.5751,2.59185,56144.076778769,0
USD.US,D,20070410,000000,2.59534,2.65345,2.59534,2.65345,68900.081644385,0
USD.US,D,20070411,000000,2.65914,2.65914,2.604,2.60859,273160.6754425,0
USD.US,D,20070412,000000,2.59763,2.64468,2.59763,2.64468,28108.151646317,0
USD.US,D,20070413,000000,2.61757,2.62653,2.61757,2.62653,61268.146679175,0
USD.US,D,20070416,000000,2.64767,2.67459,2.64767,2.65265,150668.52050929,0
USD.US,D,20070417,000000,2.67578,2.69133,2.67379,2.68674,194032.51691782,0
USD.US,D,20070418,000000,2.75912,2.82033,2.75334,2.7984,288460.65862985,0
USD.US,D,20070419,000000,2.75832,2.8909,2.75414,2.86418,255264.55034006,0
USD.US,D,20070420,000000,2.93028,2.93028,2.84475,2.88811,89404.386414218,0
USD.US,D,20070423,000000,2.86498,2.86498,2.83758,2.84784,68900.081644385,0
USD.US,D,20070424,000000,2.95271,3.01402,2.91782,2.97813,564253.58924437,0
USD.US,D,20070425,000000,2.99588,3.05289,2.97045,3.05289,211900.55393153,0
USD.US,D,20070426,000000,3.03266,3.04791,2.99987,3.0215,388149.29810182,0
USD.US,D,20070427,000000,2.99707,3.00783,2.93955,2.96248,252772.73561167,0
USD.US,D,20070430,000000,2.92459,2.95151,2.88372,2.88372,459593.35806794,0
USD.US,D,20070501,000000,2.87665,2.91383,2.82063,2.91383,117464.38705129,0
USD.US,D,20070502,000000,2.92479,2.97414,2.92281,2.94593,255264.55034006,0
USD.US,D,20070503,000000,2.97863,3.01073,2.9569,2.9569,229800.69161807,0
USD.US,D,20070504,000000,2.9868,3.0195,2.96966,3.00953,74040.201881206,0
USD.US,D,20070507,000000,3.01701,3.02827,2.99588,2.99588,61268.146679175,0
USD.US,D,20070508,000000,2.96517,2.99677,2.94354,2.99677,17884.087350127,0
USD.US,D,20070509,000000,3.00604,3.11869,3.00604,3.116,125080.27168009,0
USD.US,D,20070510,000000,3.09706,3.12716,2.98083,3.01033,362593.14994544,0
USD.US,D,20070511,000000,3.0522,3.09147,3.02727,3.09147,347216.92766012,0
USD.US,D,20070514,000000,3.1142,3.12138,3.03565,3.05389,232404.85870136,0
USD.US,D,20070515,000000,3.03146,3.05489,2.97883,2.98461,257816.55383001,0
USD.US,D,20070516,000000,2.97584,2.99358,2.93028,2.99358,102116.25285469,0
USD.US,D,20070517,000000,2.99588,2.99588,2.95969,2.95969,71544.374568714,0
USD.US,D,20070518,000000,3.01551,3.01551,2.94393,2.97943,84252.228425086,0
USD.US,D,20070521,000000,2.99009,3.05639,2.96049,2.96288,211900.55393153,0
USD.US,D,20070522,000000,2.99258,3.04821,2.98879,3.0223,163372.36178156,0
USD.US,D,20070523,000000,3.00356,3.00753,2.92958,2.92958,176120.34147897,0
USD.US,D,20070524,000000,2.90635,2.92002,2.77876,2.7972,495281.28108612,0
USD.US,D,20070525,000000,2.85023,2.8633,2.82461,2.84127,76592.20537115,0
USD.US,D,20070529,000000,2.88214,2.88991,2.88214,2.88372,145588.58903402,0
USD.US,D,20070530,000000,2.83109,2.85302,2.82063,2.84953,306360.79631639,0
USD.US,D,20070531,000000,2.89888,2.92559,2.88343,2.92559,107208.22208227,0
USD.US,D,20070601,000000,2.96049,3.00474,2.96049,2.97763,250232.76987404,0
USD.US,D,20070604,000000,2.94523,2.99538,2.94523,2.96716,247676.75379999,0
USD.US,D,20070605,000000,2.94872,2.94872,2.88741,2.92281,173620.50158237,0
USD.US,D,20070606,000000,2.90466,2.90466,2.84077,2.86518,247676.75379999,0
USD.US,D,20070607,000000,2.8271,2.8271,2.75015,2.75015,319120.81376611,0
USD.US,D,20070608,000000,2.799,2.89769,2.77407,2.89769,656145.77780287,0
USD.US,D,20070611,000000,2.90337,2.90885,2.88014,2.88144,176120.34147897,0
USD.US,D,20070612,000000,2.83558,2.8937,2.83289,2.8625,196548.40715083,0
USD.US,D,20070613,000000,2.92201,2.95251,2.89609,2.95052,168524.51977069,0
USD.US,D,20070614,000000,2.97644,3.08231,2.97644,3.0522,194032.51691782,0
USD.US,D,20070615,000000,3.17252,3.19315,3.13364,3.18717,543833.54874071,0
USD.US,D,20070618,000000,3.19176,3.20472,3.14262,3.19475,413617.16940791,0
