<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UVIX.US,D,20220331,000000,778,847,772.5,843,5640,0
UVIX.US,D,20220401,000000,811.5,849.3,780,782.25,5478.3,0
UVIX.US,D,20220404,000000,771.5,782.5,702.5,712,7497.18,0
UVIX.US,D,20220405,000000,720.5,819.5,710.25,819.5,6728.42,0
UVIX.US,D,20220406,000000,870,947,842.505,852.5,10118.66,0
UVIX.US,D,20220407,000000,867.5,899.5,793,814.5,7896.32,0
UVIX.US,D,20220408,000000,825.5,843.5,762,808.5,6692.78,0
UVIX.US,D,20220411,000000,838,896.5,820.005,894,8059.84,0
UVIX.US,D,20220412,000000,856,917,812,887.5,18854.96,0
UVIX.US,D,20220413,000000,919,919,781,789,10741.24,0
UVIX.US,D,20220414,000000,763.5,829,739,827,13634.6,0
UVIX.US,D,20220418,000000,838,840.5,785,806.5,12574.04,0
UVIX.US,D,20220419,000000,793.005,807.5,705,723.5,12493.08,0
UVIX.US,D,20220420,000000,697,725,678,688,13626.22,0
UVIX.US,D,20220421,000000,661.5,815.7,660,793.5,17029.5,0
UVIX.US,D,20220422,000000,795,1000,784,988.5,31882.64,0
UVIX.US,D,20220425,000000,1038,1104.46,928.5,940.86,31667,0
UVIX.US,D,20220426,000000,980,1150,974.25,1150,65560.04,0
UVIX.US,D,20220427,000000,1144,1192,1048.5,1182.5,46165.16,0
UVIX.US,D,20220428,000000,1061.5,1128,964.005,1076,31289.58,0
UVIX.US,D,20220429,000000,1096.5,1240,1029,1218.5,31463.86,0
UVIX.US,D,20220502,000000,1238,1360.5,1177.5,1208.5,43223.14,0
UVIX.US,D,20220503,000000,1153,1178.25,1044.5,1045.5,22583.8,0
UVIX.US,D,20220504,000000,1020.5,1051.5,842.5,847.5,17905.68,0
UVIX.US,D,20220505,000000,900.5,1202.5,888,1165,44732.08,0
UVIX.US,D,20220506,000000,1192.5,1321.5,1118,1127,57713.42,0
UVIX.US,D,20220509,000000,1225,1331.5,1203,1308.04,36447.24,0
UVIX.US,D,20220510,000000,1178.5,1319.5,1168.5,1217.5,29319.16,0
UVIX.US,D,20220511,000000,1229,1255,1097,1199,24596.32,0
UVIX.US,D,20220512,000000,1242.5,1293.5,1146.4,1156,18656.6,0
UVIX.US,D,20220513,000000,1075,1096,1005,1005,18733.68,0
UVIX.US,D,20220516,000000,1000,1011.5,925,925,16193.14,0
UVIX.US,D,20220517,000000,871.5,914.115,854,881,24438.18,0
UVIX.US,D,20220518,000000,923,1144,905.5,1129.5,81369.68,0
UVIX.US,D,20220519,000000,1187,1187.5,982.5,994,55465.26,0
UVIX.US,D,20220520,000000,923,1142,918.5,995.5,86877.78,0
UVIX.US,D,20220523,000000,958,1026,933.5,961,37134.16,0
UVIX.US,D,20220524,000000,1002,1065,962.5,977,51993,0
UVIX.US,D,20220525,000000,1013,1013,913.5,934,23669,0
UVIX.US,D,20220526,000000,917.5,921.5,888.5,914.5,17971.3,0
UVIX.US,D,20220527,000000,873,884.5,843,847,22325.68,0
UVIX.US,D,20220531,000000,876,917.5,805.5,819.5,47717.02,0
UVIX.US,D,20220601,000000,797.5,889.5,778,801.5,49897.72,0
UVIX.US,D,20220602,000000,812,819,743.5,773,41674.9,0
UVIX.US,D,20220603,000000,798,820,775,787,40585.64,0
UVIX.US,D,20220606,000000,755.5,789.5,746.67,763,31926.34,0
UVIX.US,D,20220607,000000,806,806,721.5,726.5,39003.9,0
UVIX.US,D,20220608,000000,742,756.5,714.5,721,30461.08,0
UVIX.US,D,20220609,000000,746.5,798,724.22,793,50265.6,0
UVIX.US,D,20220610,000000,853,924,840,870,124022.9,0
UVIX.US,D,20220613,000000,1029.5,1153,1008.5,1127,133224.2,0
UVIX.US,D,20220614,000000,1110,1141,1035.5,1060.5,63663.88,0
UVIX.US,D,20220615,000000,1005.5,1016,868.5,939,89937.72,0
UVIX.US,D,20220616,000000,1035,1108.26,1015.5,1052,102353.66,0
UVIX.US,D,20220617,000000,1045,1079.5,967.5,992.5,48825.96,0
UVIX.US,D,20220621,000000,918.5,955.5,881.445,951.5,43358.06,0
UVIX.US,D,20220622,000000,985,991,873,885,49838.2,0
UVIX.US,D,20220623,000000,867.5,921,860,877,58568.2,0
UVIX.US,D,20220624,000000,843.5,847,817,844.5,47982.86,0
UVIX.US,D,20220627,000000,829,848,785.5,789.5,52025.62,0
UVIX.US,D,20220628,000000,772,849.5,758.5,836.5,97603.2,0
UVIX.US,D,20220629,000000,847,878,821,843.5,62694.92,0
UVIX.US,D,20220630,000000,877.5,921.5,843,854,88582.18,0
UVIX.US,D,20220701,000000,871.5,903,804,812,68689.94,0
UVIX.US,D,20220705,000000,871.5,903.75,805,813,75621.92,0
UVIX.US,D,20220706,000000,815.5,837.5,775.5,785.5,63440.36,0
UVIX.US,D,20220707,000000,775,777.5,744.5,767,69187.3,0
UVIX.US,D,20220708,000000,771.5,771.5,723.5,733,90593.62,0
UVIX.US,D,20220711,000000,758.5,786,747.5,773.5,80002.38,0
UVIX.US,D,20220712,000000,776,805.995,743.5,799.5,84868.28,0
UVIX.US,D,20220713,000000,831,835,750.5,767,94123.14,0
UVIX.US,D,20220714,000000,812.5,836.5,763.5,770.5,94402.98,0
UVIX.US,D,20220715,000000,737.5,746.45,688.5,693,141335.02,0
