<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VNMC.US,D,20200918,000000,25.0253,25.0253,24.5489,24.6008,2436.0863198652,0
VNMC.US,D,20200921,000000,23.7768,23.8687,23.7768,23.8687,1052.3332191444,0
VNMC.US,D,20200922,000000,23.8557,24.0265,23.8557,24.0265,101.1281209644,0
VNMC.US,D,20200924,000000,23.2615,23.7569,23.2615,23.5052,1555.9712869176,0
VNMC.US,D,20200929,000000,24.6198,24.6198,24.1623,24.1623,101.1281209644,0
VNMC.US,D,20201013,000000,25.5915,25.6215,25.5855,25.5855,10085.777846281,0
VNMC.US,D,20201015,000000,25.3698,25.6824,25.3698,25.6824,390.494724516,0
VNMC.US,D,20201019,000000,25.9081,25.9081,25.4887,25.4887,337.4274927228,0
VNMC.US,D,20201020,000000,25.8782,25.8782,25.7224,25.7224,476.6038176144,0
VNMC.US,D,20201021,000000,25.7294,25.7294,25.6345,25.6345,377.4782336988,0
VNMC.US,D,20201022,000000,25.8912,25.8912,25.8912,25.8912,1.0012685244,0
VNMC.US,D,20201023,000000,25.9681,26.039,25.9681,26.039,101.1281209644,0
VNMC.US,D,20201026,000000,25.6305,25.6305,25.4597,25.4597,7995.129167334,0
VNMC.US,D,20201027,000000,25.1341,25.1341,25.1341,25.1341,78.0989449032,0
VNMC.US,D,20201028,000000,24.3311,24.411,24.2812,24.2812,417.5289746748,0
VNMC.US,D,20201029,000000,24.2033,24.5089,24.2033,24.5089,191.2422881604,0
VNMC.US,D,20201030,000000,24.3211,24.3371,24.3211,24.3371,407.5162894308,0
VNMC.US,D,20201102,000000,24.9663,25.0652,24.8375,25.0352,4034.1108848076,0
VNMC.US,D,20201103,000000,25.6894,25.6894,25.5516,25.6595,1008.2774040708,0
VNMC.US,D,20201104,000000,25.4817,25.4817,25.4817,25.4817,37.0469354028,0
VNMC.US,D,20201105,000000,26.0669,26.0929,26.0669,26.0929,9536.0814263856,0
VNMC.US,D,20201106,000000,26.3156,26.3156,26.0959,26.0959,978.2393483388,0
VNMC.US,D,20201109,000000,27.4072,27.4072,27.4072,27.4072,37.0469354028,0
VNMC.US,D,20201110,000000,27.6399,27.6399,27.6399,27.6399,37.0469354028,0
VNMC.US,D,20201111,000000,27.5331,27.5331,27.5331,27.5331,37.0469354028,0
VNMC.US,D,20201112,000000,27.0437,27.0437,27.0437,27.0437,37.0469354028,0
VNMC.US,D,20201113,000000,27.603,27.603,27.603,27.603,37.0469354028,0
VNMC.US,D,20201116,000000,28.2142,28.2142,28.2142,28.2142,37.0469354028,0
VNMC.US,D,20201117,000000,28.1523,28.1523,28.1523,28.1523,37.0469354028,0
VNMC.US,D,20201118,000000,27.9805,27.9805,27.9805,27.9805,37.0469354028,0
VNMC.US,D,20201119,000000,27.8507,28.0215,27.8507,28.0215,352.4465205888,0
VNMC.US,D,20201120,000000,27.9436,27.9436,27.9436,27.9436,37.0469354028,0
VNMC.US,D,20201123,000000,28.382,28.382,28.382,28.382,37.0469354028,0
VNMC.US,D,20201124,000000,29.0412,29.0412,29.0082,29.0082,6907.7515498356,0
VNMC.US,D,20201125,000000,28.8134,28.8134,28.7785,28.7785,101.1281209644,0
VNMC.US,D,20201127,000000,28.8134,28.8134,28.6646,28.6916,1210.5336459996,0
VNMC.US,D,20201130,000000,28.2791,28.2791,28.2791,28.2791,37.0469354028,0
VNMC.US,D,20201201,000000,28.6547,28.6547,28.6547,28.6547,48.0608891712,0
VNMC.US,D,20201202,000000,28.5458,28.5758,28.4669,28.5758,1008.2774040708,0
VNMC.US,D,20201203,000000,28.7336,28.8234,28.6137,28.6137,1409.7860823552,0
VNMC.US,D,20201204,000000,28.9922,29.183,28.9922,29.183,10085.777846281,0
VNMC.US,D,20201209,000000,29.1211,29.1211,28.9862,28.9862,5725.2534225192,0
VNMC.US,D,20201210,000000,29.0022,29.0571,29.0022,29.0571,344.4363723936,0
VNMC.US,D,20201211,000000,28.8824,28.8824,28.8824,28.8824,2.0025370488,0
VNMC.US,D,20201214,000000,28.6676,28.6676,28.6676,28.6676,1.0012685244,0
VNMC.US,D,20201215,000000,29.1231,29.1231,29.1231,29.1231,1.0012685244,0
VNMC.US,D,20201216,000000,29.0711,29.0711,29.0711,29.0711,1.0012685244,0
VNMC.US,D,20201217,000000,29.2659,29.2659,29.2659,29.2659,2.0025370488,0
VNMC.US,D,20201218,000000,29.17,29.17,29.17,29.17,1.0012685244,0
VNMC.US,D,20201221,000000,29.0022,29.0022,28.9673,28.9673,329.4173445276,0
VNMC.US,D,20201222,000000,28.9273,28.9273,28.9273,28.9273,1.0012685244,0
VNMC.US,D,20201223,000000,29.184,29.184,29.184,29.184,1.0012685244,0
VNMC.US,D,20201224,000000,29.3088,29.3088,29.3088,29.3088,1.0012685244,0
VNMC.US,D,20201228,000000,29.4886,29.4886,29.3628,29.3628,400.50740976,0
VNMC.US,D,20201229,000000,29.1271,29.1271,29.1271,29.1271,1.0012685244,0
VNMC.US,D,20201230,000000,29.4886,29.5016,29.4886,29.5016,8869.2365891352,0
VNMC.US,D,20201231,000000,29.6823,29.6823,29.6823,29.6823,1.0012685244,0
VNMC.US,D,20210104,000000,29.2,29.2,29.2,29.2,1.0012685244,0
VNMC.US,D,20210105,000000,29.5805,29.5805,29.5805,29.5805,1.0012685244,0
VNMC.US,D,20210106,000000,30.6311,30.6311,30.6311,30.6311,1.0012685244,0
VNMC.US,D,20210107,000000,30.8968,30.8968,30.8968,30.8968,6.0076111464,0
VNMC.US,D,20210108,000000,30.8529,30.8529,30.8529,30.8529,4.0050740976,0
VNMC.US,D,20210111,000000,30.9587,30.9587,30.9587,30.9587,4.0050740976,0
VNMC.US,D,20210112,000000,31.2913,31.2913,31.2913,31.2913,4.0050740976,0
VNMC.US,D,20210113,000000,31.0037,31.0037,31.0037,31.0037,4.0050740976,0
VNMC.US,D,20210114,000000,31.0177,31.0177,31.0177,31.0177,12.0152222928,0
VNMC.US,D,20210115,000000,30.747,30.747,30.747,30.747,4.0050740976,0
VNMC.US,D,20210119,000000,30.9128,30.9128,30.9128,30.9128,14.0177593416,0
VNMC.US,D,20210120,000000,31.0236,31.0236,31.0236,31.0236,1.0012685244,0
VNMC.US,D,20210121,000000,30.729,30.739,30.729,30.739,8059.2103528956,0
VNMC.US,D,20210122,000000,30.4414,30.5802,30.4414,30.5492,6546.2936125272,0
VNMC.US,D,20210125,000000,30.2526,30.2556,30.2526,30.2556,103.1306580132,0
VNMC.US,D,20210126,000000,29.951,29.951,29.951,29.951,1.0012685244,0
VNMC.US,D,20210127,000000,29.139,29.139,29.139,29.139,10.012685244,0
VNMC.US,D,20210128,000000,29.7463,29.7463,29.7463,29.7463,2.0025370488,0
VNMC.US,D,20210129,000000,29.2089,29.2089,29.2089,29.2089,2.0025370488,0
VNMC.US,D,20210201,000000,29.6574,29.7263,29.6574,29.7263,201.2549734044,0
VNMC.US,D,20210202,000000,30.1508,30.1508,30.1508,30.1508,2.0025370488,0
VNMC.US,D,20210203,000000,30.2726,30.3086,30.2726,30.3086,201.2549734044,0
VNMC.US,D,20210204,000000,30.5013,30.5742,30.5013,30.5742,101.1281209644,0
VNMC.US,D,20210205,000000,30.6801,30.6801,30.6801,30.6801,110.139537684,0
VNMC.US,D,20210208,000000,30.8978,30.9577,30.8489,30.9577,10726.589701897,0
VNMC.US,D,20210209,000000,30.9677,31.0296,30.9677,31.0296,262.3323533928,0
VNMC.US,D,20210210,000000,31.2354,31.2454,31.2354,31.2404,535.678660554,0
VNMC.US,D,20210211,000000,31.1125,31.1125,31.1125,31.1125,7.0088796708,0
