<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VTEI.US,D,20240131,000000,100.97,101.31,100.7,100.91,45110,0
VTEI.US,D,20240201,000000,101.35,101.67,101.01,101.055,47993,0
VTEI.US,D,20240202,000000,100.97,100.97,100.645,100.72,91756,0
VTEI.US,D,20240205,000000,100.89,101,100.43,100.495,75251,0
VTEI.US,D,20240206,000000,100.46,100.83,100.39,100.565,61092,0
VTEI.US,D,20240207,000000,100.58,100.97,100.54,100.66,59694,0
VTEI.US,D,20240208,000000,100.53,100.545,100.46,100.48,26565,0
VTEI.US,D,20240209,000000,100.56,100.69,100.5,100.59,24347,0
VTEI.US,D,20240212,000000,100.76,101.05,100.56,100.56,51077,0
VTEI.US,D,20240213,000000,100.43,100.66,100.33,100.35,33046,0
VTEI.US,D,20240214,000000,100.32,100.56,100.32,100.4099,26693,0
VTEI.US,D,20240215,000000,100.505,100.58,100.395,100.47,28148,0
VTEI.US,D,20240216,000000,100.38,100.45,100.34,100.45,13548,0
VTEI.US,D,20240220,000000,100.63,100.63,100.42,100.44,11600,0
VTEI.US,D,20240221,000000,100.52,100.52,100.42,100.44,8459,0
VTEI.US,D,20240222,000000,100.48,100.49,100.38,100.42,15749,0
VTEI.US,D,20240223,000000,100.49,100.68,100.44,100.5799,6313,0
VTEI.US,D,20240226,000000,100.69,100.69,100.43,100.47,16021,0
VTEI.US,D,20240227,000000,100.6,100.6,100.48,100.51,7434,0
VTEI.US,D,20240228,000000,100.55,100.65,100.525,100.6,7661,0
VTEI.US,D,20240229,000000,100.77,100.84,100.64,100.67,17087,0
VTEI.US,D,20240301,000000,100.44,100.56,100.32,100.54,15044,0
VTEI.US,D,20240304,000000,100.43,100.44,100.37,100.37,8820,0
VTEI.US,D,20240305,000000,100.39,100.495,100.39,100.45,10111,0
VTEI.US,D,20240306,000000,100.53,100.53,100.455,100.4807,16023,0
VTEI.US,D,20240307,000000,100.61,100.61,100.55,100.575,13385,0
VTEI.US,D,20240308,000000,100.58,100.64,100.54,100.61,15394,0
VTEI.US,D,20240311,000000,100.64,100.695,100.6,100.605,6278,0
VTEI.US,D,20240312,000000,100.6,100.8,100.515,100.59,27628,0
VTEI.US,D,20240313,000000,100.66,100.68,100.61,100.61,5826,0
VTEI.US,D,20240314,000000,100.54,100.54,100.42,100.42,5894,0
VTEI.US,D,20240315,000000,100.4,100.415,100.4,100.405,6837,0
VTEI.US,D,20240318,000000,100.5099,100.5099,100.43,100.455,15148,0
VTEI.US,D,20240319,000000,100.53,100.53,100.415,100.45,10414,0
VTEI.US,D,20240320,000000,100.38,100.46,100.37,100.4597,10427,0
VTEI.US,D,20240321,000000,100.43,100.56,100.38,100.39,9586,0
VTEI.US,D,20240322,000000,100.45,100.5,100.38,100.38,7645,0
VTEI.US,D,20240325,000000,100.68,100.68,100.415,100.46,18556,0
VTEI.US,D,20240326,000000,100.37,100.39,100.3,100.3,12159,0
VTEI.US,D,20240327,000000,100.26,100.43,100.15,100.3,12660,0
VTEI.US,D,20240328,000000,100.23,100.23,100.21,100.22,10155,0
VTEI.US,D,20240401,000000,100,100.01,99.661,99.7252,48121,0
VTEI.US,D,20240402,000000,99.57,99.7,99.57,99.57,8930,0
VTEI.US,D,20240403,000000,99.44,99.5,99.215,99.37,14124,0
VTEI.US,D,20240404,000000,99.4,99.43,99.345,99.425,10092,0
VTEI.US,D,20240405,000000,99.26,99.5,99.26,99.2828,5922,0
VTEI.US,D,20240408,000000,99.31,99.35,99.163,99.3266,6240,0
VTEI.US,D,20240409,000000,99.385,99.51,99.385,99.5,6563,0
VTEI.US,D,20240410,000000,99.06,99.12,99.005,99.035,12142,0
VTEI.US,D,20240411,000000,99,99.08,98.825,98.9994,16913,0
VTEI.US,D,20240412,000000,99.145,99.2,99.145,99.195,5659,0
VTEI.US,D,20240415,000000,99.165,99.34,99.055,99.186,10458,0
VTEI.US,D,20240416,000000,99.31,99.31,99.075,99.1,9914,0
VTEI.US,D,20240417,000000,99.04,99.18,99.015,99.175,3995,0
VTEI.US,D,20240418,000000,99.12,99.14,99.04,99.05,11186,0
VTEI.US,D,20240419,000000,99.24,99.24,99.135,99.16,9345,0
VTEI.US,D,20240422,000000,99.17,99.2274,99.165,99.17,3783,0
VTEI.US,D,20240423,000000,99.12,99.37,99.11,99.37,9578,0
VTEI.US,D,20240424,000000,99.17,99.17,99.0993,99.155,4913,0
VTEI.US,D,20240425,000000,99,99.07,99,99.05,586256,0
VTEI.US,D,20240426,000000,99,99.01,98.93,99.005,8172,0
VTEI.US,D,20240429,000000,99,99.0302,99,99.0302,3470,0
VTEI.US,D,20240430,000000,99,99.13,99,99.005,42859,0
VTEI.US,D,20240501,000000,99,99.015,98.95,99.008,4459,0
VTEI.US,D,20240502,000000,98.97,99.05,98.97,99.05,27364,0
VTEI.US,D,20240503,000000,98.96,99.28,98.96,99.24,7931,0
VTEI.US,D,20240506,000000,99.32,99.51,99.285,99.3402,7232,0
VTEI.US,D,20240507,000000,99.49,99.5,99.485,99.495,1527,0
VTEI.US,D,20240508,000000,99.5785,99.7287,99.5785,99.69,7253,0
VTEI.US,D,20240509,000000,99.61,99.685,99.61,99.675,11565,0
VTEI.US,D,20240510,000000,99.63,99.68,99.61,99.61,39288,0
VTEI.US,D,20240513,000000,99.63,99.695,99.62,99.635,20742,0
VTEI.US,D,20240514,000000,99.64,99.71,99.64,99.64,16715,0
VTEI.US,D,20240515,000000,99.71,99.8,99.69,99.69,13726,0
VTEI.US,D,20240516,000000,99.73,99.73,99.65,99.65,8395,0
VTEI.US,D,20240517,000000,99.61,99.7099,99.45,99.45,43658,0
VTEI.US,D,20240520,000000,99.54,99.56,99.2765,99.28,17773,0
VTEI.US,D,20240521,000000,99.3,99.3,99.205,99.205,7312,0
VTEI.US,D,20240522,000000,99.09,99.335,99,99.06,9173,0
VTEI.US,D,20240523,000000,98.97,99.005,98.65,98.65,14895,0
VTEI.US,D,20240524,000000,98.6,98.67,98.6,98.67,16218,0
VTEI.US,D,20240528,000000,98.68,98.81,98.625,98.625,10723,0
VTEI.US,D,20240529,000000,98.74,98.74,98.455,98.455,30926,0
VTEI.US,D,20240530,000000,98.37,98.42,98.37,98.38,9669,0
VTEI.US,D,20240531,000000,98.58,98.58,98.412,98.45,5942,0
VTEI.US,D,20240603,000000,98.34,98.4795,98.32,98.45,3743,0
VTEI.US,D,20240604,000000,98.52,98.7006,98.5,98.7006,4462,0
VTEI.US,D,20240605,000000,98.87,98.98,98.79,98.9739,7347,0
VTEI.US,D,20240606,000000,99.09,99.23,99.09,99.155,31788,0
VTEI.US,D,20240607,000000,99.07,99.07,99.025,99.045,2408,0
VTEI.US,D,20240610,000000,98.98,98.99,98.935,98.9732,7487,0
VTEI.US,D,20240611,000000,98.955,99.06,98.955,99.0448,6218,0
VTEI.US,D,20240612,000000,99.4,99.56,99.37,99.395,26484,0
VTEI.US,D,20240613,000000,99.51,99.6395,99.41,99.6145,8549,0
VTEI.US,D,20240614,000000,99.53,99.74,99.53,99.715,8008,0
VTEI.US,D,20240617,000000,99.68,100.22,99.6,99.7,190062,0
VTEI.US,D,20240618,000000,99.6,99.84,99.6,99.6785,17836,0
VTEI.US,D,20240620,000000,99.65,99.67,99.6094,99.62,17543,0
VTEI.US,D,20240621,000000,99.71,99.76,99.56,99.75,38488,0
