<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VWI.US,D,20231006,000000,25,25.07,24.8,25.0248,5136,0
VWI.US,D,20231009,000000,25.23,25.2494,25.23,25.2494,115,0
VWI.US,D,20231010,000000,25.4499,25.49,25.35,25.3562,3879,0
VWI.US,D,20231011,000000,25.41,25.46,25.41,25.454,433,0
VWI.US,D,20231012,000000,25.43,25.43,25.155,25.155,621,0
VWI.US,D,20231013,000000,25.13,25.23,24.92,25.2194,4856,0
VWI.US,D,20231016,000000,25.43,25.43,25.403,25.403,405,0
VWI.US,D,20231017,000000,25.47,25.48,25.4415,25.4706,1100,0
VWI.US,D,20231018,000000,25.3999,25.3999,25.2611,25.2611,1545,0
VWI.US,D,20231019,000000,25.17,25.22,25.12,25.1396,1008,0
VWI.US,D,20231020,000000,24.97,25.09,24.97,24.9788,1191,0
VWI.US,D,20231023,000000,24.9504,24.9504,24.8541,24.8541,492,0
VWI.US,D,20231024,000000,25.01,25.01,24.9857,24.9857,405,0
VWI.US,D,20231025,000000,25.04,25.04,24.9614,24.9614,231,0
VWI.US,D,20231026,000000,24.83,24.83,24.7279,24.7279,942,0
VWI.US,D,20231027,000000,24.43,24.43,24.4154,24.4154,221,0
VWI.US,D,20231030,000000,24.7156,24.7156,24.6835,24.6835,101,0
VWI.US,D,20231031,000000,24.78,24.78,24.7331,24.7331,617,0
VWI.US,D,20231101,000000,24.8136,24.8136,24.8136,24.8136,20,0
VWI.US,D,20231102,000000,25.1,25.2055,25.1,25.2055,217,0
VWI.US,D,20231103,000000,25.25,25.4791,25.25,25.4791,200,0
VWI.US,D,20231106,000000,25.46,25.46,25.4237,25.4237,102,0
VWI.US,D,20231107,000000,25.3613,25.3613,25.3613,25.3613,34,0
VWI.US,D,20231108,000000,25.2694,25.2694,25.2694,25.2694,92,0
VWI.US,D,20231109,000000,25.2159,25.2159,25.2159,25.2159,2,0
VWI.US,D,20231110,000000,25.2624,25.2624,25.2624,25.2624,2,0
VWI.US,D,20231113,000000,25.305,25.305,25.305,25.305,10,0
VWI.US,D,20231114,000000,25.65,25.7048,25.65,25.7048,120,0
VWI.US,D,20231115,000000,25.7921,25.7921,25.7921,25.7921,62,0
VWI.US,D,20231116,000000,25.6867,25.6867,25.6867,25.6867,2,0
VWI.US,D,20231117,000000,25.8432,25.8432,25.8432,25.8432,193,0
VWI.US,D,20231120,000000,25.94,25.94,25.896,25.896,196,0
VWI.US,D,20231121,000000,25.881,25.881,25.881,25.881,40,0
VWI.US,D,20231122,000000,25.9837,25.9837,25.9837,25.9837,2,0
VWI.US,D,20231124,000000,26.0701,26.0701,26.0701,26.0701,4,0
VWI.US,D,20231127,000000,25.96,25.96,25.9468,25.9468,255,0
VWI.US,D,20231128,000000,25.9835,25.9835,25.9835,25.9835,10,0
VWI.US,D,20231129,000000,25.935,25.935,25.935,25.935,1,0
VWI.US,D,20231130,000000,26.02,26.02,26.02,26.02,15,0
VWI.US,D,20231201,000000,26.34,26.34,26.3234,26.3234,209,0
VWI.US,D,20231204,000000,26.3252,26.3252,26.3252,26.3252,2,0
VWI.US,D,20231205,000000,26.2037,26.2037,26.2037,26.2037,9,0
VWI.US,D,20231206,000000,26.0053,26.0053,26.0053,26.0053,19,0
VWI.US,D,20231207,000000,26.0956,26.0956,26.0956,26.0956,1,0
VWI.US,D,20231208,000000,26.1213,26.1213,26.1213,26.1213,2,0
VWI.US,D,20231211,000000,26.1335,26.1335,26.1335,26.1335,2,0
VWI.US,D,20231212,000000,26.1356,26.1356,26.1356,26.1356,52,0
VWI.US,D,20231213,000000,26.5351,26.5351,26.5351,26.5351,18,0
VWI.US,D,20231214,000000,26.86,26.92,26.7447,26.7447,401,0
VWI.US,D,20231215,000000,26.583,26.583,26.583,26.583,8,0
VWI.US,D,20231218,000000,26.645,26.645,26.645,26.645,18,0
VWI.US,D,20231219,000000,26.8565,26.8565,26.8565,26.8565,18,0
VWI.US,D,20231220,000000,26.75,26.75,26.5954,26.5954,162,0
VWI.US,D,20231221,000000,26.7626,26.7626,26.7626,26.7626,25,0
VWI.US,D,20231222,000000,26.95,26.95,26.8505,26.8505,287,0
VWI.US,D,20231226,000000,26.6748,26.6748,26.6748,26.6748,25,0
VWI.US,D,20231227,000000,26.7151,26.7151,26.7151,26.7151,22,0
VWI.US,D,20231228,000000,26.7104,26.7104,26.7104,26.7104,7,0
VWI.US,D,20231229,000000,26.6576,26.6576,26.6576,26.6576,180,0
VWI.US,D,20240102,000000,26.76,26.93,26.76,26.8121,1423,0
VWI.US,D,20240103,000000,26.6425,26.6425,26.6425,26.6425,2,0
VWI.US,D,20240104,000000,26.7999,26.7999,26.7351,26.7351,235,0
VWI.US,D,20240105,000000,26.66,26.79,26.66,26.741,482,0
VWI.US,D,20240108,000000,26.8,26.92,26.8,26.8654,400,0
VWI.US,D,20240109,000000,26.78,26.79,26.7361,26.7361,528,0
VWI.US,D,20240110,000000,26.71,26.71,26.6576,26.6576,800,0
VWI.US,D,20240111,000000,26.65,26.65,26.5525,26.6198,1725,0
VWI.US,D,20240112,000000,26.5717,26.66,26.5717,26.6109,853,0
VWI.US,D,20240116,000000,26.367,26.367,26.367,26.367,83,0
VWI.US,D,20240117,000000,26.29,26.2903,26.1721,26.2433,2263,0
VWI.US,D,20240118,000000,26.2251,26.2251,26.2251,26.2251,73,0
VWI.US,D,20240119,000000,26.36,26.36,26.3101,26.3101,149,0
VWI.US,D,20240122,000000,26.3921,26.3921,26.3921,26.3921,68,0
VWI.US,D,20240123,000000,26.43,26.44,26.3839,26.3839,593,0
VWI.US,D,20240124,000000,26.42,26.42,26.2726,26.2726,284,0
VWI.US,D,20240125,000000,26.4282,26.4282,26.4282,26.4282,16,0
VWI.US,D,20240126,000000,26.42,26.4351,26.42,26.4351,300,0
VWI.US,D,20240129,000000,26.4679,26.4679,26.4679,26.4679,50,0
VWI.US,D,20240130,000000,26.4945,26.4945,26.4945,26.4945,103,0
VWI.US,D,20240131,000000,26.4,26.4,26.2442,26.2442,742,0
VWI.US,D,20240201,000000,26.48,26.4834,26.48,26.4834,265,0
VWI.US,D,20240202,000000,26.3423,26.3423,26.3423,26.3423,8,0
VWI.US,D,20240205,000000,26.0999,26.1298,26.0516,26.0516,265,0
VWI.US,D,20240206,000000,26.1999,26.1999,26.19,26.19,201,0
VWI.US,D,20240207,000000,26.14,26.14,26.0917,26.0917,100,0
VWI.US,D,20240208,000000,26.19,26.23,26.1667,26.1667,501,0
VWI.US,D,20240209,000000,26.33,26.33,26.0401,26.137,4410,0
VWI.US,D,20240212,000000,27.35,27.35,26.2,26.3244,20161,0
VWI.US,D,20240213,000000,26.26,26.26,25.8686,25.9698,8997,0
VWI.US,D,20240214,000000,26.0998,26.0998,26.04,26.0752,2541,0
VWI.US,D,20240215,000000,26.2,26.29,26.2,26.2725,4159,0
VWI.US,D,20240216,000000,26.35,26.36,26.2827,26.2827,4494,0
VWI.US,D,20240220,000000,26.67,26.67,26.2374,26.2452,9807,0
VWI.US,D,20240221,000000,26.2,26.2392,26.19,26.2392,5578,0
VWI.US,D,20240222,000000,26.32,26.36,26.2987,26.36,1373,0
VWI.US,D,20240223,000000,26.4699,26.4699,26.39,26.4103,310,0
VWI.US,D,20240226,000000,26.2459,26.2459,26.2459,26.2459,80,0
VWI.US,D,20240227,000000,26.235,26.34,26.235,26.3205,2753,0
VWI.US,D,20240228,000000,26.28,26.28,26.2302,26.2589,4526,0
VWI.US,D,20240229,000000,26.36,26.36,26.3311,26.3311,113,0
VWI.US,D,20240301,000000,26.38,26.38,26.3711,26.3711,210,0
VWI.US,D,20240304,000000,26.35,26.38,26.3228,26.3228,792,0
VWI.US,D,20240305,000000,26.3487,26.4099,26.309,26.309,213,0
VWI.US,D,20240306,000000,26.5003,26.5027,26.5003,26.5027,243,0
VWI.US,D,20240307,000000,26.34,26.54,26.34,26.54,604,0
VWI.US,D,20240308,000000,26.6298,26.64,26.6107,26.6107,3133,0
VWI.US,D,20240311,000000,26.67,26.7171,26.67,26.7171,217,0
VWI.US,D,20240312,000000,26.7882,26.7882,26.7882,26.7882,21,0
VWI.US,D,20240313,000000,26.89,26.89,26.8109,26.8109,1420,0
VWI.US,D,20240314,000000,26.6,26.66,26.6,26.6266,1638,0
VWI.US,D,20240315,000000,26.6601,26.6704,26.6601,26.6704,111,0
VWI.US,D,20240318,000000,26.64,26.6793,26.64,26.6793,1075,0
VWI.US,D,20240319,000000,26.7384,26.7384,26.7384,26.7384,2,0
VWI.US,D,20240320,000000,26.77,26.8765,26.7699,26.8765,555,0
VWI.US,D,20240321,000000,26.95,26.985,26.95,26.985,443,0
VWI.US,D,20240322,000000,26.96,26.96,26.8391,26.8391,430,0
VWI.US,D,20240325,000000,26.9058,26.93,26.8589,26.8589,648,0
VWI.US,D,20240326,000000,26.6023,26.6023,26.6023,26.6023,100,0
VWI.US,D,20240327,000000,26.73,26.8606,26.73,26.8606,8365,0
