<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VXX.US,D,20180118,000000,438.4,438.4,436.16,436.16,325.25,0
VXX.US,D,20180119,000000,432.8,437.92,429.12,430.4,550,0
VXX.US,D,20180122,000000,424.48,424.48,424.48,424.48,12.5,0
VXX.US,D,20180123,000000,427.2,431.2,427.2,431.2,150,0
VXX.US,D,20180124,000000,446.32,446.32,442.56,442.56,106.25,0
VXX.US,D,20180129,000000,467.2,473.28,467.2,473.28,90.25,0
VXX.US,D,20180130,000000,492.64,508.96,487.84,488.8,3958,0
VXX.US,D,20180131,000000,479.36,490.88,479.36,490.4,575,0
VXX.US,D,20180201,000000,482.4,482.4,462.72,465.72,672.5,0
VXX.US,D,20180202,000000,480.64,532.8,480.48,525.6,1824,0
VXX.US,D,20180205,000000,543.04,709.92,522.08,701.76,3223,0
VXX.US,D,20180206,000000,736,929.6,689.84,689.84,773,0
VXX.US,D,20180207,000000,699.84,721.44,670.72,712.64,1736.75,0
VXX.US,D,20180208,000000,726.88,882.88,725.76,882.88,6250.5,0
VXX.US,D,20180209,000000,795.52,902.4,784,804.48,2572.75,0
VXX.US,D,20180212,000000,772.48,801.28,768,776.8,911.75,0
VXX.US,D,20180213,000000,780.96,784.96,761.6,767.52,2286.5,0
VXX.US,D,20180214,000000,757.12,757.28,677.12,679.68,5579.5,0
VXX.US,D,20180215,000000,656.48,685.44,654.16,664,846.75,0
VXX.US,D,20180216,000000,675.2,683.84,648.96,673.92,1162.75,0
VXX.US,D,20180220,000000,691.2,714.88,686.24,701.44,2719.75,0
VXX.US,D,20180221,000000,694.56,712.64,657.28,712,8905.25,0
VXX.US,D,20180222,000000,691.84,712.16,684.8,702.72,3481.75,0
VXX.US,D,20180223,000000,680.32,685.76,647.52,647.84,3476.5,0
VXX.US,D,20180226,000000,629.12,632.16,619.2,628.48,256.25,0
VXX.US,D,20180227,000000,626.72,681.92,626.72,678.56,4343.25,0
VXX.US,D,20180228,000000,661.12,709.28,659.2,706.56,4520.5,0
VXX.US,D,20180301,000000,701.12,789.12,701.12,755.2,2835.25,0
VXX.US,D,20180302,000000,794.88,808.32,721.92,721.92,3491.25,0
VXX.US,D,20180305,000000,735.52,735.52,688.64,695.36,2196.5,0
VXX.US,D,20180306,000000,689.92,720.16,689.92,699.04,1314.5,0
VXX.US,D,20180307,000000,712,712,688.48,688.64,202.75,0
VXX.US,D,20180308,000000,681.28,681.6,681.28,681.44,3489.75,0
VXX.US,D,20180309,000000,645.12,645.12,612,612,922.5,0
VXX.US,D,20180312,000000,622.72,640,622.72,636.16,119.5,0
VXX.US,D,20180313,000000,641.28,651.36,641.28,651.36,100.5,0
VXX.US,D,20180314,000000,647.84,671.52,647.84,665.6,1498,0
VXX.US,D,20180315,000000,644.16,651.04,644.16,647.04,48.75,0
VXX.US,D,20180316,000000,628.8,628.8,628.8,628.8,61.5,0
VXX.US,D,20180319,000000,645.12,722.88,645.12,693.92,1088.75,0
VXX.US,D,20180320,000000,689.28,689.28,680.64,680.64,118.25,0
