<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WEBS.US,D,20191108,000000,253.018,253.718,250.229,250.229,2992.8509669872,0
WEBS.US,D,20191111,000000,252.358,252.358,252.358,252.358,5.0014220705,0
WEBS.US,D,20191112,000000,251.498,251.498,251.498,251.498,5.0014220705,0
WEBS.US,D,20191113,000000,252.218,254.068,252.218,254.068,416.1183162656,0
WEBS.US,D,20191114,000000,255.307,255.407,254.308,254.308,243.0691126263,0
WEBS.US,D,20191115,000000,249.129,249.129,246.13,246.13,643.1828782663,0
WEBS.US,D,20191118,000000,247.73,248.629,241.951,243.641,50.014220705,0
WEBS.US,D,20191119,000000,241.851,241.851,238.162,239.802,120.034129692,0
WEBS.US,D,20191120,000000,241.991,242.201,241.991,242.201,100.02844141,0
WEBS.US,D,20191121,000000,243.161,243.161,243.161,243.161,5.0014220705,0
WEBS.US,D,20191122,000000,240.462,240.462,240.462,240.462,5.0014220705,0
WEBS.US,D,20191125,000000,230.374,230.374,230.374,230.374,25.0071103525,0
WEBS.US,D,20191126,000000,227.675,227.675,227.675,227.675,4.0011376564,0
WEBS.US,D,20191127,000000,226.386,226.386,226.386,226.386,1.0002844141,0
WEBS.US,D,20191129,000000,227.865,227.865,227.865,227.865,4.0011376564,0
WEBS.US,D,20191202,000000,239.832,239.832,239.832,239.832,0,0
WEBS.US,D,20191203,000000,261.796,261.796,240.931,240.931,599.1703640459,0
WEBS.US,D,20191204,000000,241.231,241.961,241.231,241.961,13.0036973833,0
WEBS.US,D,20191205,000000,244.41,244.75,244.051,244.41,138.0392491458,0
WEBS.US,D,20191206,000000,239.952,240.652,239.852,240.332,30.008532423,0
WEBS.US,D,20191209,000000,242.081,242.081,242.081,242.081,35.0099544935,0
WEBS.US,D,20191210,000000,246.29,246.29,246.29,246.29,35.0099544935,0
WEBS.US,D,20191211,000000,254.318,254.318,244.39,244.39,114.0324232074,0
WEBS.US,D,20191212,000000,239.462,240.562,239.462,240.072,31.0088168371,0
WEBS.US,D,20191213,000000,238.052,238.872,237.852,238.872,20.005688282,0
WEBS.US,D,20191216,000000,226.736,226.736,226.736,226.736,35.0099544935,0
WEBS.US,D,20191217,000000,229.355,229.775,229.355,229.775,10.002844141,0
WEBS.US,D,20191218,000000,226.276,227.685,223.796,227.685,1223.3478384443,0
WEBS.US,D,20191219,000000,224.896,224.896,221.307,221.307,90.025597269,0
WEBS.US,D,20191220,000000,219.248,219.248,219.248,219.248,35.0099544935,0
WEBS.US,D,20191223,000000,220.417,220.417,220.417,220.417,35.0099544935,0
WEBS.US,D,20191224,000000,219.708,221.067,219.708,221.067,52.0147895332,0
WEBS.US,D,20191226,000000,216.169,216.169,213.819,214.719,2051.5833333191,0
WEBS.US,D,20191227,000000,216.548,216.548,216.548,216.548,35.0099544935,0
WEBS.US,D,20191230,000000,223.137,223.786,223.137,223.786,43.0122298063,0
WEBS.US,D,20191231,000000,221.507,222.607,220.507,220.507,70.019908987,0
WEBS.US,D,20200102,000000,214.589,214.589,210.14,210.14,40.011376564,0
WEBS.US,D,20200103,000000,215.029,215.029,215.029,215.029,4.0011376564,0
WEBS.US,D,20200106,000000,229.695,229.695,205.991,205.991,108.0307167228,0
WEBS.US,D,20200107,000000,208.221,208.221,204.732,205.312,39.0110921499,0
WEBS.US,D,20200108,000000,197.284,199.903,196.894,199.903,50.014220705,0
WEBS.US,D,20200109,000000,194.895,194.895,194.755,194.755,10.002844141,0
WEBS.US,D,20200110,000000,193.845,197.854,193.445,197.544,50.014220705,0
WEBS.US,D,20200113,000000,193.765,193.765,190.266,190.266,56.0159271896,0
WEBS.US,D,20200114,000000,190.446,191.026,190.046,191.026,32.0091012512,0
WEBS.US,D,20200115,000000,189.066,189.066,189.066,189.066,35.0099544935,0
WEBS.US,D,20200116,000000,183.758,183.808,183.258,183.258,1281.3643344621,0
WEBS.US,D,20200117,000000,182.358,182.358,181.208,181.208,569.1618316229,0
