<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WKLY.US,D,20210512,000000,51.6719,51.6719,48.461,48.5328,16257.783021035,0
WKLY.US,D,20210513,000000,48.6927,49.2799,48.6927,49.2499,11950.276550845,0
WKLY.US,D,20210514,000000,49.6085,49.8172,49.5985,49.7583,14066.982426713,0
WKLY.US,D,20210517,000000,49.6983,49.8082,49.6045,49.7783,12063.421188486,0
WKLY.US,D,20210518,000000,49.958,49.958,49.6005,49.6005,9575.2404403625,0
WKLY.US,D,20210519,000000,49.1002,49.2699,48.8335,49.2699,6314.0715483558,0
WKLY.US,D,20210520,000000,49.3898,49.6685,49.3109,49.6185,4186.3515927173,0
WKLY.US,D,20210521,000000,49.8282,49.8942,49.7383,49.7953,6967.9073747238,0
WKLY.US,D,20210524,000000,50.0479,50.0479,49.955,49.988,4590.8687042834,0
WKLY.US,D,20210525,000000,50.1269,50.1269,49.7243,49.7243,6055.7413137418,0
WKLY.US,D,20210526,000000,49.8182,49.8182,49.6385,49.7243,3056.9077762655,0
WKLY.US,D,20210527,000000,49.948,49.948,49.8282,49.938,8614.0116604035,0
WKLY.US,D,20210528,000000,50.0969,50.0969,49.968,49.998,5061.4702944717,0
WKLY.US,D,20210601,000000,50.3456,50.3656,49.997,50.008,13028.655088361,0
WKLY.US,D,20210602,000000,50.1857,50.2187,50.1279,50.2187,3172.0549738647,0
WKLY.US,D,20210603,000000,50.028,50.2057,50.028,50.1717,6294.0459487732,0
WKLY.US,D,20210604,000000,50.4254,50.4814,50.3556,50.4814,2512.211467622,0
WKLY.US,D,20210607,000000,50.6153,50.6153,50.4154,50.4344,5763.3675598376,0
WKLY.US,D,20210608,000000,50.4754,50.4754,50.1957,50.2756,4691.9979821749,0
WKLY.US,D,20210609,000000,50.3256,50.3256,50.1369,50.1449,6908.8318559554,0
WKLY.US,D,20210610,000000,50.3056,50.3056,50.2257,50.2257,3144.0191344493,0
WKLY.US,D,20210611,000000,50.3356,50.3356,50.0669,50.1807,6213.9435504434,0
WKLY.US,D,20210614,000000,50.2457,50.2457,49.8882,50.028,6952.8881750369,0
WKLY.US,D,20210615,000000,50.1757,50.1757,50.001,50.0559,2988.820737685,0
WKLY.US,D,20210616,000000,50.1169,50.1169,49.7083,49.8033,3432.387768437,0
WKLY.US,D,20210617,000000,49.7283,49.7283,49.0892,49.2939,6387.1649868318,0
WKLY.US,D,20210618,000000,48.6328,48.6328,48.2931,48.2931,6556.3813033038,0
WKLY.US,D,20210621,000000,48.473,48.8954,48.473,48.8954,4039.1634357861,0
WKLY.US,D,20210622,000000,48.7905,48.9444,48.7406,48.9444,2046.6162773294,0
WKLY.US,D,20210623,000000,48.9204,48.9204,48.7017,48.7805,2987.819457706,0
WKLY.US,D,20210624,000000,48.9803,49.1091,48.8715,49.0492,5388.8888476452,0
WKLY.US,D,20210625,000000,49.1801,49.3219,49.1801,49.3219,2793.5711417558,0
WKLY.US,D,20210628,000000,49.3399,49.3399,49.1101,49.1991,2937.7554587498,0
WKLY.US,D,20210629,000000,49.2899,49.2899,48.9404,49.0282,5348.8376484803,0
WKLY.US,D,20210630,000000,49.8382,49.8382,48.6427,48.8005,6550.373623429,0
WKLY.US,D,20210701,000000,49.0502,49.0952,48.9903,49.0952,2119.7097158054,0
WKLY.US,D,20210702,000000,49.1801,49.3149,49.0702,49.2989,2986.8181777268,0
WKLY.US,D,20210706,000000,49.2999,49.2999,48.8405,48.9184,5859.4904378335,0
WKLY.US,D,20210707,000000,48.9504,49.21,48.9504,49.21,2350.004111004,0
