<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUG.US,D,20230822,000000,29.809,29.81,29.7461,29.78,425915,0
XAUG.US,D,20230823,000000,29.82,29.939,29.82,29.9095,68353,0
XAUG.US,D,20230824,000000,29.99,29.99,29.75,29.77,47203,0
XAUG.US,D,20230825,000000,29.83,29.88,29.733,29.8476,26255,0
XAUG.US,D,20230828,000000,29.9,29.92,29.88,29.89,21110,0
XAUG.US,D,20230829,000000,29.96,30.12,29.96,30.0861,47782,0
XAUG.US,D,20230830,000000,30.16,30.18,30.13,30.1454,39658,0
XAUG.US,D,20230831,000000,30.19,30.22,30.1299,30.1438,477686,0
XAUG.US,D,20230901,000000,30.215,30.24,30.1101,30.21,19181,0
XAUG.US,D,20230905,000000,30.17,30.2,30.12,30.1585,20126,0
XAUG.US,D,20230906,000000,30.09,30.09,30.0061,30.0605,14828,0
XAUG.US,D,20230907,000000,29.985,30.05,29.97,30.0301,54866,0
XAUG.US,D,20230908,000000,30.0901,30.1365,30.0705,30.0705,3917,0
XAUG.US,D,20230911,000000,30.149,30.1899,30.06,30.146,6446,0
XAUG.US,D,20230912,000000,30.15,30.18,30.1202,30.1202,7799,0
XAUG.US,D,20230913,000000,30.16,30.16,30.1328,30.1328,177,0
XAUG.US,D,20230914,000000,30.21,30.26,30.155,30.213,16912,0
XAUG.US,D,20230915,000000,30.1521,30.16,30.11,30.1178,2847,0
XAUG.US,D,20230918,000000,30.1,30.15,30.0614,30.11,13791,0
XAUG.US,D,20230919,000000,30.05,30.0993,30,30.0659,26066,0
XAUG.US,D,20230920,000000,30.12,30.14,29.95,29.9778,9972,0
XAUG.US,D,20230921,000000,29.82,29.85,29.752,29.752,4489,0
XAUG.US,D,20230922,000000,29.835,29.835,29.7388,29.7388,5813,0
XAUG.US,D,20230925,000000,29.75,29.78,29.75,29.7604,861,0
XAUG.US,D,20230926,000000,29.6909,29.6909,29.51,29.5799,15640,0
XAUG.US,D,20230927,000000,29.55,29.55,29.46,29.5,6834,0
XAUG.US,D,20230928,000000,29.55,29.72,29.55,29.6331,7108,0
XAUG.US,D,20230929,000000,29.81,29.81,29.5401,29.64,4539,0
XAUG.US,D,20231002,000000,29.605,29.66,29.545,29.66,995,0
XAUG.US,D,20231003,000000,29.45,29.45,29.3952,29.3962,2570,0
XAUG.US,D,20231004,000000,29.41,29.55,29.4,29.5425,5448,0
XAUG.US,D,20231005,000000,29.4984,29.58,29.49,29.5552,4887,0
XAUG.US,D,20231006,000000,29.4,29.78,29.4,29.7179,3077,0
XAUG.US,D,20231009,000000,29.7,29.7725,29.64,29.7725,2137,0
XAUG.US,D,20231010,000000,29.97,29.97,29.895,29.9,6369,0
XAUG.US,D,20231011,000000,29.88,29.9197,29.88,29.9197,543,0
XAUG.US,D,20231012,000000,29.94,29.98,29.7601,29.8483,10807,0
XAUG.US,D,20231013,000000,29.9499,29.9499,29.72,29.82,28890,0
XAUG.US,D,20231016,000000,29.8899,30.02,29.8899,29.9757,6045,0
XAUG.US,D,20231017,000000,29.97,29.99,29.9134,29.9134,1451,0
XAUG.US,D,20231018,000000,29.8454,29.8454,29.7633,29.7641,4756,0
XAUG.US,D,20231019,000000,29.75,29.78,29.6256,29.6256,12959,0
XAUG.US,D,20231020,000000,29.64,29.64,29.4513,29.4513,2925,0
XAUG.US,D,20231023,000000,29.41,29.58,29.41,29.4331,13758,0
XAUG.US,D,20231024,000000,29.59,29.59,29.4507,29.568,2073,0
XAUG.US,D,20231025,000000,29.4419,29.4962,29.325,29.335,5183,0
XAUG.US,D,20231026,000000,29.27,29.335,29.16,29.16,19996,0
XAUG.US,D,20231027,000000,29.1399,29.14,29.05,29.0737,2015,0
XAUG.US,D,20231030,000000,29.2425,29.3134,29.1515,29.2963,1966,0
XAUG.US,D,20231031,000000,29.3,29.46,29.3,29.46,9500,0
XAUG.US,D,20231101,000000,29.4614,29.67,29.4614,29.6198,8109,0
XAUG.US,D,20231102,000000,29.85,29.91,29.8,29.8727,7168,0
XAUG.US,D,20231103,000000,29.99,30.11,29.99,30.0847,10386,0
XAUG.US,D,20231106,000000,30.14,30.14,30.065,30.14,9176,0
XAUG.US,D,20231107,000000,30.11,30.18,30.1001,30.18,6419,0
XAUG.US,D,20231108,000000,30.135,30.1917,30.1,30.1616,8365,0
XAUG.US,D,20231109,000000,30.138,30.14,30.01,30.01,3056,0
XAUG.US,D,20231110,000000,30.0957,30.245,30.0957,30.24,1619,0
XAUG.US,D,20231113,000000,30.245,30.3099,30.23,30.2795,4074,0
XAUG.US,D,20231114,000000,30.5415,30.57,30.5127,30.5127,1597,0
XAUG.US,D,20231115,000000,30.565,30.6,30.49,30.5332,9614,0
XAUG.US,D,20231116,000000,30.49,30.585,30.49,30.5535,474058,0
XAUG.US,D,20231117,000000,30.5209,30.59,30.52,30.5728,10914,0
XAUG.US,D,20231120,000000,30.53,30.6558,30.53,30.6558,1263,0
XAUG.US,D,20231121,000000,30.62,30.64,30.611,30.64,1062,0
XAUG.US,D,20231122,000000,30.69,30.6966,30.67,30.6966,5556,0
XAUG.US,D,20231124,000000,30.68,30.707,30.68,30.707,666,0
XAUG.US,D,20231127,000000,30.7344,30.7344,30.7,30.7,2028,0
XAUG.US,D,20231128,000000,30.73,30.76,30.704,30.7348,13251,0
