<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XFEB.US,D,20240221,000000,29.91,29.96,29.8438,29.96,366656,0
XFEB.US,D,20240222,000000,30.06,30.19,30.06,30.17,132719,0
XFEB.US,D,20240223,000000,30.22,30.23,30.12,30.2,29440,0
XFEB.US,D,20240226,000000,30.2,30.2099,30.09,30.1325,65304,0
XFEB.US,D,20240227,000000,30.16,30.21,30.08,30.14,54036,0
XFEB.US,D,20240228,000000,30.15,30.1799,30.1185,30.1319,21760,0
XFEB.US,D,20240229,000000,30.2,30.23,30.13,30.23,58411,0
XFEB.US,D,20240301,000000,30.23,30.3192,30.21,30.2876,42802,0
XFEB.US,D,20240304,000000,30.27,30.3491,30.2301,30.275,35545,0
XFEB.US,D,20240305,000000,30.17,30.2,30.1013,30.18,32534,0
XFEB.US,D,20240306,000000,30.2,30.26,30.16,30.1801,19674,0
XFEB.US,D,20240307,000000,30.26,30.36,30.26,30.34,45817,0
XFEB.US,D,20240308,000000,30.3601,30.3601,30.2109,30.2551,10136,0
XFEB.US,D,20240311,000000,30.24,30.27,30.185,30.19,37832,0
XFEB.US,D,20240312,000000,30.27,30.33,30.22,30.315,15417,0
XFEB.US,D,20240313,000000,30.3,30.3899,30.3,30.3279,15592,0
XFEB.US,D,20240314,000000,30.38,30.38,30.2518,30.28,30262,0
XFEB.US,D,20240315,000000,30.245,30.27,30.19,30.2311,13722,0
XFEB.US,D,20240318,000000,30.3603,30.3603,30.295,30.295,7414,0
XFEB.US,D,20240319,000000,30.28,30.38,30.28,30.3737,4705,0
XFEB.US,D,20240320,000000,30.375,30.46,30.375,30.4579,9132,0
XFEB.US,D,20240321,000000,30.535,30.5691,30.4703,30.5097,10447,0
XFEB.US,D,20240322,000000,30.5,30.5,30.495,30.4957,847,0
XFEB.US,D,20240325,000000,30.51,30.5298,30.4627,30.4722,47107,0
XFEB.US,D,20240326,000000,30.5,30.53,30.4581,30.4581,7198,0
XFEB.US,D,20240327,000000,30.4519,30.5261,30.4519,30.5261,5725,0
XFEB.US,D,20240328,000000,30.58,30.58,30.53,30.5639,65600,0
XFEB.US,D,20240401,000000,30.48,30.53,30.47,30.5151,1345,0
XFEB.US,D,20240402,000000,30.44,30.46,30.4,30.4464,10806,0
XFEB.US,D,20240403,000000,30.47,30.47,30.43,30.43,1188,0
XFEB.US,D,20240404,000000,30.57,30.5773,30.31,30.31,38122,0
XFEB.US,D,20240405,000000,30.406,30.46,30.406,30.4389,4847,0
XFEB.US,D,20240408,000000,30.49,30.49,30.4418,30.4628,1920,0
XFEB.US,D,20240409,000000,30.5,30.5,30.43,30.43,738,0
XFEB.US,D,20240410,000000,30.3402,30.3652,30.33,30.3652,1447,0
XFEB.US,D,20240411,000000,30.37,30.509,30.3301,30.48,8070,0
XFEB.US,D,20240412,000000,30.41,30.41,30.265,30.2687,2900,0
XFEB.US,D,20240415,000000,30.4,30.4,30.111,30.1451,7605,0
XFEB.US,D,20240416,000000,30.18,30.18,30.11,30.1387,4712,0
XFEB.US,D,20240417,000000,30.15,30.17,30.05,30.0839,11738,0
XFEB.US,D,20240418,000000,30.088,30.17,30.0547,30.0547,2461,0
XFEB.US,D,20240419,000000,30,30,29.92,29.9525,9749,0
XFEB.US,D,20240422,000000,30.075,30.17,30.075,30.1068,1155,0
XFEB.US,D,20240423,000000,30.22,30.27,30.212,30.2694,6691,0
XFEB.US,D,20240424,000000,30.26,30.2982,30.255,30.2982,978,0
XFEB.US,D,20240425,000000,30.09,30.24,30.09,30.24,5205,0
XFEB.US,D,20240426,000000,30.36,30.4,30.31,30.3731,4638,0
XFEB.US,D,20240429,000000,30.4063,30.42,30.38,30.42,1336,0
XFEB.US,D,20240430,000000,30.3209,30.36,30.2402,30.2402,1982,0
XFEB.US,D,20240501,000000,30.2,30.36,30.1939,30.1939,8269,0
XFEB.US,D,20240502,000000,30.2399,30.3,30.1906,30.2889,1832,0
XFEB.US,D,20240503,000000,30.5299,30.5299,30.4748,30.4748,1362,0
