<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XIDE.US,D,20231219,000000,30.13,30.13,30.0961,30.0961,4029,0
XIDE.US,D,20231220,000000,30.102,30.14,29.9994,30.0432,17070,0
XIDE.US,D,20231221,000000,30.065,30.16,30.02,30.0809,69123,0
XIDE.US,D,20231222,000000,30.15,30.2285,30.08,30.08,15726,0
XIDE.US,D,20231226,000000,30.07,30.16,30.07,30.15,10165,0
XIDE.US,D,20231227,000000,30.15,30.6601,30.14,30.19,43210,0
XIDE.US,D,20231228,000000,30.21,30.22,30.1528,30.1837,13197,0
XIDE.US,D,20231229,000000,30.18,30.18,30.12,30.18,5434,0
XIDE.US,D,20240102,000000,30.19,30.19,30.07,30.1201,72551,0
XIDE.US,D,20240103,000000,30.093,30.13,30.04,30.09,33879,0
XIDE.US,D,20240104,000000,30.1,30.1387,30.05,30.0703,15044,0
XIDE.US,D,20240105,000000,30.15,30.1887,30.06,30.1199,17161,0
XIDE.US,D,20240108,000000,30.17,30.22,30.1585,30.22,11110,0
XIDE.US,D,20240109,000000,30.2,30.24,30.17,30.2157,4244,0
XIDE.US,D,20240110,000000,30.27,30.29,30.2374,30.2505,6309,0
XIDE.US,D,20240111,000000,30.31,30.33,30.222,30.3,5672,0
XIDE.US,D,20240112,000000,30.38,30.38,30.3163,30.3299,6755,0
XIDE.US,D,20240116,000000,30.26,30.3384,30.24,30.2702,14328,0
XIDE.US,D,20240117,000000,30.24,30.25,30.21,30.25,9815,0
XIDE.US,D,20240118,000000,30.29,30.32,30.22,30.2932,12699,0
XIDE.US,D,20240119,000000,30.3082,30.3891,30.3082,30.3595,8162,0
XIDE.US,D,20240122,000000,30.38,30.4,30.3655,30.38,94331,0
XIDE.US,D,20240123,000000,30.41,30.46,30.385,30.4025,7985,0
XIDE.US,D,20240124,000000,30.47,30.47,30.4108,30.4108,1201,0
XIDE.US,D,20240125,000000,30.4087,30.4699,30.3812,30.45,81749,0
XIDE.US,D,20240126,000000,30.445,30.46,30.4352,30.4352,4280,0
XIDE.US,D,20240129,000000,30.4286,30.48,30.4,30.48,4338,0
XIDE.US,D,20240130,000000,30.48,30.49,30.45,30.48,11594,0
XIDE.US,D,20240131,000000,30.47,30.47,30.3972,30.406,13320,0
XIDE.US,D,20240201,000000,30.9,30.9,30.277,30.2902,14223,0
XIDE.US,D,20240202,000000,30.31,30.3481,30.26,30.33,13934,0
XIDE.US,D,20240205,000000,30.3528,30.3528,30.28,30.3061,14702,0
XIDE.US,D,20240206,000000,30.37,30.38,30.3014,30.35,74234,0
XIDE.US,D,20240207,000000,30.38,30.4,30.32,30.3611,16492,0
XIDE.US,D,20240208,000000,30.39,30.3983,30.32,30.3602,88942,0
XIDE.US,D,20240209,000000,30.43,30.43,30.33,30.39,15939,0
XIDE.US,D,20240212,000000,30.42,30.42,30.3711,30.3711,15313,0
XIDE.US,D,20240213,000000,30.295,30.33,30.2388,30.268,8981,0
XIDE.US,D,20240214,000000,30.35,30.36,30.29,30.3413,4030,0
XIDE.US,D,20240215,000000,30.37,30.38,30.35,30.3699,2666,0
XIDE.US,D,20240216,000000,30.3213,30.4,30.3213,30.3601,1774,0
XIDE.US,D,20240220,000000,30.345,30.37,30.3331,30.37,30700,0
XIDE.US,D,20240221,000000,30.41,30.41,30.33,30.36,17950,0
XIDE.US,D,20240222,000000,30.44,30.44,30.4137,30.4248,1448,0
XIDE.US,D,20240223,000000,30.4319,30.44,30.4319,30.4394,591,0
XIDE.US,D,20240226,000000,30.46,30.4799,30.4398,30.4398,3950,0
XIDE.US,D,20240227,000000,30.4844,30.4844,30.4107,30.46,940,0
XIDE.US,D,20240228,000000,30.445,30.4799,30.442,30.45,3069,0
XIDE.US,D,20240229,000000,30.49,30.5,30.43,30.4798,7267,0
XIDE.US,D,20240301,000000,30.35,30.35,30.3,30.3408,5641,0
XIDE.US,D,20240304,000000,30.3351,30.3799,30.29,30.339,9669,0
XIDE.US,D,20240305,000000,30.33,30.3494,30.2701,30.3006,4443,0
XIDE.US,D,20240306,000000,30.3721,30.3721,30.315,30.3208,2884,0
XIDE.US,D,20240307,000000,30.33,30.3516,30.33,30.3516,2128,0
XIDE.US,D,20240308,000000,30.38,30.38,30.3247,30.34,4107,0
XIDE.US,D,20240311,000000,30.333,30.3351,30.333,30.3351,4397,0
XIDE.US,D,20240312,000000,30.32,30.38,30.32,30.3753,3684,0
XIDE.US,D,20240313,000000,30.37,30.4099,30.36,30.36,473,0
XIDE.US,D,20240314,000000,30.32,30.3502,30.32,30.3502,440,0
XIDE.US,D,20240315,000000,30.3265,30.3402,30.3265,30.3402,206,0
XIDE.US,D,20240318,000000,30.3726,30.39,30.3401,30.3602,2391,0
XIDE.US,D,20240319,000000,30.39,30.4,30.3383,30.3902,4474,0
XIDE.US,D,20240320,000000,30.44,30.45,30.42,30.45,1452,0
XIDE.US,D,20240321,000000,30.4624,30.4624,30.4117,30.4402,1410,0
XIDE.US,D,20240322,000000,30.45,30.49,30.41,30.4503,5496,0
XIDE.US,D,20240325,000000,30.4212,30.47,30.41,30.45,1899,0
XIDE.US,D,20240326,000000,30.4546,30.48,30.4501,30.4501,626,0
XIDE.US,D,20240327,000000,30.42,30.4703,30.42,30.4703,3656,0
XIDE.US,D,20240328,000000,30.4751,30.4751,30.4751,30.4751,19,0
XIDE.US,D,20240401,000000,30.315,30.41,30.26,30.3002,6666,0
XIDE.US,D,20240402,000000,30.29,30.29,30.2214,30.28,5015,0
XIDE.US,D,20240403,000000,30.25,30.31,30.24,30.2804,25545,0
XIDE.US,D,20240404,000000,30.2976,30.3,30.21,30.2502,17589,0
XIDE.US,D,20240405,000000,30.28,30.28,30.23,30.2705,17474,0
XIDE.US,D,20240408,000000,30.2605,30.2895,30.24,30.2895,11081,0
XIDE.US,D,20240409,000000,30.28,30.2822,30.25,30.2822,13595,0
XIDE.US,D,20240410,000000,30.2,30.2355,30.18,30.2355,28259,0
XIDE.US,D,20240411,000000,30.25,30.2781,30.24,30.2655,25614,0
XIDE.US,D,20240412,000000,30.2345,30.26,30.17,30.2154,16353,0
XIDE.US,D,20240415,000000,30.2,30.21,30.1511,30.1753,22652,0
XIDE.US,D,20240416,000000,30.17,30.1944,30.155,30.1944,29136,0
XIDE.US,D,20240417,000000,30.17,30.2324,30.1414,30.1901,11331,0
XIDE.US,D,20240418,000000,30.18,30.22,30.16,30.1855,3358,0
XIDE.US,D,20240419,000000,30.161,30.1943,30.13,30.13,22228,0
XIDE.US,D,20240422,000000,30.27,30.27,30.22,30.2553,26584,0
XIDE.US,D,20240423,000000,30.3137,30.3154,30.2601,30.3154,6717,0
XIDE.US,D,20240424,000000,30.32,30.32,30.27,30.3148,3102,0
XIDE.US,D,20240425,000000,30.24,30.31,30.23,30.3049,16127,0
XIDE.US,D,20240426,000000,30.357,30.37,30.3101,30.3501,12810,0
XIDE.US,D,20240429,000000,30.32,30.4,30.32,30.3705,2095,0
XIDE.US,D,20240430,000000,30.39,30.39,30.33,30.3352,2232,0
XIDE.US,D,20240501,000000,30.16,30.18,30.13,30.1701,2774,0
XIDE.US,D,20240502,000000,30.13,30.23,30.13,30.2001,11132,0
XIDE.US,D,20240503,000000,30.3025,30.3025,30.22,30.2602,2539,0
XIDE.US,D,20240506,000000,30.2909,30.31,30.2901,30.2901,1529,0
XIDE.US,D,20240507,000000,30.26,30.2951,30.26,30.2951,4853,0
XIDE.US,D,20240508,000000,30.2602,30.3002,30.2602,30.3002,804,0
XIDE.US,D,20240509,000000,30.32,30.33,30.2714,30.3246,1506,0
XIDE.US,D,20240510,000000,30.36,30.36,30.3084,30.3352,4520,0
XIDE.US,D,20240513,000000,30.3459,30.3459,30.3459,30.3459,1,0
XIDE.US,D,20240514,000000,30.37,30.37,30.3,30.3553,5193,0
XIDE.US,D,20240515,000000,30.39,30.3903,30.3854,30.3854,1505,0
XIDE.US,D,20240516,000000,30.38,30.39,30.38,30.3804,525,0
XIDE.US,D,20240517,000000,30.45,30.45,30.36,30.401,4806,0
XIDE.US,D,20240520,000000,30.4252,30.43,30.38,30.4105,2655,0
XIDE.US,D,20240521,000000,30.42,30.43,30.4104,30.4104,292,0
XIDE.US,D,20240522,000000,30.4055,30.4055,30.4055,30.4055,124,0
XIDE.US,D,20240523,000000,30.41,30.41,30.39,30.3955,10348,0
XIDE.US,D,20240524,000000,30.38,30.4599,30.38,30.4149,4073,0
XIDE.US,D,20240528,000000,30.39,30.4099,30.361,30.4099,4188,0
XIDE.US,D,20240529,000000,30.38,30.44,30.37,30.3999,10093,0
XIDE.US,D,20240530,000000,30.4001,30.4001,30.4001,30.4001,147,0
XIDE.US,D,20240531,000000,30.45,30.45,30.436,30.436,2261,0
XIDE.US,D,20240603,000000,30.28,30.3,30.2676,30.2752,2305,0
XIDE.US,D,20240604,000000,30.2994,30.32,30.2848,30.2848,994,0
XIDE.US,D,20240605,000000,30.3,30.3052,30.26,30.3052,2786,0
XIDE.US,D,20240606,000000,30.315,30.315,30.3143,30.3143,313,0
XIDE.US,D,20240607,000000,30.315,30.36,30.28,30.3201,2677,0
XIDE.US,D,20240610,000000,30.34,30.34,30.3151,30.3151,645,0
XIDE.US,D,20240611,000000,30.335,30.335,30.32,30.3267,856,0
XIDE.US,D,20240612,000000,30.36,30.4088,30.3497,30.3497,7714,0
XIDE.US,D,20240613,000000,30.39,30.39,30.35,30.3606,4591,0
XIDE.US,D,20240614,000000,30.43,30.43,30.32,30.3554,14218,0
XIDE.US,D,20240617,000000,30.382,30.3995,30.36,30.3602,4398,0
XIDE.US,D,20240618,000000,30.41,30.42,30.37,30.42,5021,0
XIDE.US,D,20240620,000000,30.34,30.411,30.33,30.3648,11518,0
XIDE.US,D,20240621,000000,30.365,30.4193,30.365,30.38,4084,0
