<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XIMR.US,D,20240320,000000,30.87,30.8752,30.82,30.8752,9320,0
XIMR.US,D,20240321,000000,30.9245,30.95,30.8925,30.93,8574,0
XIMR.US,D,20240322,000000,30.9099,30.95,30.9099,30.93,6670,0
XIMR.US,D,20240325,000000,30.9074,30.9269,30.9074,30.92,13532,0
XIMR.US,D,20240326,000000,30.905,30.9587,30.8918,30.8918,23737,0
XIMR.US,D,20240327,000000,30.95,30.97,30.896,30.97,15906,0
XIMR.US,D,20240328,000000,30.97,30.99,30.935,30.98,20080,0
XIMR.US,D,20240401,000000,30.9225,30.95,30.905,30.9144,5112,0
XIMR.US,D,20240402,000000,30.89,30.92,30.8621,30.89,14692,0
XIMR.US,D,20240403,000000,30.85,30.94,30.85,30.92,51688,0
XIMR.US,D,20240404,000000,30.97,30.98,30.86,30.86,31674,0
XIMR.US,D,20240405,000000,30.8853,30.92,30.87,30.9,19730,0
XIMR.US,D,20240408,000000,30.8882,30.93,30.86,30.8987,17963,0
XIMR.US,D,20240409,000000,30.95,30.95,30.86,30.9064,23332,0
XIMR.US,D,20240410,000000,30.86,30.87,30.8029,30.87,45078,0
XIMR.US,D,20240411,000000,30.83,30.92,30.83,30.91,35800,0
XIMR.US,D,20240412,000000,30.8818,30.8818,30.772,30.786,21389,0
XIMR.US,D,20240415,000000,30.7826,30.82,30.6998,30.7111,19675,0
XIMR.US,D,20240416,000000,30.72,30.77,30.7198,30.7198,28336,0
XIMR.US,D,20240417,000000,30.72,30.76,30.69,30.712,14423,0
XIMR.US,D,20240418,000000,30.745,30.7691,30.6666,30.6951,3995,0
XIMR.US,D,20240419,000000,30.73,30.73,30.6448,30.71,24073,0
XIMR.US,D,20240422,000000,30.715,30.81,30.6944,30.8,32379,0
XIMR.US,D,20240423,000000,30.87,30.9,30.8425,30.862,16622,0
XIMR.US,D,20240424,000000,30.91,30.9194,30.86,30.8716,10926,0
XIMR.US,D,20240425,000000,30.8,30.89,30.785,30.88,28849,0
XIMR.US,D,20240426,000000,30.949,30.95,30.9381,30.95,10521,0
XIMR.US,D,20240429,000000,30.9799,30.9888,30.925,30.97,9840,0
XIMR.US,D,20240430,000000,30.94,30.9483,30.87,30.87,4820,0
XIMR.US,D,20240501,000000,30.6708,30.83,30.6708,30.7,8750,0
XIMR.US,D,20240502,000000,30.74,30.79,30.74,30.77,12649,0
XIMR.US,D,20240503,000000,30.84,30.88,30.78,30.8456,3973,0
XIMR.US,D,20240506,000000,30.92,30.95,30.84,30.95,3263,0
XIMR.US,D,20240507,000000,30.88,30.9451,30.88,30.93,4680,0
XIMR.US,D,20240508,000000,30.94,30.98,30.89,30.89,6750,0
XIMR.US,D,20240509,000000,30.98,30.98,30.92,30.92,5691,0
XIMR.US,D,20240510,000000,30.98,31.02,30.98,30.9849,2759,0
XIMR.US,D,20240513,000000,30.968,31.02,30.968,30.9815,3355,0
XIMR.US,D,20240514,000000,31.02,31.03,30.99,31.0149,3527,0
XIMR.US,D,20240515,000000,31.0719,31.12,31.0719,31.08,4320,0
XIMR.US,D,20240516,000000,31.083,31.11,31.0749,31.0749,611,0
XIMR.US,D,20240517,000000,31.12,31.13,31.0808,31.085,7369,0
XIMR.US,D,20240520,000000,31.1165,31.14,31.0954,31.0954,2879,0
XIMR.US,D,20240521,000000,31.095,31.15,31.095,31.1052,4216,0
XIMR.US,D,20240522,000000,31.15,31.15,31.03,31.13,7433,0
XIMR.US,D,20240523,000000,31.13,31.13,31.0311,31.0501,10237,0
XIMR.US,D,20240524,000000,31.14,31.14,31.095,31.0951,8355,0
XIMR.US,D,20240528,000000,31.149,31.15,31.095,31.15,7262,0
XIMR.US,D,20240529,000000,31.11,31.12,31.07,31.11,3984,0
XIMR.US,D,20240530,000000,31.11,31.13,31.04,31.11,11923,0
XIMR.US,D,20240531,000000,31.1,31.17,31.065,31.17,6806,0
XIMR.US,D,20240603,000000,30.935,30.99,30.915,30.9453,9016,0
XIMR.US,D,20240604,000000,30.955,31.01,30.95,30.9624,10460,0
XIMR.US,D,20240605,000000,30.985,31.06,30.985,31.0252,9545,0
XIMR.US,D,20240606,000000,31.015,31.07,31.015,31.03,5513,0
XIMR.US,D,20240607,000000,31.13,31.13,31.0198,31.0198,4316,0
XIMR.US,D,20240610,000000,31.06,31.07,31.0599,31.06,5765,0
XIMR.US,D,20240611,000000,31.015,31.08,31.015,31.08,6607,0
XIMR.US,D,20240612,000000,31.14,31.14,31.1299,31.13,6377,0
XIMR.US,D,20240613,000000,31.129,31.13,31.05,31.129,7584,0
XIMR.US,D,20240614,000000,31.0871,31.0871,31.0784,31.0784,231,0
XIMR.US,D,20240617,000000,31.1134,31.1158,31.0905,31.0905,2609,0
XIMR.US,D,20240618,000000,31.14,31.16,31.11,31.15,3022,0
XIMR.US,D,20240620,000000,31.0954,31.14,31.085,31.13,6147,0
XIMR.US,D,20240621,000000,31.06,31.15,31.06,31.06,2111,0
