<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XTEN.US,D,20220919,000000,49.39,49.4692,49.36,49.4692,211,0
XTEN.US,D,20220920,000000,49.1085,49.1085,49.1085,49.1085,1,0
XTEN.US,D,20220921,000000,49.09,49.3963,49.09,49.3963,100,0
XTEN.US,D,20220922,000000,48.64,48.64,48.5954,48.5954,101,0
XTEN.US,D,20220923,000000,48.56,48.6667,48.52,48.6667,201,0
XTEN.US,D,20220926,000000,48.295,48.375,47.85,47.85,4300,0
XTEN.US,D,20220927,000000,47.3359,47.3359,47.3359,47.3359,1,0
XTEN.US,D,20220928,000000,48.01,48.4044,48.01,48.4044,200,0
XTEN.US,D,20220929,000000,48.18,48.2174,48.08,48.2174,1700,0
XTEN.US,D,20220930,000000,47.9298,47.9298,47.9298,47.9298,1,0
XTEN.US,D,20221003,000000,48.455,48.775,48.455,48.59,4218,0
XTEN.US,D,20221004,000000,48.7265,48.7265,48.7265,48.7265,1,0
XTEN.US,D,20221005,000000,48.1748,48.1748,48.1748,48.1748,1,0
XTEN.US,D,20221006,000000,47.9713,47.9713,47.9713,47.9713,1,0
XTEN.US,D,20221007,000000,47.6791,47.6791,47.6791,47.6791,1,0
XTEN.US,D,20221010,000000,47.58,47.58,47.15,47.27,3102,0
XTEN.US,D,20221011,000000,47.4352,47.4352,47.4352,47.4352,1,0
XTEN.US,D,20221012,000000,47.6022,47.6022,47.6022,47.6022,1,0
XTEN.US,D,20221013,000000,47.35,47.3763,47.35,47.3763,101,0
XTEN.US,D,20221014,000000,47.66,47.66,47.1409,47.1409,1100,0
XTEN.US,D,20221017,000000,47.17,47.17,47.0483,47.0483,202,0
XTEN.US,D,20221018,000000,47.1951,47.1951,47.1951,47.1951,99,0
XTEN.US,D,20221019,000000,46.695,46.7,46.6415,46.6415,300,0
XTEN.US,D,20221020,000000,46.48,46.48,46.1589,46.1589,100,0
XTEN.US,D,20221021,000000,45.9766,45.9766,45.9766,45.9766,2,0
XTEN.US,D,20221024,000000,45.875,45.875,45.8,45.8,1001,0
XTEN.US,D,20221025,000000,46.5378,46.5378,46.48,46.5378,100,0
XTEN.US,D,20221026,000000,46.8629,46.8629,46.8629,46.8629,100,0
XTEN.US,D,20221027,000000,47.01,47.2054,47.01,47.2054,100,0
XTEN.US,D,20221028,000000,46.8889,46.8889,46.8889,46.8889,601,0
XTEN.US,D,20221031,000000,46.745,46.745,46.535,46.6035,441,0
XTEN.US,D,20221101,000000,46.5669,46.5669,46.5669,46.5669,104,0
XTEN.US,D,20221102,000000,46.442,46.442,46.442,46.442,100,0
XTEN.US,D,20221103,000000,46.268,46.268,46.268,46.268,4,0
XTEN.US,D,20221104,000000,46.0328,46.0328,46.0328,46.0328,100,0
XTEN.US,D,20221107,000000,46.08,46.08,45.7789,45.7789,100,0
XTEN.US,D,20221108,000000,46.146,46.146,46.146,46.146,1,0
XTEN.US,D,20221109,000000,46.2931,46.2931,46.2931,46.2931,64,0
XTEN.US,D,20221110,000000,47.5978,47.5978,47.5978,47.5978,100,0
XTEN.US,D,20221111,000000,47.41,47.43,47.41,47.43,1100,0
XTEN.US,D,20221114,000000,47.3796,47.3796,47.3796,47.3796,100,0
XTEN.US,D,20221115,000000,47.824,47.824,47.824,47.824,102,0
XTEN.US,D,20221116,000000,48.16,48.3694,48.16,48.3694,100,0
XTEN.US,D,20221117,000000,48.0504,48.0504,48.0504,48.0504,25,0
XTEN.US,D,20221118,000000,47.8527,47.8527,47.8527,47.8527,100,0
XTEN.US,D,20221121,000000,47.8734,47.8734,47.8734,47.8734,2,0
