<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YCS.US,D,20081125,000000,36.24,36.24,36.24,36.24,66,0
YCS.US,D,20081126,000000,36,36.555,36,36.42,876,0
YCS.US,D,20081128,000000,36.24,36.36,36.21,36.36,1666,0
YCS.US,D,20081201,000000,35.115,35.115,34.515,34.725,522,0
YCS.US,D,20081202,000000,35.085,35.085,34.56,34.56,4640,0
YCS.US,D,20081203,000000,34.2,34.68,34.035,34.68,3134,0
YCS.US,D,20081204,000000,34.2,34.38,34.2,34.2,1800,0
YCS.US,D,20081205,000000,33.645,34.545,33.48,34.545,3294,0
YCS.US,D,20081208,000000,34.545,34.545,34.17,34.17,1200,0
YCS.US,D,20081209,000000,34.05,34.05,33.6,33.6,1886,0
YCS.US,D,20081210,000000,34.23,34.35,34.17,34.17,2666,0
YCS.US,D,20081211,000000,33.465,33.675,33.255,33.48,2114,0
YCS.US,D,20081212,000000,32.55,33.36,32.4,32.94,3916,0
YCS.US,D,20081215,000000,32.7,32.79,32.52,32.67,2474,0
YCS.US,D,20081216,000000,32.4,32.4,31.29,31.29,5134,0
YCS.US,D,20081217,000000,31.2,31.2,30.45,30.45,6494,0
YCS.US,D,20081218,000000,30.84,32.205,30.84,31.785,13810,0
YCS.US,D,20081219,000000,32.31,32.31,31.365,31.605,14104,0
YCS.US,D,20081222,000000,31.98,32.31,31.98,32.28,8374,0
YCS.US,D,20081223,000000,31.995,32.82,31.995,32.82,8806,0
YCS.US,D,20081224,000000,32.52,32.52,32.4,32.4,234,0
YCS.US,D,20081226,000000,32.145,32.505,32.145,32.475,234,0
YCS.US,D,20081229,000000,32.34,32.34,32.22,32.235,2266,0
YCS.US,D,20081230,000000,32.325,32.4,32.265,32.4,854,0
YCS.US,D,20081231,000000,32.265,33.105,32.265,32.775,4600,0
YCS.US,D,20090102,000000,33.315,33.63,33.27,33.27,800,0
YCS.US,D,20090105,000000,34.395,34.545,34.14,34.47,7366,0
YCS.US,D,20090106,000000,35.22,35.4,34.74,34.89,11270,0
YCS.US,D,20090107,000000,33.93,34.335,33.9,33.9,25924,0
YCS.US,D,20090108,000000,32.985,33.015,32.775,32.94,6134,0
YCS.US,D,20090109,000000,32.7,32.7,32.175,32.31,3314,0
YCS.US,D,20090112,000000,31.86,31.875,31.08,31.245,23166,0
YCS.US,D,20090113,000000,31.86,31.875,31.215,31.275,32316,0
YCS.US,D,20090114,000000,31.275,31.29,31.02,31.29,4936,0
YCS.US,D,20090115,000000,31.68,33.45,31.305,31.74,11532,0
YCS.US,D,20090116,000000,32.535,32.535,32.205,32.34,9070,0
YCS.US,D,20090120,000000,32.505,32.505,31.68,31.68,24404,0
YCS.US,D,20090121,000000,31.785,31.785,29.805,31.68,24352,0
YCS.US,D,20090122,000000,30.975,31.425,30.9,31.17,4600,0
YCS.US,D,20090123,000000,30.975,31.62,30.975,31.23,4766,0
YCS.US,D,20090126,000000,31.35,31.65,31.245,31.395,67114,0
YCS.US,D,20090127,000000,31.365,31.38,30.84,31.245,6906,0
YCS.US,D,20090128,000000,31.425,32.295,31.38,31.965,10392,0
YCS.US,D,20090129,000000,31.65,31.755,31.5,31.755,5766,0
YCS.US,D,20090130,000000,31.53,31.875,31.41,31.815,19248,0
YCS.US,D,20090202,000000,31.635,31.86,31.365,31.635,6334,0
YCS.US,D,20090203,000000,31.215,31.53,30.9,31.365,10214,0
YCS.US,D,20090204,000000,31.59,31.71,31.5,31.5,5702,0
YCS.US,D,20090205,000000,31.77,33.375,31.74,32.625,8430,0
YCS.US,D,20090206,000000,32.895,33.345,32.775,33.09,30568,0
YCS.US,D,20090209,000000,33.045,33.045,32.64,32.835,10418,0
YCS.US,D,20090210,000000,32.625,32.625,31.77,31.95,16078,0
